,total_CV,agri_CV,chem_CV,fmt_CV,nfmt_CV,gld_CV
2015-01-05,8629.2083161,3270.9338603,1151.227764,1460.963826,2039.1273205,706.9555453
2015-01-06,8870.1354825,3208.0751494,1282.5262003,1583.8819416,2023.344402,772.3077892
2015-01-07,8877.786427,3212.1574326,1361.9945411,1533.145588,2022.0409755,748.4478898
2015-01-08,8919.2119765,3264.2270268,1366.0228872,1521.9123816,2009.021392,758.0282889
2015-01-09,8926.695435,3296.9390538,1372.4534078,1445.5789786,2056.6499655,755.0740293
2015-01-12,8987.3261485,3321.1544967,1393.6148528,1387.317968,2088.64499,796.593841
2015-01-13,9065.0449671,3346.3754536,1402.8356701,1378.1392692,2132.9797245,804.7148497
2015-01-14,9022.0853685,3370.0197856,1425.1986746,1341.4366148,2101.960959,783.4693345
2015-01-15,8999.6387041,3347.1062159,1407.7183938,1390.5104912,2070.768795,783.5348082
2015-01-16,8992.4055165,3327.2888702,1369.244273,1372.05773,2104.0171855,819.7974578
2015-01-19,8854.764043,3154.1903608,1368.6952413,1337.993192,2103.306399,890.5788499
2015-01-20,8899.8458,3228.8333146,1378.8254808,1310.3867582,2088.6436575,893.1565889
2015-01-21,9070.5802199,3334.2046306,1407.7625039,1282.8813076,2107.9593495,937.7724283
2015-01-22,9173.8293167,3408.4013961,1434.6123209,1276.6381756,2124.771479,929.4059451
2015-01-23,9376.5952687,3487.4878966,1431.3245518,1309.8849436,2197.3464355,950.5514412
2015-01-26,9387.4860686,3484.7270575,1418.0038333,1292.0778378,2230.368144,962.309196
2015-01-27,9497.4183844,3514.1789003,1455.7270918,1277.092924,2285.70201,964.7174583
2015-01-28,9500.7517924,3493.9593059,1484.3684588,1283.6559846,2274.114608,964.6534351
2015-01-29,9520.8219238,3544.6706653,1459.7332927,1284.579499,2286.488584,945.3498828
2015-01-30,9416.8596749,3497.2769759,1451.7007362,1271.6474666,2337.4733145,858.7611817
2015-02-02,9585.7768563,3592.6280164,1527.381707,1253.574219,2345.199296,866.9936179
2015-02-03,9569.1131543,3611.2069598,1557.3939371,1264.6947468,2281.6387595,854.1787511
2015-02-04,9453.3332539,3567.1331384,1476.6531499,1315.5360314,2223.549094,870.4618402
2015-02-05,9372.8552437,3544.9120745,1441.6079412,1286.9964824,2244.074533,855.2642126
2015-02-06,9373.747315,3532.1911587,1542.1110362,1248.4895588,2202.4455165,848.5100448
2015-02-09,9338.198706,3562.2672103,1521.8758419,1246.0297722,2160.71996,847.3059216
2015-02-10,9315.6156891,3616.6434828,1532.111558,1219.16675,2117.234668,830.4592303
2015-02-11,9315.2995131,3635.3561935,1578.5203719,1207.5371688,2081.200547,812.6852319
2015-02-12,9211.2322442,3565.5088222,1571.2144094,1180.6267624,2087.366438,806.5158122
2015-02-13,9130.597869,3498.3227501,1591.2165247,1201.7904416,2062.093519,777.1746336
2015-02-16,8814.4654566,3385.3185751,1463.2336691,1193.7764564,2012.5626175,759.5741385
2015-02-17,8577.5156673,3335.8800619,1372.941475,1163.3606612,1963.4267585,741.9067107
2015-02-25,8545.6707922,3329.4665576,1387.0107693,1108.5220632,1987.113528,733.5578741
2015-02-26,9226.0023214,3597.7943295,1595.6282393,1181.2078038,2084.970035,766.4019138
