,日线趋势,贴水率,价差贴水率,季节性胜率
RB1810,Long_1,0.137415349887,0.0420464569244,0.222222222222
HC1810,Long_1,0.100543478261,0.0460488914156,0.25
RM809,Long_1,-0.00376931775349,0.0565511748307,0.6
M1809,Long_1,-0.00780031201248,-0.00957972805933,0.7
NI1807,Long_1,-0.00600400266845,-0.00360839426455,0.666666666667
MA809,Long_1,0.13721103654,-0.0154185022026,0.166666666667
CU1806,Long_1,0.000578480524489,-0.00403303245631,0.3
TA809,Long_1,0.000713266761769,0.00465782873522,0.2
J1809,Long_1,-0.052549831737,0.0306830309498,0.285714285714
JD1809,Long_1,,0.0583616854227,0.5
T1806,Long_1,,0.000316539171723,0.666666666667
TF1806,Long_1,,0.000153413449246,0.5
AG1806,Long_1,,-0.0275969799531,0.4
FG809,None,0.0541516245487,0.0421369450715,0.6
JM1809,None,0.104033970276,0.0347100175747,0.2
A1809,None,-0.0428015564202,-0.0198321891686,0.7
IC1805,None,0.0077380952381,0.00819929520952,0.333333333333
AL1806,None,-0.00698370468906,-0.00595041322314,0.4
CF809,None,-0.00821474773609,-0.0352574102964,0.5
IF1805,None,0.00489060832444,0.00585046427996,0.25
V1809,None,-0.00595681310499,0.0174242424242,0.125
I1809,None,-0.0503144654088,0.0181430096051,0.25
ZC809,None,-0.0440689198144,-0.00756330154554,0.25
IH1805,None,-3.0018761726e-05,0.00308641975309,0.0
BU1806,None,-0.0134370579915,-0.052913596785,0.25
C1809,Short_1,0.0453762205629,-0.0191549295775,0.4
ZN1806,Short_1,0.0130612244898,0.00533442757489,0.4
SR809,Short_1,0.0330352254061,0.0049523110785,0.3
P1809,Short_1,0.00279106858054,-0.00673267326733,0.3
Y1809,Short_1,-0.012706043956,-0.0260869565217,0.4
RU1809,Short_1,-0.0946061643836,-0.137052087181,0.3
CS1809,Short_2,0.061320754717,-0.00329102021627,0.333333333333
L1809,Short_2,0.0179445350734,0.00711938663746,0.4
PP1809,Short_2,-0.0091628959276,0.000113134970019,0.5
AU1806,Short_2,,-0.0144639305731,0.4
