,日线趋势,小时线趋势,KDJ背离,MACD背离,基差贴水率,价差贴水率,季节性胜率
RM809,Long_1,h5>h60,top,top,-0.4%,6.0%,60.0%
RB1810,Long_1,h5>h60,null,null,14.0%,4.6%,22.2%
HC1810,Long_1,h5>h60,null,null,10.4%,4.6%,25.0%
CU1806,Long_1,h5>h60,null,null,0.1%,-0.3%,30.0%
J1809,Long_1,h5>h60,null,null,-5.3%,3.2%,28.6%
TA809,Long_1,h5>h60,null,null,0.0%,0.6%,20.0%
MA809,Long_1,h5>h60,top,null,11.9%,-2.3%,16.7%
T1806,Long_1,h5>h60,top,null,,0.0%,66.7%
TF1806,Long_1,h5>h60,top,null,,0.1%,50.0%
M1809,Long_1,h5<h60,top,top,-0.7%,-0.9%,70.0%
FG809,Null,h5>h60,null,null,5.7%,4.1%,60.0%
L1809,Null,h5>h60,null,null,1.1%,0.8%,40.0%
V1809,Null,h5>h60,null,null,-0.3%,2.1%,12.5%
I1809,Null,h5>h60,null,null,-1.5%,1.1%,25.0%
IH1805,Null,h5>h60,null,null,-0.2%,0.4%,0.0%
IC1805,Null,h5<h60,null,null,0.8%,0.8%,33.3%
PP1809,Null,h5<h60,null,null,0.2%,0.1%,50.0%
NI1807,Null,h5<h60,null,null,-0.2%,-0.2%,66.7%
IF1805,Null,h5<h60,null,null,0.3%,0.4%,25.0%
A1809,Null,h5<h60,null,null,-4.3%,-1.9%,70.0%
BU1806,Null,h5<h60,null,null,0.9%,-5.0%,25.0%
JD1809,Null,h5<h60,null,null,,5.0%,50.0%
JM1809,Short_1,h5>h60,bottom,bottom,11.5%,3.0%,20.0%
ZN1806,Short_1,h5>h60,bottom,bottom,1.8%,0.6%,40.0%
SR809,Short_1,h5>h60,bottom,bottom,2.9%,0.1%,30.0%
RU1809,Short_1,h5>h60,bottom,bottom,-9.5%,-14.2%,30.0%
C1809,Short_1,h5<h60,bottom,bottom,4.2%,-1.9%,40.0%
AL1806,Short_1,h5<h60,null,bottom,0.0%,-0.5%,40.0%
P1809,Short_1,h5<h60,bottom,null,0.0%,-0.5%,30.0%
ZC809,Short_1,h5<h60,bottom,bottom,0.1%,-1.6%,25.0%
CF809,Short_1,h5<h60,null,bottom,-0.1%,-3.7%,50.0%
Y1809,Short_1,h5<h60,null,null,-1.3%,-2.4%,40.0%
CS1809,Short_2,h5<h60,bottom,bottom,5.9%,-0.1%,33.3%
,,,,,,,
