,A,C,CS,M,Y,P,JD,CF,SR,RM,L,PP,V,TA,MA,BU,RU,RB,I,HC,J,JM,ZC,FG,CU,NI,AL,ZN,AU,AG
2018-01-02,6.77578181,16.53460522,6.422902738,43.650705924,37.673464864,21.24329102,9.176648848,13.2846901,19.43822449,12.121519476,22.099784245,20.082051199,8.3076609,23.603355204,13.950895476,8.911967168,75.69371328,96.529613724,113.4010155,22.599512144,64.44598824,24.879525912,11.660742264,9.183729884,144.76835597,61.31547366,69.28401085,47.24285416,36.0024072,35.67083868
2018-01-03,6.79744219,17.550079148,6.8816713,44.984895886,38.21210974,20.25552368,9.472867264,13.555137025,19.63458875,12.439306452,21.111651295,18.987815462,8.42948701,23.6803242,13.777207584,8.98305728,76.73134044,95.64436395,110.2506992,22.074477296,70.02868164,28.732578336,11.174657136,9.15501104,142.30704509,60.075447,68.7276878,49.1290792,38.3910844,34.55598084
2018-01-04,6.903862168,17.418725282,6.666754346,44.857691886,37.613299136,20.49716508,9.323371856,13.67896255,19.67165302,12.747330432,20.89266256,19.039083749,8.7941959,27.869257092,14.554453004,9.409831264,81.01149504,100.884387762,116.552687,22.50510816,84.60545028,29.714926752,11.784921408,9.095790144,144.58379306,60.6954202,68.39472625,51.07246132,38.4020609,35.1665955
2018-01-05,6.862444694,17.856491954,6.515714618,45.762625944,37.463400324,20.213542496,9.425405216,14.14811355,19.25893123,12.852473808,20.816009865,18.919667578,8.700384315,27.343108656,13.914177844,9.84503824,81.03272676,106.61499162,116.0550576,24.2098232,74.56552584,26.955915264,11.787975168,9.1053977,140.31467898,58.97823362,68.2566011,53.79444756,39.30819035,34.53245856
2018-01-08,6.871943792,18.12722247,6.454987644,45.048109666,39.84979194,20.588237908,10.03203792,14.15913785,19.30743201,12.758378088,20.51953659,19.174832376,8.767514315,30.527021556,17.092804106,10.054014144,82.32178212,106.456536684,127.5901127,24.39056696,74.7204354,32.693806872,11.500443096,11.202145696,136.70088208,56.77837336,65.0211769,53.87325044,38.9828186,35.23027194
2018-01-09,6.993765506,17.017419202,6.28357338,45.748410386,40.32407078,21.098955892,9.964201248,14.57339935,19.82616356,12.677047596,20.582340905,18.682358716,8.866999715,31.278213288,16.241857492,10.333193056,82.28297604,100.852758162,132.3251803,23.286642768,67.96021188,30.662149104,11.085669576,11.395029996,138.53223377,60.16806162,64.7749382,57.27875308,40.1401517,35.93855409
2018-01-10,7.065889754,17.620574552,6.242301156,45.936352224,40.472297432,21.534480632,10.115735856,14.320393675,19.37884145,13.646204028,20.92584515,20.029985262,8.69007671,30.213527352,16.446201842,10.9422872,81.95948064,104.85969228,132.9451272,23.208122416,72.76293096,31.371230304,12.263134632,11.745366388,135.32137374,63.92428074,64.4597854,54.27363556,41.24293085,37.25564073
2018-01-11,7.00581602,17.426231018,6.25188802,46.541319048,40.580570184,21.1693377,9.997784048,14.7215751,19.45546458,13.973394876,22.106030275,20.386618462,8.668670955,30.721082256,16.516163944,10.734402144,81.1112292,101.746653534,129.5485555,22.393767968,67.1732568,33.12335016,11.860135152,10.914590932,136.05922456,65.30571334,66.17376405,55.7191626,41.78563905,37.63371765
2018-01-12,7.04708312,17.501128064,6.060531904,46.535292006,40.934839036,21.800207296,9.971189376,17.71539895,19.54804504,14.193990132,24.224749185,21.804719671,8.91825221,30.623025324,15.304218608,10.864844512,82.57784304,105.40838736,123.0288928,22.567671808,66.57787392,32.050615824,12.057853632,10.978588852,133.06074369,58.7359179,62.992919,58.61395576,42.48778475,38.08686072
2018-01-15,7.115768002,18.236892548,6.313362454,46.929174936,40.789236432,21.48320846,9.984935664,15.9987938,19.08605564,13.626192288,22.942604335,20.720932379,8.736146125,29.789219724,15.049260198,12.167523616,84.6798378,109.523075292,117.7153107,22.4162572,67.25206236,30.545196624,11.763178176,10.502429756,134.32916042,61.15752186,62.89081245,58.74244816,42.5777883,40.11165513
2018-01-16,7.27527388,17.69759292,6.004020582,46.983691986,41.336139824,22.482625284,9.995688848,15.68221335,19.11354293,13.855645596,19.59842122,19.270021239,7.402903235,29.148748044,17.471738508,10.754853312,81.51038976,102.06980937,117.307552,21.795802208,69.24805524,32.731425072,12.599879208,10.2523407,127.28683072,55.73875978,56.71682015,54.42045956,42.19954535,39.20710035
2018-01-17,7.590788366,17.871182742,5.79750157,47.857511716,41.676887112,22.369285932,10.04832344,15.35419775,19.0516369,13.915830132,18.533524135,17.448837042,6.77268053,27.756679992,15.895391848,10.681776288,81.59762964,106.443921528,113.1782343,21.958634928,70.56674172,29.8535616,13.063601496,10.114777176,123.13949683,54.35676726,55.95979435,53.8392896,42.03006095,37.60572669
2018-01-18,7.594597052,17.27426722,5.719711592,47.577670406,42.225018556,22.525837544,10.023514096,19.147088975,19.69295894,14.145797304,18.276487145,17.710732333,6.81328116,28.308878148,16.388068242,10.750560864,83.4727146,114.191145216,112.9787138,22.630178208,64.9953276,28.411285896,15.128533632,11.068882104,122.85668913,54.48112864,56.34758155,52.87696652,41.55814125,38.07905739
2018-01-19,8.204531034,17.002582338,5.667973626,48.401423182,42.903610988,22.404667488,10.183992832,17.32552445,19.79402076,14.194831416,18.648228585,18.18747238,6.85236258,27.983687568,16.131458938,10.357836576,87.25478484,124.479983268,118.3500609,23.388664464,69.26084628,28.549905408,15.203030016,10.12480434,123.1234116,52.55595298,57.0912158,52.51709916,41.4689882,38.61964593
2018-01-22,8.345407154,16.653071428,5.601083054,47.118848882,42.921837336,22.57426934,10.264103936,19.1648556,20.63746838,13.954429704,18.858920535,17.941688646,6.49992231,28.793733768,15.788639734,10.722244864,89.27423088,127.673403318,109.4874215,23.849258,65.5957554,29.017287864,17.265562752,10.556224868,124.97486092,54.58877238,56.9840977,53.47471744,41.49024975,39.04290273
