None,排名前五,排名后五
振幅,-0.000630792012472,-0.000339171179179
1日收益,-0.000810377865197,-5.98518719348e-05
5日收益,-0.000871360433694,-0.000111961357024
20日收益,-0.000797425649575,0.000114869988644
成交量变化,-0.000789540177843,-5.28906838051e-05
日多头持仓占比变化,0.00107224883073,-0.00119975151123
日空头持仓占比变化,-0.00113034425506,0.000715204806178
周多头持仓占比变化,-0.00084823232483,-0.000809063088319
周空头持仓占比变化,-0.000191399397118,-0.000634533019491
月多头持仓占比变化,-0.00014087429465,-0.000366708177389
月空头持仓占比变化,-0.000427119604265,-0.00098801275948
1日资金流向,-0.000816890975918,0.000803117709333
1日资金流向变化率,-0.00141772668617,0.00107410170521
