,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JD,JM,L,M,MA,NI,OI,P,PP,RB,RM,RU,SN,SR,TA,V,Y,ZC,ZN
2017-09-01,88.132447,424.9373877,855.0661175,1075.223876,223.2392808,254.9683882,232.401254,75.5879386,1774.899166,79.5256672,465.1319558,982.461062,661.281733,144.0648926,253.9662846,307.4015385,680.1546006,206.6659916,597.9179934,361.4623628,411.71621,283.1373887,1874.5573114,241.6392482,821.524985,36.8405246,623.3169058,648.6795432,108.232269,550.7975924,200.6570452,704.6297995
2017-09-04,90.7343026,448.8377457,834.217651,1089.525317,216.8352424,244.634162,300.1528695,81.7475762,1780.518368,88.5623248,493.3055588,939.008666,662.409282,143.3597788,251.0461284,308.1421675,686.5318414,233.6901526,608.033998,366.8264416,411.6962844,273.1922387,1786.4078556,241.8613376,883.039492,37.18781,620.3703886,659.3907952,97.4236065,551.9947748,208.409454,699.875361
2017-09-05,93.2605494,456.5942361,836.986887,1091.661274,225.0977908,250.2486454,316.2770975,84.175115,1835.760117,82.89524,521.9987314,962.56121,633.464241,142.0016224,254.9400696,294.918711,681.1611458,208.9633634,612.1145132,371.1904304,417.8007032,262.806847,1796.5105086,245.9825152,902.852698,37.060888,622.2742236,650.4343554,102.797372,554.5852636,206.452942,699.001485
2017-09-06,100.9918038,437.8131687,819.3554185,1087.037061,229.2535016,254.9355642,311.9713385,87.8160984,1755.198724,79.5214576,489.9032478,993.249933,704.14121,139.5358012,251.0710572,296.659867,680.9420256,226.7966606,577.186894,367.5906692,416.52974,250.8986977,1761.213761,246.3376696,912.756972,37.5725724,618.491418,628.0934968,103.488572,561.2323536,196.35799,636.3275775
2017-09-07,116.4724636,415.5950868,789.9194035,1082.758482,218.448742,251.7497626,309.347429,89.7551438,1712.469981,80.5311716,465.6467468,1034.806069,716.282795,141.3784234,267.4491414,282.0206275,669.3506892,206.8106872,590.3658188,361.4771816,405.1171192,240.5963445,1696.578987,250.981158,908.555378,38.0549438,600.08236,603.2391206,105.3789835,549.5056932,193.476728,607.905927
2017-09-08,109.2215354,408.2745786,744.340911,1062.325235,207.64605,239.3853628,275.1087975,75.0714734,1655.389859,78.9461108,469.3561396,978.537212,808.192315,132.2228398,264.4931844,287.026263,680.3208896,204.026749,568.3467532,350.3527728,392.588082,230.2935197,1656.450531,246.607225,845.278787,38.3332328,577.2753948,592.5917982,107.999394,543.4025984,199.6317712,597.608738
2017-09-11,111.6059104,379.9441236,776.194615,1059.43001,198.4663128,235.7082758,277.034321,73.4857928,1659.793196,77.1991672,428.2199378,917.427637,810.587981,132.2647972,295.4970276,261.237805,666.1990388,186.5589188,533.8783686,342.5794796,416.8052872,217.5785676,1605.0139884,237.935924,828.893293,38.006898,580.1316958,576.88592,103.3811225,524.827268,231.1041788,574.545767
2017-09-12,110.9030228,379.1340699,812.06431,1029.387899,195.061128,237.720321,279.715881,73.4269824,1664.213585,78.9341976,457.1209018,981.390135,842.926713,131.1708158,290.7749808,270.437874,684.2297188,207.8406386,542.9825148,338.4668288,397.9807568,230.2605447,1631.9027072,246.1780692,840.215622,38.2956118,584.3534902,566.7979162,101.241736,520.3378148,243.01966,584.574372
2017-09-13,110.2951848,379.3627608,827.0199175,1043.785582,192.519962,231.3223674,270.299661,76.2405182,1665.196737,73.29776,430.6565328,941.384298,819.47267,130.8506826,276.2905824,258.3174655,720.0373156,191.4602568,544.8056766,336.800422,384.8502884,217.3677058,1621.1351472,271.105929,847.813066,37.3753338,576.6761536,550.8156254,106.5589605,507.249208,241.591428,560.0182205
2017-09-14,110.225586,378.8757561,834.4945745,1044.836202,190.6504508,240.7145268,256.860333,73.8831462,1622.777663,90.28852,472.495387,1006.89592,798.654641,127.2018362,263.172234,247.407478,691.476779,192.5560816,522.756451,323.9354796,394.018372,205.3729367,1683.458074,242.3975226,819.881786,36.6436476,536.6565276,524.9865004,99.312642,508.8560284,248.857018,554.642811
2017-09-15,112.482833,376.4935047,757.276747,1051.978238,185.2456876,227.6021352,244.300743,73.8259554,1604.745403,75.953418,453.2908498,970.451962,740.238027,128.0845942,273.8552232,241.450581,696.8430706,180.2330562,466.1250018,323.4455316,366.69683,204.3576254,1595.0048154,248.2191364,777.633233,29.0996474,526.8128054,518.4293186,93.259571,516.4610052,253.6518944,564.5788215
2017-09-18,113.074166,381.2438829,762.4163975,1032.123808,184.597196,225.7206732,238.838939,74.090713,1607.416095,74.284006,446.0831476,1008.711078,689.742963,127.7924142,252.1325346,240.5800725,687.0116142,168.0743314,460.6756264,316.4835712,354.996504,196.2507814,1615.5396062,238.4703492,740.376046,28.3238498,552.3274058,503.5598224,90.555723,507.4575732,251.6922176,612.8801685
2017-09-19,110.9932266,377.6407074,799.9024535,997.011543,187.7214984,227.6190126,235.0016355,73.1983292,1595.546464,67.523092,420.7462372,987.77955,632.762254,123.7924754,235.755579,226.3231195,713.0258916,164.8503478,463.4865544,316.441454,373.165816,199.8997687,1568.97122,236.8834072,741.769343,28.4901528,560.1238378,514.6572516,89.251992,512.07964,274.7923808,611.015971
2017-09-20,115.1267764,370.2875616,932.0095365,994.253335,184.1684628,222.2917618,242.444159,72.8928278,1586.850992,67.2946264,420.5804762,1007.618201,682.070225,122.4188588,246.3349536,243.326601,705.749126,173.9320836,483.0661474,316.6646012,361.2516456,204.001636,1563.2577784,236.9236784,737.539412,28.4463012,543.6128074,536.860387,90.0299215,502.764866,274.7816212,644.563454
2017-09-21,113.653119,375.1818303,916.8662625,975.716897,178.4144376,228.4140466,229.138272,73.9123636,1569.140766,68.6466168,427.668431,1042.512998,654.632866,123.8532478,251.4424638,237.8736785,722.5295706,175.8586688,468.2431518,316.5918876,357.533502,199.029325,1623.5025676,254.290814,729.25694,27.1518468,552.441036,506.5684966,90.1004565,510.241152,287.7273156,608.203708
2017-09-22,114.0162856,364.4175246,839.67526,940.501582,174.2000376,234.5963092,226.9675245,75.70988,1549.512493,69.51502,391.6252258,1001.512602,617.527547,121.988017,232.2378132,242.657947,804.136126,161.4284352,488.2188776,307.9186508,332.4165268,185.6807362,1532.5887466,290.8411812,713.192077,26.320727,544.0662322,505.8452124,84.934377,518.5119244,275.5675,604.409773
2017-09-25,111.8717606,364.2939333,850.1595385,944.814644,172.0446292,236.7630672,224.4111355,76.8531464,1532.638563,73.11734,389.6351756,1011.623544,637.749111,117.1293466,250.9078632,235.501544,790.6480618,167.9820082,463.9434348,300.919548,333.2996808,195.6896567,1516.5141882,281.0225906,715.378882,27.5076132,546.37771,530.4868708,82.6890405,530.2012068,291.1853792,614.4772135
2017-09-26,110.7909366,363.3887349,837.8838175,941.997313,168.0885096,254.1861884,236.6028995,77.3631982,1537.81964,65.8500028,385.4723458,1014.968131,606.471235,115.7481868,248.6448828,238.80778,748.9517534,157.7111362,454.1266786,298.3915464,328.7406392,184.4315475,1479.2586442,278.9312522,716.924436,28.6585252,556.4896844,511.7375226,81.7441145,516.5783636,283.3461928,629.201385
2017-09-27,108.6066084,360.9317754,831.7391785,947.260413,164.34179,245.1589728,221.8041665,76.4882488,1519.857479,61.7009108,408.4572098,1066.019536,619.993245,116.7593204,245.3532774,226.5759875,742.7208372,155.5845862,465.2388782,294.758094,323.2212636,186.4501874,1487.0052866,280.9570746,711.003675,28.6275958,566.0268672,490.7960922,78.5031835,519.4283016,280.4693488,641.072258
2017-09-28,97.840285,358.2705588,806.408132,909.255495,150.6382256,211.5991224,203.9171325,66.3049424,1509.849937,62.3395976,399.118985,1000.149007,589.883041,113.512857,236.4287544,214.9835405,693.0095056,148.3541062,463.7772708,287.5134664,305.730684,176.4373232,1446.0997788,265.4734124,655.945355,26.5720052,547.7907572,430.6915376,71.754146,496.5496888,279.2180496,630.9680685
2017-09-29,93.2079166,344.2557459,775.483752,904.417071,143.4348508,199.8060898,197.670534,58.5037838,1498.847449,57.4135556,397.1534074,938.962701,528.141676,106.6343098,222.9222102,213.1608365,638.446498,130.2387818,439.0694612,283.8173256,277.92568,170.7247826,1334.7575898,223.5144296,592.320985,26.4144118,532.9325048,406.8748298,69.8262635,481.961508,255.3139476,623.318651
2017-10-09,98.507365,357.6352302,802.983847,918.573206,149.9970704,207.4692026,199.184436,68.7379828,1530.195069,68.2492556,408.7672516,986.096765,530.403366,109.133709,226.2096126,218.2683395,644.0703074,139.6739568,466.831998,284.2502896,281.2883936,184.7624098,1319.3268156,215.6306182,612.134644,28.9920552,540.8494724,416.8038662,70.2852675,473.0876232,253.5659216,641.8067685
2017-10-10,114.7051732,369.7873245,814.267188,927.61299,152.7682216,221.3508948,203.1206315,70.3730556,1616.577773,91.8370624,410.9038804,1074.377547,551.08499,118.3736796,237.0744408,222.4769835,650.7220772,169.9745216,495.5847166,288.1185044,301.6095056,186.3741929,1435.0806068,224.942921,623.979299,28.4423606,561.8970272,424.3422142,76.7197285,499.3414416,263.6439132,633.5027945
2017-10-11,103.9308258,374.4712509,806.172581,935.659638,152.2963796,218.912754,204.121726,73.9391006,1726.875804,83.9945544,394.5038242,1067.64073,562.167514,134.2060476,248.4651702,236.001623,657.5821854,180.3108584,500.4339062,291.8268916,300.5696136,192.8688298,1427.7083964,236.108538,628.983817,28.587381,564.0144128,439.647541,73.98119,513.5386012,264.8736464,634.102922
2017-10-12,95.8130636,364.0022391,801.5004815,945.389683,148.4823,217.5205498,210.112867,77.7510232,1860.264341,79.2586456,483.3234934,1147.358559,590.407596,128.4473228,256.7953356,228.9567215,642.8650886,185.126104,533.0352318,297.65212,308.3563228,198.9219446,1558.9520324,235.935741,636.139926,28.1125992,578.358582,432.8655684,79.3605915,514.4739388,264.3081828,628.5788155
2017-10-13,91.1517394,370.5007743,821.826583,939.037128,150.0936784,214.6338562,214.2996615,71.194412,1882.867052,70.6864176,500.7999064,1167.703271,585.240676,130.0597264,262.1055978,230.1444275,682.160218,171.3261858,537.552451,304.5624868,302.3595576,204.3288356,1581.0987008,265.7530918,638.237744,27.6275746,587.896731,432.7424448,78.0182905,524.7175684,262.6393092,629.769204
2017-10-16,95.7242396,391.2541989,751.2067585,956.373376,154.0639296,217.7079478,208.2607685,82.0913162,2085.44092,70.8011652,516.4037608,1178.411363,589.063866,134.830814,248.829063,227.4739,669.0559792,175.8107986,555.8901264,310.0009972,309.0127608,225.36049,1541.2985602,263.257075,643.313873,29.198603,584.3981004,418.460363,86.30742,529.6901536,261.8848,628.614868
2017-10-17,114.3763928,365.0531163,757.772663,942.243858,148.2066584,217.7619912,204.9878035,75.3729026,2027.442135,64.7299308,475.424933,1187.037885,575.716192,134.2235962,234.1600854,245.6922225,683.255099,188.1232386,588.6590278,309.6282932,310.8426892,240.7363028,1524.5700552,269.0558698,639.075791,28.4409384,589.8349832,406.6320424,90.813147,537.903852,252.358616,563.915902
2017-10-18,122.7066848,362.4736083,755.624098,942.699014,146.5456416,224.55679,206.504808,75.329008,2011.516362,65.7786116,453.8022722,1200.983531,568.234799,134.569504,221.728341,230.378118,677.275445,188.0700468,607.4756936,310.3054736,318.99802,240.4406337,1455.45825,261.8050702,638.730493,29.1272904,596.297402,400.9475208,89.687073,536.930168,250.0141472,602.122061
2017-10-19,129.317494,362.260479,750.7299795,936.246959,149.0731812,222.3461306,214.246049,73.6438742,1984.069369,61.0576924,453.260053,1213.043661,584.350105,141.0959626,220.7829036,224.8089075,691.1675308,178.4940104,646.0029826,312.7267572,330.4050044,228.0552053,1484.748302,263.2779416,636.645031,29.223755,597.0090892,380.1575182,82.6070095,553.3840008,259.1311584,584.954139
2017-10-20,129.0639408,362.5273782,761.7301295,937.850196,144.0566996,230.5491916,230.0795035,72.720603,2025.84974,68.0359912,460.0461868,1263.80777,589.880024,141.8789358,216.0694788,239.383236,691.3825942,200.2795294,700.2518832,317.9775308,321.3319556,233.2986971,1534.628969,246.4431446,631.502011,30.4580628,596.9953428,381.0195042,91.0041465,551.7463984,257.7790252,577.8121735
2017-10-23,137.4800776,360.0027528,740.742063,937.971195,140.1869684,236.0928722,233.425477,75.887743,1964.115891,58.8553024,455.9922174,1242.18362,603.186839,137.3673382,220.370091,242.6881545,705.3546558,202.4087854,656.847026,317.0197176,327.5887388,240.9533737,1511.5253376,268.7739464,631.712912,30.9261318,608.1329422,378.278156,90.3473885,538.166592,257.4917336,573.01224
2017-10-24,147.3634098,360.5047008,750.003701,933.549332,137.6440156,240.2291522,226.9388735,84.7999834,2094.166329,55.9293364,465.3069546,1200.726488,592.618828,142.1303244,223.2270804,243.7350065,681.2497954,213.1304208,690.9572394,326.2130748,336.3055976,237.1159421,1497.6880306,248.8848926,649.796636,30.2973774,610.3280134,372.6212506,93.519613,537.4580468,252.3995728,582.0523855
2017-10-25,149.9759404,352.2397524,761.144841,923.330106,129.971382,227.1330518,225.5679005,75.3158696,2004.658647,61.417504,468.5677254,1216.032077,625.117161,140.8975406,225.1663554,253.765456,702.117868,201.9371832,684.8484848,328.1280016,349.471874,239.0984286,1497.919229,258.9225976,629.179719,29.8109154,648.7110958,361.3593124,90.6497765,538.954478,253.3748816,582.7866185
2017-10-26,156.5214478,355.3104312,792.017187,921.722909,130.4412808,229.2911952,225.8910115,70.6339498,2008.221663,61.2642016,469.9641582,1165.828208,607.149726,142.5050814,218.6244546,248.5946975,686.2405802,203.5779884,670.7524782,340.0131216,340.784568,226.3977437,1464.8080486,243.4836216,627.886486,29.84699,637.768593,362.0203532,91.6092035,540.2581436,250.9045716,614.14511
2017-10-27,159.6266492,374.2209213,767.8652195,922.223666,123.4348296,224.5661974,228.178203,67.5366262,1952.420646,63.872978,484.18214,1204.353092,610.181626,135.1926592,238.071198,227.6533345,684.7245246,189.1764878,671.4698582,346.477136,342.7441984,229.9503495,1474.412719,244.7248788,662.407341,30.2074938,643.9174088,357.8534762,87.669709,520.6350832,269.9154648,594.1618595
2017-10-30,161.2809702,354.1620351,782.352587,894.306398,136.2786296,237.1998764,227.5093095,72.4732166,1896.00019,65.4654876,458.8582588,1156.67671,604.313839,131.2396032,241.8362736,229.405607,667.4227628,178.5736484,638.3704816,351.7596176,349.6449804,218.3074995,1434.0219668,242.4574774,663.522473,29.833808,641.2405276,355.7628812,95.1455435,519.7483132,259.3763052,635.334508
2017-10-31,160.7210624,342.2789907,763.905616,881.83806,135.491778,240.9348498,228.7916045,69.181887,1880.902901,70.3595352,460.1409692,1168.518366,606.276482,127.966377,263.2286976,233.1268415,694.3994484,185.026285,714.370708,341.4348668,335.4477032,218.2582975,1512.4366646,235.7922174,654.909003,31.040361,629.5683666,348.5930186,84.977673,522.5985028,293.0153236,637.303411
2017-11-01,162.1922986,342.4870563,760.191351,865.95544,135.5236108,230.8144804,224.115662,71.6762804,1896.448588,80.6215668,455.0298868,1155.537472,608.585561,127.2123314,235.0824474,236.314185,702.1242664,198.9624018,741.4093364,345.715908,338.6509636,222.8206448,1444.483103,243.4841736,655.437661,32.1255824,621.6488544,350.7613648,83.007298,533.8221604,280.4110172,638.2248565
2017-11-02,163.1449514,352.6751457,754.1367655,863.936981,131.9066336,230.9716226,222.9853585,70.253413,1852.504514,65.207336,467.1064416,1222.282418,674.078045,127.2282436,264.3566532,243.786941,723.165317,221.9461622,839.043527,349.4522412,339.9271508,219.728047,1504.4247884,241.0393202,667.082671,30.9427572,630.4406896,350.0716576,85.9904175,539.126222,273.933868,621.743034
2017-11-03,162.8792002,347.9095371,748.653476,875.907392,133.9136932,231.6819296,207.628344,78.223712,1928.111666,61.512238,439.1237458,1179.089126,618.418446,126.196447,237.300186,244.6858245,732.7479204,222.88276,816.6010228,344.1583632,334.1773124,227.5490076,1441.1085732,236.7533774,654.367253,30.5714034,630.2473416,347.7653906,88.200755,542.082742,268.773256,649.527174
2017-11-06,160.0204302,343.3567209,742.655501,862.026461,137.8134168,224.5593798,207.063538,80.5509606,1968.819458,65.5798392,444.045599,1278.007253,690.475488,131.043983,250.6405302,236.9582735,745.9301266,242.070933,891.6348638,340.460866,327.8772056,218.0383471,1551.6410168,241.4494178,699.509375,29.8289874,630.5098078,398.1937316,91.6356625,540.3808488,279.195824,639.7519085
