,total_CV,agri_CV,chem_CV,fmt_CV,nfmt_CV,gld_CV
2017-01-03,11453.8658129,3352.7008573,2021.7846795,2058.3622646,2487.1063433,1533.9116682
2017-01-04,11669.1276089,3395.7206852,2049.3496827,2134.6325806,2505.7176468,1583.7070136
2017-01-05,11636.4330866,3424.442082,2017.5544259,2083.3753016,2539.4539603,1571.6073168
2017-01-06,11647.1260628,3437.8747659,2049.5058464,2128.092975,2489.7516487,1541.9008268
2017-01-09,11838.5764994,3463.652467,2101.2815124,2180.0539038,2545.2797421,1548.3088741
2017-01-10,12168.7232023,3476.7734944,2132.0244824,2356.966371,2629.2685215,1573.690333
2017-01-11,12200.438955,3556.5962347,2168.172098,2254.7706912,2655.4519479,1565.4479832
2017-01-12,12416.3401108,3562.8721483,2262.4958682,2419.2411398,2637.4147854,1534.3161691
2017-01-13,12438.077076,3621.2586862,2298.3265288,2341.4481668,2670.7106936,1506.3330006
2017-01-16,12609.067985,3535.771482,2311.8188067,2573.6606306,2656.8586261,1530.9584396
2017-01-17,12168.873787,3515.5503982,2247.0790337,2334.488266,2545.9497341,1525.806355
2017-01-18,12209.731152,3594.2716247,2263.9600865,2355.4716046,2505.6595399,1490.3682963
2017-01-19,12210.2592712,3700.1578028,2213.8482464,2332.7312372,2499.3801088,1464.141876
2017-01-20,11821.0802918,3543.8501423,2117.3854143,2257.5125886,2449.3002026,1453.031944
2017-01-23,11829.7802606,3572.3339523,2155.1610874,2124.1521156,2521.9882557,1456.1448496
2017-01-24,12021.7590831,3597.1570365,2132.7306658,2324.1400688,2530.211732,1437.51958
2017-01-25,11723.7293382,3462.2905527,2195.9118954,2129.4978316,2574.5975113,1361.4315472
2017-01-26,11589.8865293,3391.4344051,2208.2450496,2127.145984,2567.3297012,1295.7313894
2017-02-03,11472.6097566,3521.3114288,2173.5703283,1996.554492,2523.0327981,1258.1407094
2017-02-06,12466.2066938,4051.8851652,2382.1702817,2133.7019184,2575.576701,1322.8726275
2017-02-07,12856.5155202,4200.218718,2490.0218356,2231.9134308,2584.821415,1349.5401208
2017-02-08,13333.5950593,4378.0000686,2511.0580283,2389.0250826,2687.8164232,1367.6954566
2017-02-09,13361.9982646,4371.3960907,2523.462784,2411.722627,2690.4487266,1364.9680363
2017-02-10,14010.8124136,4474.923864,2572.3055634,2842.6914926,2806.7034284,1314.1880652
2017-02-13,14841.2534507,4576.0829157,2853.0916164,2885.0799992,3139.4255808,1387.5733386
2017-02-14,14952.4275485,4574.8571679,2877.4073669,2885.387944,3213.9901959,1400.7848738
2017-02-15,14470.1652969,4548.4986061,2726.9787818,2909.4227628,2932.9475783,1352.3175679
2017-02-16,14265.6073775,4538.4032492,2534.7368188,2936.376322,2918.514246,1337.5767415
2017-02-17,14097.9260836,4411.9389535,2507.9313402,2955.234859,2890.5053941,1332.3155368
2017-02-20,14412.6587114,4433.8522831,2507.6176711,3251.9445518,2902.6210905,1316.6231149
2017-02-21,14427.1047343,4425.4649922,2519.7847129,3204.0770094,2921.2953477,1356.4826721
2017-02-22,14245.3298962,4413.2347698,2486.3240189,3102.4529266,2897.0973551,1346.2208258
2017-02-23,14046.5288802,4363.9865014,2450.0033895,3034.0030482,2869.4734651,1329.062476
2017-02-24,14085.0633156,4411.6348282,2372.2431783,3005.535965,2810.9306019,1484.7187422
2017-02-27,14332.3925552,4507.2408424,2390.732232,3172.6038884,2800.6925528,1461.1230396
2017-02-28,14212.655741,4546.3285996,2391.4458306,3064.1076578,2778.8847942,1431.8888588
2017-03-01,14475.9276852,4618.8809594,2433.1826197,3196.3114434,2853.658125,1373.8945377
2017-03-02,14581.3575141,4658.5033086,2465.1572651,3207.3277296,2873.5723009,1376.7969099
2017-03-03,14616.7546025,4690.3874239,2460.6869,3321.2909422,2864.5937892,1279.7955472
2017-03-06,14766.0495957,4850.4166803,2407.453095,3324.39802,2909.2976233,1274.4841771
2017-03-07,14703.4521303,4839.0903909,2422.8343917,3246.5909478,2920.5066284,1274.4297715
2017-03-08,14568.5155438,4621.1540743,2462.3205577,3339.1366056,2900.7208519,1245.1834543
2017-03-09,14227.5922989,4559.1960624,2337.7119905,3245.3671552,2833.2265216,1252.0905692
2017-03-10,14133.1517764,4472.1285744,2319.4755736,3215.5121744,2859.213689,1266.821765
2017-03-13,14495.9106702,4430.2249871,2338.9698391,3571.633356,2897.3336131,1257.7488749
2017-03-14,14301.555626,4459.3167231,2329.5865598,3371.0641978,2868.8733342,1272.7148111
2017-03-15,14361.972344,4437.6375016,2324.0885301,3535.8743114,2788.1999016,1276.1720993
2017-03-16,14464.0470211,4531.0079962,2354.6580514,3465.07288,2822.5666407,1290.7414528
2017-03-17,14268.886236,4501.0561821,2320.3890789,3336.3740684,2835.4180689,1275.6488377
2017-03-20,14405.0336717,4597.885042,2320.5908129,3309.312161,2863.4526924,1313.7929634
2017-03-21,14162.3822265,4625.676674,2276.8550908,3137.9759338,2842.4499787,1279.4245492
2017-03-22,14126.6615216,4652.612017,2211.8629474,3094.1979026,2855.7336963,1312.2549583
