,code
A,NH0001.NHF
Y,NH0002.NHF
C,NH0003.NHF
L,NH0004.NHF
WH,NH0005.NHF
CF,NH0006.NHF
SR,NH0007.NHF
AU,NH0008.NHF
ZN,NH0009.NHF
FU,NH0010.NHF
TA,NH0011.NHF
CU,NH0012.NHF
AL,NH0013.NHF
RU,NH0014.NHF
M,NH0015.NHF
RB,NH0016.NHF
WR,NH0017.NHF
RI,NH0018.NHF
V,NH0019.NHF
OI,NH0020.NHF
P,NH0021.NHF
J,NH0022.NHF
PB,NH0023.NHF
MA,NH0024.NHF
AG,NH0025.NHF
FG,NH0026.NHF
RS,NH0027.NHF
RM,NH0028.NHF
JM,NH0029.NHF
ZC,NH0030.NHF
BU,NH0031.NHF
I,NH0032.NHF
JD,NH0033.NHF
JR,NH0034.NHF
BB,NH0035.NHF
FB,NH0036.NHF
PP,NH0037.NHF
HC,NH0038.NHF
CY,NH0039.NHF
AP,NH0040.NHF
CS,NHCS.NHF
LR,NHLR.NHF
NI,NHNI.NHF
SF,NHSF.NHF
SM,NHSM.NHF
SN,NHSN.NHF
Commodity,NH0100.NHF
