,contract_issue_date,last_trade_date
A9901.DCE,1999-01-04,1999-01-15
A9903.DCE,1999-01-04,1999-03-12
A9905.DCE,1999-01-04,1999-05-17
A9907.DCE,1999-01-04,1999-07-14
A9909.DCE,1999-01-04,1999-09-14
A9911.DCE,1999-01-04,1999-11-12
A0001.DCE,1999-01-18,2000-01-18
A0003.DCE,1999-03-15,2000-03-14
A0005.DCE,1999-05-18,2000-05-19
A0007.DCE,1999-07-15,2000-07-14
A0009.DCE,1999-09-15,2000-09-14
A0011.DCE,1999-11-15,2000-11-14
A0101.DCE,2000-01-19,2001-01-15
A0103.DCE,2000-03-15,2001-03-14
A0105.DCE,2000-05-22,2001-05-21
A0107.DCE,2000-07-17,2001-07-13
A0109.DCE,2000-09-15,2001-09-14
A0111.DCE,2000-11-15,2001-11-14
A0201.DCE,2001-01-16,2002-01-18
A0203.DCE,2001-03-15,2002-03-14
A0205.DCE,2001-05-22,2002-05-21
A0207.DCE,2001-07-16,2002-07-12
A0209.DCE,2001-09-17,2002-09-13
A0211.DCE,2001-11-15,2002-11-14
A0301.DCE,2002-01-21,2003-01-15
A0303.DCE,2002-03-15,2003-03-14
A0305.DCE,2002-03-15,2003-05-23
A0307.DCE,2002-03-15,2003-07-14
A0309.DCE,2002-05-22,2003-09-12
A0311.DCE,2002-05-22,2003-11-14
A0401.DCE,2002-07-15,2004-01-15
A0403.DCE,2002-09-16,2004-03-12
A0405.DCE,2002-11-15,2004-05-21
A0407.DCE,2003-01-16,2004-07-14
A0409.DCE,2003-03-17,2004-09-14
A0411.DCE,2003-05-26,2004-11-12
A0501.DCE,2003-07-15,2005-01-17
A0503.DCE,2003-09-15,2005-03-14
A0505.DCE,2003-11-17,2005-05-20
A0507.DCE,2004-01-16,2005-07-14
A0509.DCE,2004-03-15,2005-09-14
A0511.DCE,2004-05-24,2005-11-14
A0601.DCE,2004-07-15,2006-01-17
A0603.DCE,2004-09-15,2006-03-14
A0605.DCE,2004-11-15,2006-05-19
A0607.DCE,2005-01-18,2006-07-14
A0609.DCE,2005-03-15,2006-09-14
A0611.DCE,2005-05-23,2006-11-14
A0701.DCE,2005-07-15,2007-01-17
A0703.DCE,2005-09-15,2007-03-14
A0705.DCE,2005-11-15,2007-05-21
A0707.DCE,2006-01-18,2007-07-13
A0709.DCE,2006-03-15,2007-09-14
A0711.DCE,2006-05-22,2007-11-14
A0801.DCE,2006-07-17,2008-01-15
A0803.DCE,2006-09-15,2008-03-14
A0805.DCE,2006-11-15,2008-05-16
A0807.DCE,2007-01-18,2008-07-14
A0809.DCE,2007-03-15,2008-09-12
A0811.DCE,2007-05-22,2008-11-14
A0901.DCE,2007-07-16,2009-01-16
A0903.DCE,2007-09-17,2009-03-13
A0905.DCE,2007-11-15,2009-05-15
A0907.DCE,2008-01-16,2009-07-14
A0909.DCE,2008-03-17,2009-09-14
A0911.DCE,2008-05-19,2009-11-13
A1001.DCE,2008-07-15,2010-01-15
A1003.DCE,2008-09-16,2010-03-12
A1005.DCE,2008-11-17,2010-05-17
A1007.DCE,2009-01-19,2010-07-14
A1009.DCE,2009-03-16,2010-09-14
A1011.DCE,2009-05-18,2010-11-12
A1101.DCE,2009-07-15,2011-01-17
A1103.DCE,2009-09-15,2011-03-14
A1105.DCE,2009-11-16,2011-05-16
A1107.DCE,2010-01-18,2011-07-14
A1109.DCE,2010-03-15,2011-09-15
A1111.DCE,2010-05-18,2011-11-14
A1201.DCE,2010-07-15,2012-01-17
A1203.DCE,2010-09-15,2012-03-14
A1205.DCE,2010-11-15,2012-05-15
A1207.DCE,2011-01-18,2012-07-13
A1209.DCE,2011-03-15,2012-09-14
A1211.DCE,2011-05-17,2012-11-14
A1301.DCE,2011-07-15,2013-01-17
A1303.DCE,2011-09-16,2013-03-14
A1305.DCE,2011-11-15,2013-05-15
A1307.DCE,2012-01-18,2013-07-12
A1309.DCE,2012-03-15,2013-09-13
A1311.DCE,2012-05-16,2013-11-14
A1401.DCE,2012-07-16,2014-01-15
A1403.DCE,2012-09-17,2014-03-14
A1405.DCE,2012-11-15,2014-05-16
A1407.DCE,2013-01-18,2014-07-14
A1409.DCE,2013-03-15,2014-09-15
A1411.DCE,2013-05-16,2014-11-14
A1501.DCE,2013-07-15,2015-01-16
A1503.DCE,2013-09-16,2015-03-13
A1505.DCE,2013-11-15,2015-05-15
A1507.DCE,2014-01-16,2015-07-14
A1509.DCE,2014-03-17,2015-09-16
A1511.DCE,2014-05-19,2015-11-13
A1601.DCE,2014-07-15,2016-01-15
A1603.DCE,2014-09-16,2016-03-14
A1605.DCE,2014-11-17,2016-05-16
A1607.DCE,2015-01-19,2016-07-14
A1609.DCE,2015-03-16,2016-09-14
A1611.DCE,2015-05-18,2016-11-14
A1701.DCE,2015-07-15,2017-01-16
A1703.DCE,2015-09-17,2017-03-14
A1705.DCE,2015-11-16,2017-05-15
A1707.DCE,2016-01-18,2017-07-14
A1709.DCE,2016-03-15,2017-09-14
A1711.DCE,2016-05-17,2017-11-14
A1801.DCE,2016-07-15,2018-01-15
A1803.DCE,2016-09-19,2018-03-14
A1805.DCE,2016-11-15,2018-05-15
A1807.DCE,2017-01-17,2018-07-13
A1809.DCE,2017-03-15,2018-09-14
A1811.DCE,2017-05-16,2018-11-14
A1901.DCE,2017-07-17,2019-01-16
A1903.DCE,2017-09-15,2019-03-14
A1905.DCE,2017-11-15,2019-05-15
A1907.DCE,2018-01-16,2019-07-12
A1909.DCE,2018-03-15,2019-09-13
