,contract_issue_date,last_trade_date
AG1209.SHF,2012-05-10,2012-09-17
AG1210.SHF,2012-05-10,2012-10-15
AG1211.SHF,2012-05-10,2012-11-15
AG1212.SHF,2012-05-10,2012-12-17
AG1301.SHF,2012-05-10,2013-01-15
AG1302.SHF,2012-05-10,2013-02-18
AG1303.SHF,2012-05-10,2013-03-15
AG1304.SHF,2012-05-10,2013-04-15
AG1305.SHF,2012-05-16,2013-05-15
AG1306.SHF,2012-06-18,2013-06-17
AG1307.SHF,2012-07-17,2013-07-15
AG1308.SHF,2012-08-16,2013-08-15
AG1309.SHF,2012-09-18,2013-09-16
AG1310.SHF,2012-10-16,2013-10-15
AG1311.SHF,2012-11-16,2013-11-15
AG1312.SHF,2012-12-18,2013-12-16
AG1401.SHF,2013-01-16,2014-01-15
AG1402.SHF,2013-02-19,2014-02-17
AG1403.SHF,2013-03-18,2014-03-17
AG1404.SHF,2013-04-16,2014-04-15
AG1405.SHF,2013-05-16,2014-05-15
AG1406.SHF,2013-06-18,2014-06-16
AG1407.SHF,2013-07-16,2014-07-15
AG1408.SHF,2013-08-16,2014-08-15
AG1409.SHF,2013-09-17,2014-09-15
AG1410.SHF,2013-10-16,2014-10-15
AG1411.SHF,2013-11-18,2014-11-17
AG1412.SHF,2013-12-17,2014-12-15
AG1501.SHF,2014-01-16,2015-01-15
AG1502.SHF,2014-02-18,2015-02-10
AG1503.SHF,2014-03-18,2015-03-16
AG1504.SHF,2014-04-16,2015-04-15
AG1505.SHF,2014-05-16,2015-05-15
AG1506.SHF,2014-06-17,2015-06-15
AG1507.SHF,2014-07-16,2015-07-15
AG1508.SHF,2014-08-18,2015-08-17
AG1509.SHF,2014-09-16,2015-09-15
AG1510.SHF,2014-10-16,2015-10-15
AG1511.SHF,2014-11-18,2015-11-16
AG1512.SHF,2014-12-16,2015-12-15
AG1601.SHF,2015-01-16,2016-01-15
AG1602.SHF,2015-02-16,2016-02-15
AG1603.SHF,2015-03-17,2016-03-15
AG1604.SHF,2015-04-16,2016-04-15
AG1605.SHF,2015-05-18,2016-05-16
AG1606.SHF,2015-06-16,2016-06-15
AG1607.SHF,2015-07-16,2016-07-15
AG1608.SHF,2015-08-18,2016-08-15
AG1609.SHF,2015-09-16,2016-09-19
AG1610.SHF,2015-10-16,2016-10-17
AG1611.SHF,2015-11-17,2016-11-15
AG1612.SHF,2015-12-16,2016-12-15
AG1701.SHF,2016-01-18,2017-01-16
AG1702.SHF,2016-02-16,2017-02-15
AG1703.SHF,2016-03-16,2017-03-15
AG1704.SHF,2016-04-18,2017-04-17
AG1705.SHF,2016-05-17,2017-05-15
AG1706.SHF,2016-06-16,2017-06-15
AG1707.SHF,2016-07-18,2017-07-17
AG1708.SHF,2016-08-16,2017-08-15
AG1709.SHF,2016-09-20,2017-09-15
AG1710.SHF,2016-10-18,2017-10-16
AG1711.SHF,2016-11-16,2017-11-15
AG1712.SHF,2016-12-16,2017-12-15
AG1801.SHF,2017-01-17,2018-01-15
AG1802.SHF,2017-02-16,2018-02-09
AG1803.SHF,2017-03-16,2018-03-15
AG1804.SHF,2017-04-18,2018-04-16
AG1805.SHF,2017-05-16,2018-05-15
AG1806.SHF,2017-06-16,2018-06-15
AG1807.SHF,2017-07-18,2018-07-16
AG1808.SHF,2017-08-16,2018-08-15
AG1809.SHF,2017-09-18,2018-09-17
AG1810.SHF,2017-10-17,2018-10-15
AG1811.SHF,2017-11-16,2018-11-15
AG1812.SHF,2017-12-18,2018-12-17
AG1901.SHF,2018-01-16,2019-01-15
AG1902.SHF,2018-02-12,2019-02-15
AG1903.SHF,2018-03-16,2019-03-15
AG1904.SHF,2018-04-17,2019-04-15
