,contract_issue_date,last_trade_date
AL9901.SHF,1998-07-01,1999-01-15
AL9902.SHF,1998-10-06,1999-02-23
AL9903.SHF,1998-10-19,1999-03-15
AL9904.SHF,1998-11-30,1999-04-15
AL9905.SHF,1999-01-13,1999-05-17
AL9906.SHF,1999-02-03,1999-06-15
AL9907.SHF,1999-03-02,1999-07-15
AL9908.SHF,1999-03-23,1999-08-16
AL9909.SHF,1999-04-16,1999-09-15
AL9910.SHF,1999-04-26,1999-10-15
AL9911.SHF,1999-06-11,1999-11-15
AL9912.SHF,1999-01-12,1999-12-15
AL0001.SHF,1999-08-04,2000-01-17
AL0002.SHF,1999-08-31,2000-02-15
AL0003.SHF,1999-09-10,2000-03-15
AL0004.SHF,1999-10-11,2000-04-17
AL0005.SHF,1999-11-30,2000-05-15
AL0006.SHF,1999-11-30,2000-06-15
AL0007.SHF,2000-01-20,2000-07-17
AL0008.SHF,2000-02-02,2000-08-15
AL0009.SHF,2000-02-15,2000-09-15
AL0010.SHF,2000-02-17,2000-10-16
AL0011.SHF,2000-04-26,2000-11-15
AL0012.SHF,2000-05-23,2000-12-15
AL0101.SHF,2000-07-18,2001-01-15
AL0102.SHF,2000-08-15,2001-02-15
AL0103.SHF,2000-09-07,2001-03-15
AL0104.SHF,2000-09-29,2001-04-16
AL0105.SHF,2000-10-20,2001-05-15
AL0106.SHF,2000-10-23,2001-06-15
AL0107.SHF,2000-10-31,2001-07-16
AL0108.SHF,2000-11-09,2001-08-15
AL0109.SHF,2001-04-03,2001-09-17
AL0110.SHF,2001-04-06,2001-10-15
AL0111.SHF,2001-03-02,2001-11-15
AL0112.SHF,2001-05-10,2001-12-17
AL0201.SHF,2001-06-06,2002-01-15
AL0202.SHF,2001-07-17,2002-02-19
AL0203.SHF,2001-08-07,2002-03-15
AL0204.SHF,2001-09-20,2002-04-15
AL0205.SHF,2001-10-26,2002-05-15
AL0206.SHF,2001-10-22,2002-06-17
AL0207.SHF,2001-12-25,2002-07-15
AL0208.SHF,2002-02-04,2002-08-15
AL0209.SHF,2002-03-04,2002-09-16
AL0210.SHF,2002-03-20,2002-10-15
AL0211.SHF,2002-03-20,2002-11-15
AL0212.SHF,2002-03-20,2002-12-16
AL0301.SHF,2002-06-13,2003-01-15
AL0302.SHF,2002-07-16,2003-02-17
AL0303.SHF,2002-06-06,2003-03-17
AL0304.SHF,2002-09-10,2003-04-15
AL0305.SHF,2002-10-23,2003-05-15
AL0306.SHF,2002-11-18,2003-06-16
AL0307.SHF,2002-12-12,2003-07-15
AL0308.SHF,2002-12-31,2003-08-15
AL0309.SHF,2003-01-10,2003-09-15
AL0310.SHF,2003-02-28,2003-10-15
AL0311.SHF,2003-02-28,2003-11-17
AL0312.SHF,2003-04-14,2003-12-15
AL0401.SHF,2003-01-16,2004-01-15
AL0402.SHF,2003-02-18,2004-02-16
AL0403.SHF,2003-03-18,2004-03-15
AL0404.SHF,2003-04-16,2004-04-15
AL0405.SHF,2003-05-16,2004-05-17
AL0406.SHF,2003-06-17,2004-06-15
AL0407.SHF,2003-07-16,2004-07-15
AL0408.SHF,2003-08-18,2004-08-16
AL0409.SHF,2003-09-16,2004-09-15
AL0410.SHF,2003-10-16,2004-10-15
AL0411.SHF,2003-11-18,2004-11-15
AL0412.SHF,2003-12-16,2004-12-15
AL0501.SHF,2004-01-16,2005-01-17
AL0502.SHF,2004-02-17,2005-02-04
AL0503.SHF,2004-03-16,2005-03-15
AL0504.SHF,2004-04-16,2005-04-15
AL0505.SHF,2004-05-18,2005-05-16
AL0506.SHF,2004-06-16,2005-06-15
AL0507.SHF,2004-07-16,2005-07-15
AL0508.SHF,2004-08-17,2005-08-15
AL0509.SHF,2004-09-16,2005-09-15
AL0510.SHF,2004-10-18,2005-10-17
AL0511.SHF,2004-11-16,2005-11-15
AL0512.SHF,2004-12-16,2005-12-15
AL0601.SHF,2005-01-18,2006-01-16
AL0602.SHF,2005-02-16,2006-02-15
AL0603.SHF,2005-03-16,2006-03-15
AL0604.SHF,2005-04-18,2006-04-17
AL0605.SHF,2005-05-17,2006-05-15
AL0606.SHF,2005-06-16,2006-06-15
AL0607.SHF,2005-07-18,2006-07-17
