,contract_issue_date,last_trade_date
CF0411.CZC,2004-06-01,2004-11-12
CF0412.CZC,2004-06-01,2004-12-14
CF0501.CZC,2004-06-01,2005-01-17
CF0503.CZC,2004-06-01,2005-03-14
CF0504.CZC,2004-06-01,2005-04-14
CF0505.CZC,2004-06-01,2005-05-20
CF0506.CZC,2004-06-01,2005-06-14
CF0507.CZC,2004-06-01,2005-07-14
CF0508.CZC,2004-06-01,2005-08-12
CF0509.CZC,2004-10-08,2005-09-14
CF0510.CZC,2004-11-01,2005-10-21
CF0511.CZC,2004-12-01,2005-11-14
CF0512.CZC,2005-01-04,2005-12-14
CF0601.CZC,2005-02-01,2006-01-17
CF0603.CZC,2005-04-01,2006-03-14
CF0604.CZC,2005-05-09,2006-04-14
CF0605.CZC,2005-06-01,2006-05-19
CF0606.CZC,2005-07-01,2006-06-14
CF0607.CZC,2005-08-01,2006-07-14
CF0608.CZC,2005-09-01,2006-08-14
CF0609.CZC,2005-10-10,2006-09-14
CF0610.CZC,2005-11-01,2006-10-20
CF0611.CZC,2005-12-01,2006-11-14
CF0612.CZC,2006-01-04,2006-12-14
CF0701.CZC,2006-02-06,2007-01-17
CF0703.CZC,2006-04-03,2007-03-14
CF0704.CZC,2006-05-08,2007-04-13
CF0705.CZC,2006-06-01,2007-05-21
CF0707.CZC,2006-07-17,2007-07-13
CF0709.CZC,2006-09-15,2007-09-14
CF0711.CZC,2006-11-15,2007-11-14
CF0801.CZC,2007-01-18,2008-01-15
CF0803.CZC,2007-03-15,2008-03-14
CF0805.CZC,2007-05-22,2008-05-16
CF0807.CZC,2007-07-16,2008-07-14
CF0809.CZC,2007-09-17,2008-09-12
CF0811.CZC,2007-11-15,2008-11-14
CF0901.CZC,2008-01-16,2009-01-16
CF0903.CZC,2008-03-17,2009-03-13
CF0905.CZC,2008-05-19,2009-05-15
CF0907.CZC,2008-07-15,2009-07-14
CF0909.CZC,2008-09-16,2009-09-14
CF0911.CZC,2008-11-17,2009-11-13
CF1001.CZC,2009-01-19,2010-01-15
CF1003.CZC,2009-03-16,2010-03-12
CF1005.CZC,2009-05-18,2010-05-17
CF1007.CZC,2009-07-15,2010-07-14
CF1009.CZC,2009-09-15,2010-09-14
CF1011.CZC,2009-11-16,2010-11-12
CF1101.CZC,2010-01-18,2011-01-17
CF1103.CZC,2010-03-15,2011-03-14
CF1105.CZC,2010-05-18,2011-05-16
CF1107.CZC,2010-07-15,2011-07-14
CF1109.CZC,2010-09-15,2011-09-15
CF1111.CZC,2010-11-15,2011-11-14
CF1201.CZC,2011-01-18,2012-01-17
CF1203.CZC,2011-03-15,2012-03-14
CF1205.CZC,2011-05-17,2012-05-15
CF1207.CZC,2011-07-15,2012-07-13
CF1209.CZC,2011-09-16,2012-09-14
CF1211.CZC,2011-11-15,2012-11-14
CF1301.CZC,2012-01-18,2013-01-17
CF1303.CZC,2012-03-15,2013-03-14
CF1305.CZC,2012-05-16,2013-05-15
CF1307.CZC,2012-07-16,2013-07-12
CF1309.CZC,2012-09-17,2013-09-13
CF1311.CZC,2012-12-25,2013-11-14
CF1401.CZC,2013-01-18,2014-01-15
CF1403.CZC,2013-03-15,2014-03-14
CF1405.CZC,2013-05-16,2014-05-16
CF1407.CZC,2013-07-15,2014-07-14
CF1409.CZC,2013-09-16,2014-09-15
CF1411.CZC,2013-11-15,2014-11-14
CF1501.CZC,2014-01-16,2015-01-16
CF1503.CZC,2014-03-17,2015-03-13
CF1505.CZC,2014-05-19,2015-05-15
CF1507.CZC,2014-07-15,2015-07-14
CF1509.CZC,2014-09-16,2015-09-16
CF1511.CZC,2014-11-17,2015-11-13
CF1601.CZC,2015-01-19,2016-01-15
CF1603.CZC,2015-03-16,2016-03-14
CF1605.CZC,2015-05-18,2016-05-16
CF607.CZC,2015-07-15,2016-07-14
CF609.CZC,2015-09-17,2016-09-14
CF611.CZC,2015-11-16,2016-11-14
CF701.CZC,2016-01-18,2017-01-16
CF703.CZC,2016-03-15,2017-03-14
CF705.CZC,2016-05-17,2017-05-15
CF707.CZC,2016-07-15,2017-07-14
CF709.CZC,2016-09-19,2017-09-14
CF711.CZC,2016-11-15,2017-11-14
CF801.CZC,2017-01-17,2018-01-15
CF803.CZC,2017-03-15,2018-03-14
CF805.CZC,2017-05-16,2018-05-15
CF807.CZC,2017-07-17,2018-07-13
CF809.CZC,2017-09-15,2018-09-14
CF811.CZC,2017-11-15,2018-11-14
CF901.CZC,2018-01-16,2019-01-15
CF903.CZC,2018-03-15,2019-03-14
