,contract_issue_date,last_trade_date
FG1303.CZC,2012-12-03,2013-03-14
FG1304.CZC,2012-12-03,2013-04-16
FG1305.CZC,2012-12-03,2013-05-15
FG1306.CZC,2012-12-03,2013-06-19
FG1307.CZC,2012-12-03,2013-07-12
FG1308.CZC,2012-12-03,2013-08-14
FG1309.CZC,2012-12-03,2013-09-13
FG1310.CZC,2012-12-03,2013-10-21
FG1311.CZC,2012-12-03,2013-11-14
FG1312.CZC,2012-12-17,2013-12-13
FG1401.CZC,2013-01-18,2014-01-15
FG1402.CZC,2013-02-22,2014-02-20
FG1403.CZC,2013-03-15,2014-03-14
FG1404.CZC,2013-04-17,2014-04-15
FG1405.CZC,2013-05-16,2014-05-16
FG1406.CZC,2013-06-20,2014-06-16
FG1407.CZC,2013-07-15,2014-07-14
FG1408.CZC,2013-08-15,2014-08-14
FG1409.CZC,2013-09-16,2014-09-15
FG1410.CZC,2013-10-22,2014-10-21
FG1411.CZC,2013-11-15,2014-11-14
FG1412.CZC,2013-12-16,2014-12-12
FG1501.CZC,2014-01-16,2015-01-16
FG1502.CZC,2014-02-21,2015-02-13
FG1503.CZC,2014-03-17,2015-03-13
FG1504.CZC,2014-04-16,2015-04-15
FG1505.CZC,2014-05-19,2015-05-15
FG1506.CZC,2014-06-17,2015-06-12
FG1507.CZC,2014-07-15,2015-07-14
FG1508.CZC,2014-08-15,2015-08-14
FG1509.CZC,2014-09-16,2015-09-16
FG1510.CZC,2014-10-22,2015-10-21
FG1511.CZC,2014-11-17,2015-11-13
FG1512.CZC,2014-12-15,2015-12-14
FG1601.CZC,2015-01-19,2016-01-15
FG1602.CZC,2015-02-16,2016-02-19
FG1603.CZC,2015-03-16,2016-03-14
FG1604.CZC,2015-04-16,2016-04-15
FG1605.CZC,2015-05-18,2016-05-16
FG1606.CZC,2015-06-15,2016-06-16
FG607.CZC,2015-07-15,2016-07-14
FG608.CZC,2015-08-17,2016-08-12
FG609.CZC,2015-09-17,2016-09-14
FG610.CZC,2015-10-22,2016-10-21
FG611.CZC,2015-11-16,2016-11-14
FG612.CZC,2015-12-15,2016-12-14
FG701.CZC,2016-01-18,2017-01-16
FG702.CZC,2016-02-22,2017-02-16
FG703.CZC,2016-03-15,2017-03-14
FG704.CZC,2016-04-18,2017-04-18
FG705.CZC,2016-05-17,2017-05-15
FG706.CZC,2016-06-17,2017-06-14
FG707.CZC,2016-07-15,2017-07-14
FG708.CZC,2016-08-15,2017-08-14
FG709.CZC,2016-09-19,2017-09-14
FG710.CZC,2016-10-24,2017-10-20
FG711.CZC,2016-11-15,2017-11-14
FG712.CZC,2016-12-15,2017-12-14
FG801.CZC,2017-01-17,2018-01-15
FG802.CZC,2017-02-17,2018-02-14
FG803.CZC,2017-03-15,2018-03-14
FG804.CZC,2017-04-19,2018-04-17
FG805.CZC,2017-05-16,2018-05-15
FG806.CZC,2017-06-15,2018-06-14
FG807.CZC,2017-07-17,2018-07-13
FG808.CZC,2017-08-15,2018-08-14
FG809.CZC,2017-09-15,2018-09-14
FG810.CZC,2017-10-23,2018-10-19
FG811.CZC,2017-11-15,2018-11-14
FG812.CZC,2017-12-15,2018-12-14
FG901.CZC,2018-01-16,2019-01-15
FG902.CZC,2018-02-22,2019-02-14
FG903.CZC,2018-03-15,2019-03-14
FG904.CZC,2018-04-18,2019-04-15
