,contract_issue_date,last_trade_date
IC1505.CFE,2015-04-16,2015-05-15
IC1506.CFE,2015-04-16,2015-06-19
IC1507.CFE,2015-05-18,2015-07-17
IC1508.CFE,2015-06-23,2015-08-21
IC1509.CFE,2015-04-16,2015-09-18
IC1510.CFE,2015-08-24,2015-10-16
IC1511.CFE,2015-09-21,2015-11-20
IC1512.CFE,2015-04-16,2015-12-18
IC1601.CFE,2015-11-23,2016-01-15
IC1602.CFE,2015-12-21,2016-02-19
IC1603.CFE,2015-07-20,2016-03-18
IC1604.CFE,2016-02-22,2016-04-15
IC1605.CFE,2016-03-21,2016-05-20
IC1606.CFE,2015-10-19,2016-06-17
IC1607.CFE,2016-05-23,2016-07-15
IC1608.CFE,2016-06-20,2016-08-19
IC1609.CFE,2016-01-18,2016-09-19
IC1610.CFE,2016-08-22,2016-10-21
IC1611.CFE,2016-09-20,2016-11-18
IC1612.CFE,2016-04-18,2016-12-16
IC1701.CFE,2016-11-21,2017-01-20
IC1702.CFE,2016-12-19,2017-02-17
IC1703.CFE,2016-07-18,2017-03-17
IC1704.CFE,2017-02-20,2017-04-21
IC1705.CFE,2017-03-20,2017-05-19
IC1706.CFE,2016-10-24,2017-06-16
IC1707.CFE,2017-05-22,2017-07-21
IC1708.CFE,2017-06-19,2017-08-18
IC1709.CFE,2017-01-23,2017-09-15
IC1710.CFE,2017-08-21,2017-10-20
IC1711.CFE,2017-09-18,2017-11-17
IC1712.CFE,2017-04-24,2017-12-15
IC1801.CFE,2017-11-20,2018-01-19
IC1802.CFE,2017-12-18,2018-02-22
IC1803.CFE,2017-07-24,2018-03-16
IC1804.CFE,2018-02-23,2018-04-20
IC1805.CFE,2018-03-19,2018-05-18
IC1806.CFE,2017-10-23,2018-06-15
IC1809.CFE,2018-01-22,2018-09-21
