,contract_issue_date,last_trade_date
J1109.DCE,2011-04-15,2011-09-15
J1110.DCE,2011-04-15,2011-10-21
J1111.DCE,2011-04-15,2011-11-14
J1112.DCE,2011-04-15,2011-12-14
J1201.DCE,2011-04-15,2012-01-17
J1202.DCE,2011-04-15,2012-02-14
J1203.DCE,2011-04-15,2012-03-14
J1204.DCE,2011-04-15,2012-04-18
J1205.DCE,2011-05-17,2012-05-15
J1206.DCE,2011-06-16,2012-06-14
J1207.DCE,2011-07-15,2012-07-13
J1208.DCE,2011-08-15,2012-08-14
J1209.DCE,2011-09-16,2012-09-14
J1210.DCE,2011-10-24,2012-10-19
J1211.DCE,2011-11-15,2012-11-14
J1212.DCE,2011-12-15,2012-12-14
J1301.DCE,2012-01-18,2013-01-17
J1302.DCE,2012-02-15,2013-02-21
J1303.DCE,2012-03-15,2013-03-14
J1304.DCE,2012-04-19,2013-04-16
J1305.DCE,2012-05-16,2013-05-15
J1306.DCE,2012-06-15,2013-06-19
J1307.DCE,2012-07-16,2013-07-12
J1308.DCE,2012-08-15,2013-08-14
J1309.DCE,2012-09-17,2013-09-13
J1310.DCE,2012-10-22,2013-10-21
J1311.DCE,2012-11-15,2013-11-14
J1312.DCE,2012-12-17,2013-12-13
J1401.DCE,2013-01-18,2014-01-15
J1402.DCE,2013-02-22,2014-02-20
J1403.DCE,2013-03-15,2014-03-14
J1404.DCE,2013-04-17,2014-04-15
J1405.DCE,2013-05-16,2014-05-16
J1406.DCE,2013-06-20,2014-06-16
J1407.DCE,2013-07-15,2014-07-14
J1408.DCE,2013-08-15,2014-08-14
J1409.DCE,2013-09-16,2014-09-15
J1410.DCE,2013-10-22,2014-10-21
J1411.DCE,2013-11-15,2014-11-14
J1412.DCE,2013-12-16,2014-12-12
J1501.DCE,2014-01-16,2015-01-16
J1502.DCE,2014-02-21,2015-02-13
J1503.DCE,2014-03-17,2015-03-13
J1504.DCE,2014-04-16,2015-04-15
J1505.DCE,2014-05-19,2015-05-15
J1506.DCE,2014-06-17,2015-06-12
J1507.DCE,2014-07-15,2015-07-14
J1508.DCE,2014-08-15,2015-08-14
J1509.DCE,2014-09-16,2015-09-16
J1510.DCE,2014-10-22,2015-10-21
J1511.DCE,2014-11-17,2015-11-13
J1512.DCE,2014-12-15,2015-12-14
J1601.DCE,2015-01-19,2016-01-15
J1602.DCE,2015-02-16,2016-02-19
J1603.DCE,2015-03-16,2016-03-14
J1604.DCE,2015-04-16,2016-04-15
J1605.DCE,2015-05-18,2016-05-16
J1606.DCE,2015-06-15,2016-06-16
J1607.DCE,2015-07-15,2016-07-14
J1608.DCE,2015-08-17,2016-08-12
J1609.DCE,2015-09-17,2016-09-14
J1610.DCE,2015-10-22,2016-10-21
J1611.DCE,2015-11-16,2016-11-14
J1612.DCE,2015-12-15,2016-12-14
J1701.DCE,2016-01-18,2017-01-16
J1702.DCE,2016-02-22,2017-02-16
J1703.DCE,2016-03-15,2017-03-14
J1704.DCE,2016-04-18,2017-04-18
J1705.DCE,2016-05-17,2017-05-15
J1706.DCE,2016-06-17,2017-06-14
J1707.DCE,2016-07-15,2017-07-14
J1708.DCE,2016-08-15,2017-08-14
J1709.DCE,2016-09-19,2017-09-14
J1710.DCE,2016-10-24,2017-10-20
J1711.DCE,2016-11-15,2017-11-14
J1712.DCE,2016-12-15,2017-12-14
J1801.DCE,2017-01-17,2018-01-15
J1802.DCE,2017-02-17,2018-02-14
J1803.DCE,2017-03-15,2018-03-14
J1804.DCE,2017-04-19,2018-04-17
J1805.DCE,2017-05-16,2018-05-15
J1806.DCE,2017-06-15,2018-06-14
J1807.DCE,2017-07-17,2018-07-13
J1808.DCE,2017-08-15,2018-08-14
J1809.DCE,2017-09-15,2018-09-14
J1810.DCE,2017-10-23,2018-10-19
J1811.DCE,2017-11-15,2018-11-14
J1812.DCE,2017-12-15,2018-12-14
J1901.DCE,2018-01-16,2019-01-16
J1902.DCE,2018-02-22,2019-02-15
J1903.DCE,2018-03-15,2019-03-14
J1904.DCE,2018-04-18,2019-04-17
