,contract_issue_date,last_trade_date
NI1507.SHF,2015-03-27,2015-07-15
NI1508.SHF,2015-03-27,2015-08-17
NI1509.SHF,2015-03-27,2015-09-15
NI1510.SHF,2015-03-27,2015-10-15
NI1511.SHF,2015-03-27,2015-11-16
NI1512.SHF,2015-03-27,2015-12-15
NI1601.SHF,2015-03-27,2016-01-15
NI1602.SHF,2015-03-27,2016-02-15
NI1603.SHF,2015-03-27,2016-03-15
NI1604.SHF,2015-04-16,2016-04-15
NI1605.SHF,2015-05-18,2016-05-16
NI1606.SHF,2015-06-16,2016-06-15
NI1607.SHF,2015-07-16,2016-07-15
NI1608.SHF,2015-08-18,2016-08-15
NI1609.SHF,2015-09-16,2016-09-19
NI1610.SHF,2015-10-16,2016-10-17
NI1611.SHF,2015-11-17,2016-11-15
NI1612.SHF,2015-12-16,2016-12-15
NI1701.SHF,2016-01-18,2017-01-16
NI1702.SHF,2016-02-16,2017-02-15
NI1703.SHF,2016-03-16,2017-03-15
NI1704.SHF,2016-04-18,2017-04-17
NI1705.SHF,2016-05-17,2017-05-15
NI1706.SHF,2016-06-16,2017-06-15
NI1707.SHF,2016-07-18,2017-07-17
NI1708.SHF,2016-08-16,2017-08-15
NI1709.SHF,2016-09-20,2017-09-15
NI1710.SHF,2016-10-18,2017-10-16
NI1711.SHF,2016-11-16,2017-11-15
NI1712.SHF,2016-12-16,2017-12-15
NI1801.SHF,2017-01-17,2018-01-15
NI1802.SHF,2017-02-16,2018-02-09
NI1803.SHF,2017-03-16,2018-03-15
NI1804.SHF,2017-04-18,2018-04-16
NI1805.SHF,2017-05-16,2018-05-15
NI1806.SHF,2017-06-16,2018-06-15
NI1807.SHF,2017-07-18,2018-07-16
NI1808.SHF,2017-08-16,2018-08-15
NI1809.SHF,2017-09-18,2018-09-17
NI1810.SHF,2017-10-17,2018-10-15
NI1811.SHF,2017-11-16,2018-11-15
NI1812.SHF,2017-12-18,2018-12-17
NI1901.SHF,2018-01-16,2019-01-15
NI1902.SHF,2018-02-12,2019-02-15
NI1903.SHF,2018-03-16,2019-03-15
NI1904.SHF,2018-04-17,2019-04-15
