,contract_issue_date,last_trade_date
PB1109.SHF,2011-03-24,2011-09-15
PB1110.SHF,2011-03-24,2011-10-17
PB1111.SHF,2011-03-24,2011-11-15
PB1112.SHF,2011-03-24,2011-12-15
PB1201.SHF,2011-03-24,2012-01-13
PB1202.SHF,2011-03-24,2012-02-15
PB1203.SHF,2011-03-24,2012-03-15
PB1204.SHF,2011-04-18,2012-04-16
PB1205.SHF,2011-05-17,2012-05-15
PB1206.SHF,2011-06-16,2012-06-15
PB1207.SHF,2011-07-18,2012-07-16
PB1208.SHF,2011-08-16,2012-08-15
PB1209.SHF,2011-09-16,2012-09-17
PB1210.SHF,2011-10-18,2012-10-15
PB1211.SHF,2011-11-16,2012-11-15
PB1212.SHF,2011-12-16,2012-12-17
PB1301.SHF,2012-01-16,2013-01-15
PB1302.SHF,2012-02-16,2013-02-18
PB1303.SHF,2012-03-16,2013-03-15
PB1304.SHF,2012-04-17,2013-04-15
PB1305.SHF,2012-05-16,2013-05-15
PB1306.SHF,2012-06-18,2013-06-17
PB1307.SHF,2012-07-17,2013-07-15
PB1308.SHF,2012-08-16,2013-08-15
PB1309.SHF,2012-09-18,2013-09-16
PB1310.SHF,2012-10-16,2013-10-15
PB1311.SHF,2012-11-16,2013-11-15
PB1312.SHF,2012-12-18,2013-12-16
PB1401.SHF,2013-01-16,2014-01-15
PB1402.SHF,2013-02-19,2014-02-17
PB1403.SHF,2013-03-18,2014-03-17
PB1404.SHF,2013-04-16,2014-04-15
PB1405.SHF,2013-05-16,2014-05-15
PB1406.SHF,2013-06-18,2014-06-16
PB1407.SHF,2013-07-16,2014-07-15
PB1408.SHF,2013-08-16,2014-08-15
PB1409.SHF,2013-09-17,2014-09-15
PB1410.SHF,2013-10-16,2014-10-15
PB1411.SHF,2013-11-18,2014-11-17
PB1412.SHF,2013-12-17,2014-12-15
PB1501.SHF,2014-01-16,2015-01-15
PB1502.SHF,2014-02-18,2015-02-10
PB1503.SHF,2014-03-18,2015-03-16
PB1504.SHF,2014-04-16,2015-04-15
PB1505.SHF,2014-05-16,2015-05-15
PB1506.SHF,2014-06-17,2015-06-15
PB1507.SHF,2014-07-16,2015-07-15
PB1508.SHF,2014-08-18,2015-08-17
PB1509.SHF,2014-09-16,2015-09-15
PB1510.SHF,2014-10-16,2015-10-15
PB1511.SHF,2014-11-18,2015-11-16
PB1512.SHF,2014-12-16,2015-12-15
PB1601.SHF,2015-01-16,2016-01-15
PB1602.SHF,2015-02-16,2016-02-15
PB1603.SHF,2015-03-17,2016-03-15
PB1604.SHF,2015-04-16,2016-04-15
PB1605.SHF,2015-05-18,2016-05-16
PB1606.SHF,2015-06-16,2016-06-15
PB1607.SHF,2015-07-16,2016-07-15
PB1608.SHF,2015-08-18,2016-08-15
PB1609.SHF,2015-09-16,2016-09-19
PB1610.SHF,2015-10-16,2016-10-17
PB1611.SHF,2015-11-17,2016-11-15
PB1612.SHF,2015-12-16,2016-12-15
PB1701.SHF,2016-01-18,2017-01-16
PB1702.SHF,2016-02-16,2017-02-15
PB1703.SHF,2016-03-16,2017-03-15
PB1704.SHF,2016-04-18,2017-04-17
PB1705.SHF,2016-05-17,2017-05-15
PB1706.SHF,2016-06-16,2017-06-15
PB1707.SHF,2016-07-18,2017-07-17
PB1708.SHF,2016-08-16,2017-08-15
PB1709.SHF,2016-09-20,2017-09-15
PB1710.SHF,2016-10-18,2017-10-16
PB1711.SHF,2016-11-16,2017-11-15
PB1712.SHF,2016-12-16,2017-12-15
PB1801.SHF,2017-01-17,2018-01-15
PB1802.SHF,2017-02-16,2018-02-09
PB1803.SHF,2017-03-16,2018-03-15
PB1804.SHF,2017-04-18,2018-04-16
PB1805.SHF,2017-05-16,2018-05-15
PB1806.SHF,2017-06-16,2018-06-15
PB1807.SHF,2017-07-18,2018-07-16
PB1808.SHF,2017-08-16,2018-08-15
PB1809.SHF,2017-09-18,2018-09-17
PB1810.SHF,2017-10-17,2018-10-15
PB1811.SHF,2017-11-16,2018-11-15
PB1812.SHF,2017-12-18,2018-12-17
PB1901.SHF,2018-01-16,2019-01-15
PB1902.SHF,2018-02-12,2019-02-15
PB1903.SHF,2018-03-16,2019-03-15
PB1904.SHF,2018-04-17,2019-04-15
