,contract_issue_date,last_trade_date
SC1809.INE,2018-03-26,2018-08-31
SC1810.INE,2018-03-26,2018-09-20
SC1811.INE,2018-03-26,2018-10-31
SC1812.INE,2018-03-26,2018-11-30
SC1901.INE,2018-03-26,2018-12-31
SC1902.INE,2018-03-26,2019-01-31
SC1903.INE,2018-03-26,2019-02-28
SC1904.INE,2018-04-02,2019-03-29
SC1906.INE,2018-03-26,2019-05-31
SC1909.INE,2018-03-26,2019-08-30
SC1912.INE,2018-03-26,2019-11-29
SC2003.INE,2018-03-26,2020-02-28
SC2006.INE,2018-03-26,2020-05-29
SC2009.INE,2018-03-26,2020-08-31
SC2012.INE,2018-03-26,2020-11-30
SC2103.INE,2018-03-26,2021-02-26
