,contract_issue_date,last_trade_date
SN1507.SHF,2015-03-27,2015-07-15
SN1508.SHF,2015-03-27,2015-08-17
SN1509.SHF,2015-03-27,2015-09-15
SN1510.SHF,2015-03-27,2015-10-15
SN1511.SHF,2015-03-27,2015-11-16
SN1512.SHF,2015-03-27,2015-12-15
SN1601.SHF,2015-03-27,2016-01-15
SN1602.SHF,2015-03-27,2016-02-15
SN1603.SHF,2015-03-27,2016-03-15
SN1604.SHF,2015-04-16,2016-04-15
SN1605.SHF,2015-05-18,2016-05-16
SN1606.SHF,2015-06-16,2016-06-15
SN1607.SHF,2015-07-16,2016-07-15
SN1608.SHF,2015-08-18,2016-08-15
SN1609.SHF,2015-09-16,2016-09-19
SN1610.SHF,2015-10-16,2016-10-17
SN1611.SHF,2015-11-17,2016-11-15
SN1612.SHF,2015-12-16,2016-12-15
SN1701.SHF,2016-01-18,2017-01-16
SN1702.SHF,2016-02-16,2017-02-15
SN1703.SHF,2016-03-16,2017-03-15
SN1704.SHF,2016-04-18,2017-04-17
SN1705.SHF,2016-05-17,2017-05-15
SN1706.SHF,2016-06-16,2017-06-15
SN1707.SHF,2016-07-18,2017-07-17
SN1708.SHF,2016-08-16,2017-08-15
SN1709.SHF,2016-09-20,2017-09-15
SN1710.SHF,2016-10-18,2017-10-16
SN1711.SHF,2016-11-16,2017-11-15
SN1712.SHF,2016-12-16,2017-12-15
SN1801.SHF,2017-01-17,2018-01-15
SN1802.SHF,2017-02-16,2018-02-09
SN1803.SHF,2017-03-16,2018-03-15
SN1804.SHF,2017-04-18,2018-04-16
SN1805.SHF,2017-05-16,2018-05-15
SN1806.SHF,2017-06-16,2018-06-15
SN1807.SHF,2017-07-18,2018-07-16
SN1808.SHF,2017-08-16,2018-08-15
SN1809.SHF,2017-09-18,2018-09-17
SN1810.SHF,2017-10-17,2018-10-15
SN1811.SHF,2017-11-16,2018-11-15
SN1812.SHF,2017-12-18,2018-12-17
SN1901.SHF,2018-01-16,2019-01-15
SN1902.SHF,2018-02-12,2019-02-15
SN1903.SHF,2018-03-16,2019-03-15
SN1904.SHF,2018-04-17,2019-04-15
