,contract_issue_date,last_trade_date
WR0909.SHF,2009-03-27,2009-09-15
WR0910.SHF,2009-03-27,2009-10-15
WR0911.SHF,2009-03-27,2009-11-16
WR0912.SHF,2009-03-27,2009-12-15
WR1001.SHF,2009-03-27,2010-01-15
WR1002.SHF,2009-03-27,2010-02-09
WR1003.SHF,2009-03-27,2010-03-15
WR1004.SHF,2009-04-16,2010-04-15
WR1005.SHF,2009-05-18,2010-05-17
WR1006.SHF,2009-06-16,2010-06-17
WR1007.SHF,2009-07-16,2010-07-15
WR1008.SHF,2009-08-18,2010-08-16
WR1009.SHF,2009-09-16,2010-09-15
WR1010.SHF,2009-10-16,2010-10-15
WR1011.SHF,2009-11-17,2010-11-15
WR1012.SHF,2009-12-16,2010-12-15
WR1101.SHF,2010-01-18,2011-01-17
WR1102.SHF,2010-02-22,2011-02-15
WR1103.SHF,2010-03-16,2011-03-15
WR1104.SHF,2010-04-16,2011-04-15
WR1105.SHF,2010-05-18,2011-05-16
WR1106.SHF,2010-06-18,2011-06-15
WR1107.SHF,2010-07-16,2011-07-15
WR1108.SHF,2010-08-17,2011-08-15
WR1109.SHF,2010-09-16,2011-09-15
WR1110.SHF,2010-10-18,2011-10-17
WR1111.SHF,2010-11-16,2011-11-15
WR1112.SHF,2010-12-16,2011-12-15
WR1201.SHF,2011-01-18,2012-01-13
WR1202.SHF,2011-02-16,2012-02-15
WR1203.SHF,2011-03-16,2012-03-15
WR1204.SHF,2011-04-18,2012-04-16
WR1205.SHF,2011-05-17,2012-05-15
WR1206.SHF,2011-06-16,2012-06-15
WR1207.SHF,2011-07-18,2012-07-16
WR1208.SHF,2011-08-16,2012-08-15
WR1209.SHF,2011-09-16,2012-09-17
WR1210.SHF,2011-10-18,2012-10-15
WR1211.SHF,2011-11-16,2012-11-15
WR1212.SHF,2011-12-16,2012-12-17
WR1301.SHF,2012-01-16,2013-01-15
WR1302.SHF,2012-02-16,2013-02-18
WR1303.SHF,2012-03-16,2013-03-15
WR1304.SHF,2012-04-17,2013-04-15
WR1305.SHF,2012-05-16,2013-05-15
WR1306.SHF,2012-06-18,2013-06-17
WR1307.SHF,2012-07-17,2013-07-15
WR1308.SHF,2012-08-16,2013-08-15
WR1309.SHF,2012-09-18,2013-09-16
WR1310.SHF,2012-10-16,2013-10-15
WR1311.SHF,2012-11-16,2013-11-15
WR1312.SHF,2012-12-18,2013-12-16
WR1401.SHF,2013-01-16,2014-01-15
WR1402.SHF,2013-02-19,2014-02-17
WR1403.SHF,2013-03-18,2014-03-17
WR1404.SHF,2013-04-16,2014-04-15
WR1405.SHF,2013-05-16,2014-05-15
WR1406.SHF,2013-06-18,2014-06-16
WR1407.SHF,2013-07-16,2014-07-15
WR1408.SHF,2013-08-16,2014-08-15
WR1409.SHF,2013-09-17,2014-09-15
WR1410.SHF,2013-10-16,2014-10-15
WR1411.SHF,2013-11-18,2014-11-17
WR1412.SHF,2013-12-17,2014-12-15
WR1501.SHF,2014-01-16,2015-01-15
WR1502.SHF,2014-02-18,2015-02-10
WR1503.SHF,2014-03-18,2015-03-16
WR1504.SHF,2014-04-16,2015-04-15
WR1505.SHF,2014-05-16,2015-05-15
WR1506.SHF,2014-06-17,2015-06-15
WR1507.SHF,2014-07-16,2015-07-15
WR1508.SHF,2014-08-18,2015-08-17
WR1509.SHF,2014-09-16,2015-09-15
WR1510.SHF,2014-10-16,2015-10-15
WR1511.SHF,2014-11-18,2015-11-16
WR1512.SHF,2014-12-16,2015-12-15
WR1601.SHF,2015-01-16,2016-01-15
WR1602.SHF,2015-02-16,2016-02-15
WR1603.SHF,2015-03-17,2016-03-15
WR1604.SHF,2015-04-16,2016-04-15
WR1605.SHF,2015-05-18,2016-05-16
WR1606.SHF,2015-06-16,2016-06-15
WR1607.SHF,2015-07-16,2016-07-15
WR1608.SHF,2015-08-18,2016-08-15
WR1609.SHF,2015-09-16,2016-09-19
WR1610.SHF,2015-10-16,2016-10-17
WR1611.SHF,2015-11-17,2016-11-15
WR1612.SHF,2015-12-16,2016-12-15
WR1701.SHF,2016-01-18,2017-01-16
WR1702.SHF,2016-02-16,2017-02-15
WR1703.SHF,2016-03-16,2017-03-15
WR1704.SHF,2016-04-18,2017-04-17
WR1705.SHF,2016-05-17,2017-05-15
WR1706.SHF,2016-06-16,2017-06-15
WR1707.SHF,2016-07-18,2017-07-17
WR1708.SHF,2016-08-16,2017-08-15
WR1709.SHF,2016-09-20,2017-09-15
WR1710.SHF,2016-10-18,2017-10-16
WR1711.SHF,2016-11-16,2017-11-15
WR1712.SHF,2016-12-16,2017-12-15
WR1801.SHF,2017-01-17,2018-01-15
WR1802.SHF,2017-02-16,2018-02-09
WR1803.SHF,2017-03-16,2018-03-15
WR1804.SHF,2017-04-18,2018-04-16
WR1805.SHF,2017-05-16,2018-05-15
WR1806.SHF,2017-06-16,2018-06-15
WR1807.SHF,2017-07-18,2018-07-16
WR1808.SHF,2017-08-16,2018-08-15
WR1809.SHF,2017-09-18,2018-09-17
WR1810.SHF,2017-10-17,2018-10-15
WR1811.SHF,2017-11-16,2018-11-15
WR1812.SHF,2017-12-18,2018-12-17
WR1901.SHF,2018-01-16,2019-01-15
WR1902.SHF,2018-02-12,2019-02-15
WR1903.SHF,2018-03-16,2019-03-15
WR1904.SHF,2018-04-17,2019-04-15
