,contract_issue_date,last_trade_date
ZN0707.SHF,2007-03-26,2007-07-16
ZN0708.SHF,2007-03-26,2007-08-15
ZN0709.SHF,2007-03-26,2007-09-17
ZN0710.SHF,2007-03-26,2007-10-15
ZN0711.SHF,2007-03-26,2007-11-15
ZN0712.SHF,2007-03-26,2007-12-17
ZN0801.SHF,2007-03-26,2008-01-15
ZN0802.SHF,2007-03-26,2008-02-15
ZN0803.SHF,2007-03-26,2008-03-17
ZN0804.SHF,2007-04-17,2008-04-15
ZN0805.SHF,2007-05-16,2008-05-15
ZN0806.SHF,2007-06-18,2008-06-16
ZN0807.SHF,2007-07-17,2008-07-15
ZN0808.SHF,2007-08-16,2008-08-15
ZN0809.SHF,2007-09-18,2008-09-16
ZN0810.SHF,2007-10-16,2008-10-15
ZN0811.SHF,2007-11-16,2008-11-17
ZN0812.SHF,2007-12-18,2008-12-15
ZN0901.SHF,2008-01-16,2009-01-15
ZN0902.SHF,2008-02-18,2009-02-16
ZN0903.SHF,2008-03-18,2009-03-16
ZN0904.SHF,2008-04-16,2009-04-15
ZN0905.SHF,2008-05-16,2009-05-15
ZN0906.SHF,2008-06-17,2009-06-15
ZN0907.SHF,2008-07-16,2009-07-15
ZN0908.SHF,2008-08-18,2009-08-17
ZN0909.SHF,2008-09-17,2009-09-15
ZN0910.SHF,2008-10-16,2009-10-15
ZN0911.SHF,2008-11-18,2009-11-16
ZN0912.SHF,2008-12-16,2009-12-15
ZN1001.SHF,2009-01-16,2010-01-15
ZN1002.SHF,2009-02-17,2010-02-09
ZN1003.SHF,2009-03-17,2010-03-15
ZN1004.SHF,2009-04-16,2010-04-15
ZN1005.SHF,2009-05-18,2010-05-17
ZN1006.SHF,2009-06-16,2010-06-17
ZN1007.SHF,2009-07-16,2010-07-15
ZN1008.SHF,2009-08-18,2010-08-16
ZN1009.SHF,2009-09-16,2010-09-15
ZN1010.SHF,2009-10-16,2010-10-15
ZN1011.SHF,2009-11-17,2010-11-15
ZN1012.SHF,2009-12-16,2010-12-15
ZN1101.SHF,2010-01-18,2011-01-17
ZN1102.SHF,2010-02-22,2011-02-15
ZN1103.SHF,2010-03-16,2011-03-15
ZN1104.SHF,2010-04-16,2011-04-15
ZN1105.SHF,2010-05-18,2011-05-16
ZN1106.SHF,2010-06-18,2011-06-15
ZN1107.SHF,2010-07-16,2011-07-15
ZN1108.SHF,2010-08-17,2011-08-15
ZN1109.SHF,2010-09-16,2011-09-15
ZN1110.SHF,2010-10-18,2011-10-17
ZN1111.SHF,2010-11-16,2011-11-15
ZN1112.SHF,2010-12-16,2011-12-15
ZN1201.SHF,2011-01-18,2012-01-13
ZN1202.SHF,2011-02-16,2012-02-15
ZN1203.SHF,2011-03-16,2012-03-15
ZN1204.SHF,2011-04-18,2012-04-16
ZN1205.SHF,2011-05-17,2012-05-15
ZN1206.SHF,2011-06-16,2012-06-15
ZN1207.SHF,2011-07-18,2012-07-16
ZN1208.SHF,2011-08-16,2012-08-15
ZN1209.SHF,2011-09-16,2012-09-17
ZN1210.SHF,2011-10-18,2012-10-15
ZN1211.SHF,2011-11-16,2012-11-15
ZN1212.SHF,2011-12-16,2012-12-17
ZN1301.SHF,2012-01-16,2013-01-15
ZN1302.SHF,2012-02-16,2013-02-18
ZN1303.SHF,2012-03-16,2013-03-15
ZN1304.SHF,2012-04-17,2013-04-15
ZN1305.SHF,2012-05-16,2013-05-15
ZN1306.SHF,2012-06-18,2013-06-17
ZN1307.SHF,2012-07-17,2013-07-15
ZN1308.SHF,2012-08-16,2013-08-15
ZN1309.SHF,2012-09-18,2013-09-16
ZN1310.SHF,2012-10-16,2013-10-15
ZN1311.SHF,2012-11-16,2013-11-15
ZN1312.SHF,2012-12-18,2013-12-16
ZN1401.SHF,2013-01-16,2014-01-15
ZN1402.SHF,2013-02-19,2014-02-17
ZN1403.SHF,2013-03-18,2014-03-17
ZN1404.SHF,2013-04-16,2014-04-15
ZN1405.SHF,2013-05-16,2014-05-15
ZN1406.SHF,2013-06-18,2014-06-16
ZN1407.SHF,2013-07-16,2014-07-15
ZN1408.SHF,2013-08-16,2014-08-15
ZN1409.SHF,2013-09-17,2014-09-15
ZN1410.SHF,2013-10-16,2014-10-15
ZN1411.SHF,2013-11-18,2014-11-17
ZN1412.SHF,2013-12-17,2014-12-15
ZN1501.SHF,2014-01-16,2015-01-15
ZN1502.SHF,2014-02-18,2015-02-10
ZN1503.SHF,2014-03-18,2015-03-16
ZN1504.SHF,2014-04-16,2015-04-15
ZN1505.SHF,2014-05-16,2015-05-15
ZN1506.SHF,2014-06-17,2015-06-15
ZN1507.SHF,2014-07-16,2015-07-15
ZN1508.SHF,2014-08-18,2015-08-17
ZN1509.SHF,2014-09-16,2015-09-15
ZN1510.SHF,2014-10-16,2015-10-15
ZN1511.SHF,2014-11-18,2015-11-16
ZN1512.SHF,2014-12-16,2015-12-15
ZN1601.SHF,2015-01-16,2016-01-15
ZN1602.SHF,2015-02-16,2016-02-15
ZN1603.SHF,2015-03-17,2016-03-15
ZN1604.SHF,2015-04-16,2016-04-15
ZN1605.SHF,2015-05-18,2016-05-16
ZN1606.SHF,2015-06-16,2016-06-15
ZN1607.SHF,2015-07-16,2016-07-15
ZN1608.SHF,2015-08-18,2016-08-15
ZN1609.SHF,2015-09-16,2016-09-19
ZN1610.SHF,2015-10-16,2016-10-17
ZN1611.SHF,2015-11-17,2016-11-15
ZN1612.SHF,2015-12-16,2016-12-15
ZN1701.SHF,2016-01-18,2017-01-16
ZN1702.SHF,2016-02-16,2017-02-15
ZN1703.SHF,2016-03-16,2017-03-15
ZN1704.SHF,2016-04-18,2017-04-17
ZN1705.SHF,2016-05-17,2017-05-15
ZN1706.SHF,2016-06-16,2017-06-15
ZN1707.SHF,2016-07-18,2017-07-17
ZN1708.SHF,2016-08-16,2017-08-15
ZN1709.SHF,2016-09-20,2017-09-15
ZN1710.SHF,2016-10-18,2017-10-16
ZN1711.SHF,2016-11-16,2017-11-15
ZN1712.SHF,2016-12-16,2017-12-15
ZN1801.SHF,2017-01-17,2018-01-15
ZN1802.SHF,2017-02-16,2018-02-09
ZN1803.SHF,2017-03-16,2018-03-15
ZN1804.SHF,2017-04-18,2018-04-16
ZN1805.SHF,2017-05-16,2018-05-15
ZN1806.SHF,2017-06-16,2018-06-15
ZN1807.SHF,2017-07-18,2018-07-16
ZN1808.SHF,2017-08-16,2018-08-15
ZN1809.SHF,2017-09-18,2018-09-17
ZN1810.SHF,2017-10-17,2018-10-15
ZN1811.SHF,2017-11-16,2018-11-15
ZN1812.SHF,2017-12-18,2018-12-17
ZN1901.SHF,2018-01-16,2019-01-15
ZN1902.SHF,2018-02-12,2019-02-15
ZN1903.SHF,2018-03-16,2019-03-15
ZN1904.SHF,2018-04-17,2019-04-15
