,BB1404.DCE,BB1405.DCE,BB1406.DCE,BB1407.DCE,BB1408.DCE,BB1409.DCE,BB1410.DCE,BB1411.DCE,BB1412.DCE,BB1501.DCE,BB1502.DCE,BB1503.DCE,BB1504.DCE,BB1505.DCE,BB1506.DCE,BB1507.DCE,BB1508.DCE,BB1509.DCE,BB1510.DCE,BB1511.DCE,BB1512.DCE,BB1601.DCE,BB1602.DCE,BB1603.DCE,BB1604.DCE,BB1605.DCE,BB1606.DCE,BB1607.DCE,BB1608.DCE,BB1609.DCE,BB1610.DCE,BB1611.DCE,BB1612.DCE,BB1701.DCE,BB1702.DCE,BB1703.DCE,BB1704.DCE,BB1705.DCE,BB1706.DCE,BB1707.DCE,BB1708.DCE,BB1709.DCE,BB1710.DCE,BB1711.DCE,BB1712.DCE,BB1801.DCE,BB1802.DCE,BB1803.DCE,BB1804.DCE,BB1805.DCE,BB1806.DCE,BB1807.DCE,BB1808.DCE,BB1809.DCE,BB1810.DCE,BB1811.DCE,BB1812.DCE,BB1901.DCE,BB1902.DCE,BB1903.DCE
2013-12-06,125.35,125.85,126.0,124.95,125.0,124.4,127.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-09,127.5,131.55,130.85,122.6,122.65,130.7,129.85,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-10,134.2,132.95,132.2,127.5,125.0,132.05,132.3,132.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-11,133.5,136.25,134.75,135.15,132.5,136.15,134.2,134.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-12,133.95,134.05,134.4,133.8,132.5,134.4,134.2,133.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-13,132.55,132.85,133.2,133.2,132.5,134.4,134.2,133.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-16,133.15,134.5,134.15,132.4,132.85,134.0,134.2,133.6,135.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-17,132.6,132.55,131.95,133.15,132.85,132.4,134.2,133.6,135.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-18,131.55,131.35,130.65,132.2,131.95,131.05,133.5,133.5,134.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-19,131.0,131.35,131.25,132.1,131.95,130.95,133.5,133.5,134.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-20,131.0,130.95,130.75,131.7,131.95,130.7,133.5,133.5,133.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-23,131.05,131.75,132.1,132.1,131.95,133.1,133.5,133.5,133.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-24,132.5,132.05,131.25,132.1,131.95,131.65,133.5,133.5,133.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-25,132.5,130.6,131.05,131.55,131.95,130.85,133.25,133.5,133.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-26,127.2,127.05,127.75,128.2,128.55,126.25,129.3,128.2,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-27,125.0,124.5,125.55,125.45,125.45,125.1,126.7,127.15,127.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-30,123.35,122.85,123.35,123.7,125.45,123.65,125.2,126.15,125.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,123.0,122.85,123.95,123.7,123.7,123.4,124.55,125.5,125.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,122.8,121.55,122.45,122.0,123.15,123.4,123.95,124.55,124.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-03,122.8,122.5,122.8,121.75,123.15,124.7,123.95,124.55,124.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-06,121.0,120.35,121.05,121.75,121.9,121.5,122.65,123.0,122.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-07,122.05,121.1,122.4,121.75,121.9,123.25,122.65,123.0,122.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-08,121.9,120.6,122.0,121.6,121.9,122.2,122.65,123.0,122.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-09,126.05,123.65,123.05,122.95,121.9,125.0,126.85,123.0,122.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-10,125.9,124.15,124.3,124.0,124.15,125.45,125.7,121.85,123.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-13,126.2,123.8,124.55,123.9,124.15,125.1,125.7,124.9,125.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-14,128.55,125.25,123.4,124.3,124.15,126.6,125.7,124.35,125.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-15,127.55,124.5,124.45,124.3,124.15,125.85,125.7,124.5,125.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-16,124.45,122.3,123.45,123.8,124.15,124.0,125.5,122.6,125.05,124.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-17,125.6,124.8,124.7,123.8,124.15,126.25,122.4,119.6,125.05,124.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-20,129.3,125.85,127.05,127.2,124.95,127.0,125.0,122.15,125.05,125.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-21,130.15,124.85,126.4,126.4,124.95,126.0,123.45,120.65,125.05,125.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-22,128.6,123.9,125.8,124.45,124.95,125.3,123.45,121.65,125.05,128.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-23,129.8,126.95,125.8,126.05,124.95,128.25,123.65,121.85,125.05,129.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-24,131.95,127.9,127.15,127.75,127.0,129.3,124.5,126.7,125.9,129.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-27,131.95,127.95,127.85,127.75,127.35,129.5,125.25,128.35,126.65,130.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-28,131.65,127.85,124.6,127.75,127.85,126.75,128.05,126.6,127.1,130.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-29,134.45,130.6,127.55,129.15,129.65,132.0,130.7,129.2,130.85,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-30,133.9,131.8,130.2,129.15,130.65,132.55,130.7,131.1,133.1,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-07,134.1,130.85,129.7,129.4,130.65,132.5,131.5,131.15,132.75,132.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-10,134.1,132.0,130.65,130.45,131.05,133.5,131.5,131.15,132.75,134.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-11,134.1,131.1,130.65,130.45,130.8,132.8,131.5,131.15,134.75,133.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-12,134.1,131.35,130.65,130.45,130.8,133.15,132.95,131.7,133.75,134.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-13,132.35,129.4,128.95,130.45,129.6,131.5,132.95,131.65,133.0,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-14,132.6,129.4,127.95,130.45,128.45,132.05,132.95,131.65,133.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-17,135.0,133.5,129.45,131.6,129.6,135.35,134.6,133.35,133.6,135.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-18,134.15,130.9,130.2,131.3,130.5,133.15,134.6,133.75,133.6,133.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-19,131.5,127.15,125.3,129.15,126.4,129.95,134.6,130.5,131.55,130.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-20,132.65,127.8,127.2,129.15,126.8,130.35,132.85,130.1,131.55,130.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-21,131.35,128.1,127.0,128.95,126.8,130.65,132.85,130.5,131.55,130.7,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-24,130.15,126.1,124.3,125.6,125.95,128.4,129.8,127.9,129.9,128.25,130.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-25,132.0,126.1,125.5,125.6,126.0,128.4,130.4,128.45,129.9,129.05,130.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-26,132.45,126.75,125.35,125.6,126.5,129.0,129.95,128.05,129.9,129.05,130.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-27,134.0,124.55,125.5,125.6,126.5,126.75,126.6,124.75,129.8,129.05,127.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-28,131.85,124.55,124.65,125.25,126.5,126.85,129.85,127.9,129.4,128.1,127.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-03,132.0,126.2,125.55,124.8,125.35,128.0,129.65,127.85,129.4,128.1,127.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-04,135.0,128.6,127.8,126.25,126.85,129.25,129.65,129.7,129.4,130.0,128.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-05,135.85,129.75,124.1,126.25,129.8,130.75,133.15,133.2,132.85,130.1,128.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-06,136.0,129.45,127.45,128.2,129.55,130.1,132.2,133.1,132.85,129.95,129.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-07,136.5,130.85,129.25,129.3,129.55,130.0,132.2,133.3,132.0,129.95,129.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-10,135.15,128.7,124.65,129.3,127.85,126.75,128.45,129.45,129.65,126.2,124.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-11,136.9,131.65,129.5,129.75,130.8,129.2,131.3,132.3,131.05,127.7,125.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
