,BU1402.SHF,BU1403.SHF,BU1404.SHF,BU1405.SHF,BU1406.SHF,BU1407.SHF,BU1408.SHF,BU1409.SHF,BU1410.SHF,BU1411.SHF,BU1412.SHF,BU1501.SHF,BU1502.SHF,BU1503.SHF,BU1504.SHF,BU1505.SHF,BU1506.SHF,BU1507.SHF,BU1508.SHF,BU1509.SHF,BU1510.SHF,BU1511.SHF,BU1512.SHF,BU1601.SHF,BU1602.SHF,BU1603.SHF,BU1604.SHF,BU1605.SHF,BU1606.SHF,BU1607.SHF,BU1608.SHF,BU1609.SHF,BU1610.SHF,BU1611.SHF,BU1612.SHF,BU1701.SHF,BU1702.SHF,BU1703.SHF,BU1704.SHF,BU1705.SHF,BU1706.SHF,BU1707.SHF,BU1708.SHF,BU1709.SHF,BU1710.SHF,BU1711.SHF,BU1712.SHF,BU1801.SHF,BU1802.SHF,BU1803.SHF,BU1804.SHF,BU1805.SHF,BU1806.SHF,BU1809.SHF,BU1812.SHF,BU1903.SHF,BU1906.SHF,BU1909.SHF,BU1912.SHF,BU1807.SHF,BU1808.SHF,BU2003.SHF,BU1810.SHF
2013-10-09,4476.0,4528.0,,,4610.0,,,4612.0,,,4538.0,,,4620.0,,,4632.0,,,4628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-10,4502.0,4546.0,,,4628.0,,,4612.0,,,4540.0,,,4622.0,,,4630.0,,,4646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-11,4466.0,4522.0,,,4602.0,,,4620.0,,,4510.0,,,4602.0,,,4608.0,,,4604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-14,4444.0,4486.0,,,4588.0,,,4600.0,,,4488.0,,,4602.0,,,4598.0,,,4608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-15,4442.0,4498.0,,,4606.0,,,4618.0,,,4486.0,,,4602.0,,,4592.0,,,4622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-16,4432.0,4488.0,4508.0,,4598.0,,,4610.0,,,4488.0,,,4582.0,,,4592.0,,,4622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-17,4410.0,4466.0,4488.0,,4572.0,,,4592.0,,,4474.0,,,4582.0,,,4592.0,,,4558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-18,4404.0,4448.0,4466.0,,4560.0,,,4564.0,,,4452.0,,,4544.0,,,4592.0,,,4566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-21,4452.0,4500.0,4488.0,,4594.0,,,4582.0,,,4480.0,,,4544.0,,,4608.0,,,4568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-22,4440.0,4476.0,4476.0,,4584.0,,,4580.0,,,4474.0,,,4558.0,,,4616.0,,,4582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
