,CS1503.DCE,CS1505.DCE,CS1507.DCE,CS1509.DCE,CS1511.DCE,CS1601.DCE,CS1603.DCE,CS1605.DCE,CS1607.DCE,CS1609.DCE,CS1611.DCE,CS1701.DCE,CS1703.DCE,CS1705.DCE,CS1707.DCE,CS1709.DCE,CS1711.DCE,CS1801.DCE,CS1803.DCE,CS1805.DCE,CS1807.DCE,CS1809.DCE,CS1811.DCE,CS1901.DCE,CS1903.DCE
2014-12-19,2730.0,2793.0,2827.0,2858.0,2803.0,,,,,,,,,,,,,,,,,,,,
2014-12-22,2686.0,2738.0,2823.0,2825.0,2765.0,,,,,,,,,,,,,,,,,,,,
2014-12-23,2668.0,2740.0,2823.0,2831.0,2722.0,,,,,,,,,,,,,,,,,,,,
2014-12-24,2640.0,2752.0,2803.0,2836.0,2675.0,,,,,,,,,,,,,,,,,,,,
2014-12-25,2631.0,2727.0,2735.0,2816.0,2694.0,,,,,,,,,,,,,,,,,,,,
2014-12-26,2630.0,2721.0,,2816.0,,,,,,,,,,,,,,,,,,,,,
2014-12-29,2618.0,2731.0,2758.0,2840.0,,,,,,,,,,,,,,,,,,,,,
2014-12-30,2617.0,2721.0,,2838.0,,,,,,,,,,,,,,,,,,,,,
2014-12-31,2615.0,2713.0,,2837.0,,,,,,,,,,,,,,,,,,,,,
2015-01-05,2613.0,2684.0,,2841.0,,,,,,,,,,,,,,,,,,,,,
2015-01-06,2588.0,2630.0,,2779.0,2670.0,,,,,,,,,,,,,,,,,,,,
2015-01-07,2585.0,2643.0,,2798.0,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,2652.0,,2810.0,2704.0,,,,,,,,,,,,,,,,,,,,
2015-01-09,2605.0,2648.0,,2806.0,,,,,,,,,,,,,,,,,,,,,
2015-01-12,,2658.0,,2813.0,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,2658.0,,2814.0,,,,,,,,,,,,,,,,,,,,,
2015-01-14,2581.0,2647.0,,2810.0,,,,,,,,,,,,,,,,,,,,,
