,CY801.CZC,CY802.CZC,CY803.CZC,CY804.CZC,CY805.CZC,CY806.CZC,CY807.CZC,CY808.CZC,CY809.CZC,CY810.CZC,CY811.CZC,CY812.CZC,CY901.CZC,CY902.CZC,CY903.CZC
2017-07-31,,,,,,,,,,,,,,,
2017-08-01,,,,,,,,,,,,,,,
2017-08-02,,,,,,,,,,,,,,,
2017-08-03,,,,,,,,,,,,,,,
2017-08-04,,,,,,,,,,,,,,,
2017-08-07,,,,,,,,,,,,,,,
2017-08-08,,,,,,,,,,,,,,,
2017-08-09,,,,,,,,,,,,,,,
2017-08-10,,,,,,,,,,,,,,,
2017-08-11,,,,,,,,,,,,,,,
2017-08-14,,,,,,,,,,,,,,,
2017-08-15,,,,,,,,,,,,,,,
2017-08-16,,,,,,,,,,,,,,,
2017-08-17,,,,,,,,,,,,,,,
2017-08-18,23050.0,22780.0,,,22950.0,,,,,,,,,,
2017-08-21,22985.0,22945.0,,,22870.0,,,,,,,,,,
2017-08-22,23080.0,22665.0,,,22945.0,,,,,,,,,,
2017-08-23,23070.0,,,,22955.0,,,,,,,,,,
2017-08-24,23050.0,,,,22925.0,,,,,,,,,,
2017-08-25,23050.0,,,,22925.0,,,,,,,,,,
2017-08-28,23075.0,,23330.0,,22955.0,,,,,,,,,,
2017-08-29,23050.0,,22695.0,,22930.0,,,,,,,,,,
2017-08-30,23020.0,,,,22920.0,,,,,,,,,,
2017-08-31,23025.0,,,,22900.0,,,,,,,,,,
2017-09-01,23030.0,,,,22920.0,,,,,,,,,,
2017-09-04,23400.0,,,,23250.0,,,,,,,,,,
2017-09-05,23495.0,,,,23325.0,,,,,,,,,,
2017-09-06,23345.0,,,,23220.0,,,,,,,,,,
2017-09-07,23295.0,,,,23245.0,,,,,,,,,,
2017-09-08,23080.0,,,,23175.0,,,,,,,,,,
2017-09-11,23210.0,23270.0,,,23330.0,,,,,,,,,,
2017-09-12,23225.0,,,,23340.0,,,,,,,,,,
2017-09-13,23155.0,,,,23200.0,,,,,,,,,,
2017-09-14,23085.0,,,,23110.0,,,,,,,,,,
2017-09-15,23050.0,,,,23120.0,,,,,,,,,,
2017-09-18,23080.0,,,,23065.0,,,,,,,,,,
2017-09-19,23095.0,,,,23100.0,,,,,,,,,,
2017-09-20,23385.0,,,,23385.0,,,,,,,,,,
2017-09-21,23210.0,23135.0,22740.0,21115.0,23235.0,,,,,,,,,,
2017-09-22,23155.0,23265.0,23515.0,,23295.0,,,,,,,,,,
2017-09-25,23235.0,,,,23230.0,,,,,,,,,,
2017-09-26,23320.0,,,,23285.0,,,,,,,,,,
2017-09-27,23105.0,23225.0,,,23125.0,,,,,,,,,,
2017-09-28,22900.0,,,,22895.0,22805.0,,,,,,,,,
2017-09-29,22920.0,,,23680.0,22870.0,,,,,,,,,,
2017-10-09,22960.0,,,,22905.0,,,,,,,,,,
2017-10-10,22935.0,,,,22810.0,,,,,,,,,,
2017-10-11,22910.0,,,23200.0,22865.0,,,,,,,,,,
2017-10-12,22925.0,,,,22805.0,,,,,,,,,,
2017-10-13,22940.0,,,,,,,,,,,,,,
2017-10-16,23060.0,,,,22900.0,,,,,,,,,,
2017-10-17,23000.0,,,,,,,,,,,,,,
2017-10-18,23015.0,,,,22880.0,,,,,,,,,,
2017-10-19,22945.0,,,,22860.0,,,,,,,,,,
2017-10-20,22865.0,,,,22715.0,,,,,,,,,,
2017-10-23,22870.0,,,,22700.0,,,,,,,,,,
2017-10-24,22895.0,,,,,,,,,22905.0,,,,,
2017-10-25,22950.0,,,,22885.0,,,,,22950.0,,,,,
2017-10-26,22930.0,,,,22875.0,,,,,22950.0,,,,,
2017-10-27,22855.0,,,,22830.0,,,,,,,,,,
2017-10-30,22885.0,,,,22860.0,,,,,,,,,,
2017-10-31,22950.0,,,,,,,,,,,,,,
2017-11-01,22975.0,,,,22890.0,,,,,,,,,,
2017-11-02,23015.0,,,,,,,,,,,,,,
2017-11-03,23060.0,,,,22925.0,,,,,,,,,,
2017-11-06,23095.0,,,,22940.0,,,,,,,,,,
2017-11-07,23120.0,,,,22995.0,,,,,,,,,,
2017-11-08,23060.0,,23020.0,,,,,,,,,,,,
2017-11-09,23055.0,,,,22980.0,,,,,,,,,,
2017-11-10,23055.0,,,,22925.0,,,,,,,,,,
2017-11-13,23140.0,,,,22960.0,,,,,22935.0,,,,,
2017-11-14,23100.0,,,,23005.0,,,,,,,,,,
2017-11-15,23000.0,,,,23025.0,,,,,,,,,,
2017-11-16,23040.0,,,,,,,,,,,,,,
2017-11-17,23005.0,,,,,,,,,,,,,,
2017-11-20,22965.0,,,,,,,,,,,,,,
2017-11-21,22905.0,,,,22920.0,,,,,,,,,,
2017-11-22,22880.0,,,,22945.0,,,,,,,,,,
2017-11-23,22915.0,,,,22920.0,,,,,,,,,,
2017-11-24,22930.0,,,,22970.0,,,,,,,,,,
2017-11-27,22980.0,,,,22960.0,,,,,,,,,,
2017-11-28,23175.0,,,,23045.0,,,,,,,,,,
2017-11-29,23100.0,,,,23100.0,,,,,,,,,,
2017-11-30,23215.0,,,,23170.0,,,,23800.0,,,,,,
2017-12-01,23200.0,,,,23195.0,,,,23575.0,,,,,,
2017-12-04,23220.0,,,,23255.0,,,,23715.0,,,,,,
2017-12-05,23150.0,,,,,,,,23570.0,,,,,,
2017-12-06,23180.0,,,,23105.0,,,,23530.0,,,,,,
2017-12-07,23095.0,,,,23150.0,,,,23485.0,,,,,,
2017-12-08,23080.0,,,,23130.0,,,,23470.0,,,,,,
2017-12-11,23105.0,,,,23105.0,,,,23450.0,,,,,,
2017-12-12,23160.0,,,,23135.0,,,,,,,,,,
2017-12-13,23340.0,,,,23160.0,,,,23500.0,,,,,,
2017-12-14,23345.0,,,,23195.0,,,,23480.0,,,,,,
2017-12-15,23215.0,,,,23105.0,,,,,,,,,,
2017-12-18,23240.0,,,,23220.0,,,,23450.0,,,,,,
2017-12-19,23160.0,22805.0,,,23135.0,,,,,,,,,,
2017-12-20,23115.0,,,,23180.0,,,,,,,,,,
2017-12-21,23195.0,,,,23100.0,,,,,,,,,,
2017-12-22,23475.0,,,,23015.0,,,,23230.0,,,,,,
2017-12-25,23160.0,,,,23090.0,,,,,,,,,,
2017-12-26,22900.0,,,,23110.0,,,,22995.0,,,,,,
2017-12-27,22910.0,,,,23035.0,,,,,,,,,,
2017-12-28,23095.0,,,,23155.0,,,,23235.0,,,,,,
2017-12-29,22450.0,,,,23100.0,,,,23235.0,,,,,,
2018-01-02,22800.0,,23500.0,,23070.0,,,,,,,,,,
2018-01-03,,,,,23000.0,,,,23305.0,,23640.0,,,,
2018-01-04,,,,,23010.0,,,,,,23195.0,,,,
2018-01-05,22800.0,,,,23155.0,,,,,,,,,,
2018-01-08,,,,,23150.0,,,,,,,,,,
2018-01-09,,,,,23190.0,,,,23450.0,,,,,,
2018-01-10,,,,,23140.0,,,,23220.0,,,,,,
2018-01-11,,,,,,,,,,,,,,,
2018-01-12,,,,,23100.0,,,,23495.0,,,,,,
2018-01-15,,,,,23095.0,,,,,,,,,,
2018-01-16,,,,,23095.0,,,,,,,,,,
2018-01-17,,,,,23090.0,,,,23015.0,,,,,,
2018-01-18,,,,,23230.0,,,,,,,,,,
2018-01-19,,,,,23335.0,,,,,,,,,,
2018-01-22,,,,,23300.0,,,,,,,,,,
2018-01-23,,,,,23435.0,,,,,,,,,,
2018-01-24,,,,,23500.0,,,23790.0,23000.0,,24270.0,22500.0,,,
2018-01-25,,,,,23440.0,,,,,,,,22650.0,,
2018-01-26,,,,,23410.0,,,,23250.0,,,,22985.0,,
2018-01-29,,,,,23335.0,,,,,,,,,,
2018-01-30,,,,,23385.0,,,,23235.0,,,,,,
2018-01-31,,,,,23330.0,,,,22955.0,,,,,,
2018-02-01,,,,,23305.0,,,,23120.0,,23100.0,,,,
2018-02-02,,,,,23375.0,,,,22995.0,,,,,,
2018-02-05,,,,,23235.0,,,,,,,,,,
2018-02-06,,,,,23325.0,,,,,,,,,,
2018-02-07,,,,,23250.0,,,,,,,,,,
2018-02-08,,,,,23280.0,,,,,,,,,,
2018-02-09,,,,,23175.0,,,,,,,,,,
2018-02-12,,,,,23350.0,,,,,,,,,,
2018-02-13,,,,,23080.0,,,,,,,,,,
2018-02-14,,,,,23350.0,,,,23045.0,,,,,,
2018-02-22,,,,,,,,,,,,,,,
2018-02-23,,,,,,,,,,,,,,,
2018-02-26,,,,,,,,,23200.0,,,,,,
2018-02-27,,,,,,,,,,,,,,,
2018-02-28,,,,,,,,,,,,,,,
2018-03-01,,,,,,,,,,,,,,,
2018-03-02,,,,,,,,,23095.0,,,,,,
2018-03-05,,,,,23070.0,,,,23350.0,,,,,,
2018-03-06,,,,,,,,,23280.0,,,,,,
2018-03-07,,,,,23125.0,,,,,,,,,,
2018-03-08,,,,,23350.0,,,23500.0,23300.0,,,,,,
2018-03-09,,,,,,,,,,,,,,,
2018-03-12,,,,,23130.0,,,,23300.0,,,,,,
2018-03-13,,,,,,,,,23350.0,,,,,,
2018-03-14,,,,,23185.0,,,,23275.0,,,,,,
2018-03-15,,,,,,,,,,,,,,,
2018-03-16,,,,,,,,,,,,,,,
2018-03-19,,,,,23150.0,,,,,,,,,,
2018-03-20,,,,,,,,,23515.0,,,,,,
2018-03-21,,,,,,,,,,,,,,,
2018-03-22,,,,,23055.0,,,,,,,,,,
2018-03-23,,,,,23245.0,,,,,,,,,,
2018-03-26,,,,,23035.0,,,,23540.0,,,,,,
2018-03-27,,,,,23120.0,,,,23900.0,,,,,,
2018-03-28,,,,,,,,,23330.0,23925.0,,,,,
2018-03-29,,,,,,,,,23120.0,25470.0,,,,,
2018-03-30,,,,,,,,,,23850.0,,,,,
2018-04-02,,,,,23430.0,,,,,22945.0,,,,,
2018-04-03,,,,,23430.0,,21620.0,,23495.0,,,,,,
2018-04-04,,,,,23300.0,,22485.0,,,,,,,,
2018-04-09,,,,,,,23390.0,,,,,,,,
