,IC1505.CFE,IC1506.CFE,IC1507.CFE,IC1508.CFE,IC1509.CFE,IC1510.CFE,IC1511.CFE,IC1512.CFE,IC1601.CFE,IC1602.CFE,IC1603.CFE,IC1604.CFE,IC1605.CFE,IC1606.CFE,IC1607.CFE,IC1608.CFE,IC1609.CFE,IC1610.CFE,IC1611.CFE,IC1612.CFE,IC1701.CFE,IC1702.CFE,IC1703.CFE,IC1704.CFE,IC1705.CFE,IC1706.CFE,IC1707.CFE,IC1708.CFE,IC1709.CFE,IC1710.CFE,IC1711.CFE,IC1712.CFE,IC1801.CFE,IC1802.CFE,IC1803.CFE,IC1804.CFE,IC1805.CFE,IC1806.CFE,IC1809.CFE,IC1812.CFE
2015-04-16,7707.8,7652.4,,,7643.2,,,7625.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,7758.2,7674.8,,,7608.8,,,7562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,7622.2,7505.0,,,7419.4,,,7388.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,8140.4,8075.0,,,8024.0,,,7941.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,8189.8,8126.6,,,8029.0,,,7926.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,8265.6,8204.0,,,8102.0,,,8043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,8327.2,8240.0,,,8120.0,,,8039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,8347.2,8262.6,,,8187.0,,,8068.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,8147.0,8054.0,,,7993.4,,,7894.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,8302.2,8209.0,,,8118.0,,,8024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,8338.8,8234.6,,,8154.0,,,8041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,8347.2,8226.4,,,8140.4,,,8031.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,8145.0,8019.4,,,7935.4,,,7830.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,8040.8,7933.0,,,7835.2,,,7705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,7911.4,7834.4,,,7716.0,,,7612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,8171.2,8085.0,,,7976.6,,,7859.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,8489.8,8394.0,,,8211.6,,,8109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,8647.8,8557.6,,,8323.8,,,8226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,8695.8,8571.6,,,8367.4,,,8203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,8760.4,8603.0,,,8345.0,,,8162.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,8755.2,8579.8,,,8348.6,,,8216.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,,8798.4,8705.6,,8557.6,,,8378.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,,9120.8,9043.6,,8969.0,,,8800.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,,9286.8,9203.0,,9156.2,,,8990.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,,9734.6,9666.6,,9594.2,,,9435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,,9741.2,9680.2,,9611.8,,,9449.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,,9966.6,9912.2,,9804.0,,,9646.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,,10532.2,10482.2,,10395.0,,,10200.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,,10552.0,10582.0,,10582.4,,,10404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,,9977.2,10059.0,,10036.0,,,9840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,,10121.0,10170.0,,10245.0,,,10035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,11025.6,11022.6,,11130.0,,,10906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,,11250.4,11312.0,,11430.0,,,11387.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,,11103.2,11134.4,,11248.4,,,11115.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,,10869.2,10918.2,,10895.4,,,10697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,,10949.0,10944.6,,10900.4,,,10691.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,,10602.6,10529.8,,10451.0,,,10195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,,10700.4,10603.0,,10478.0,,,10230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,,10987.8,10853.2,,10775.0,,,10543.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11,,11258.8,11133.8,,11044.8,,,10811.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,,11427.8,11400.0,,11375.6,,,11168.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,,11228.6,11222.6,,11177.8,,,10969.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,,10839.0,10714.2,,10663.2,,,10448.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,,11033.4,10988.8,,10903.0,,,10685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-18,,10672.6,10585.0,,10495.4,,,10265.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,,10210.0,9990.0,,9915.6,,,9650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-23,,,9862.6,9835.0,9782.2,,,9502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-24,,,10058.0,9973.8,9909.4,,,9655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-25,,,9381.6,9259.4,9188.0,,,8939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,,,8629.0,8519.4,8448.6,,,8219.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-29,,,7768.4,7667.6,7603.8,,,7397.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,,8346.0,8205.8,8099.6,,,7876.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,,7509.4,7380.0,7282.4,,,7086.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-02,,,7667.8,7510.0,7419.0,,,7249.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03,,,7404.8,7275.8,7226.8,,,7062.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-06,,,7440.0,7323.8,7217.8,,,6996.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,,,6516.2,6430.4,6334.2,,,6192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,,,5956.6,5870.6,5786.0,,,5605.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-09,,,6552.2,6457.6,6364.6,,,6165.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,,,7207.4,7103.2,7001.0,,,6782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,,,7569.6,7400.0,7131.2,,,6970.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-14,,,7645.0,7510.2,7336.2,,,7076.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-15,,,7136.0,6836.4,6665.8,,,6421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-16,,,7531.8,7226.6,6985.4,,,6643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-17,,,7934.4,7857.6,7599.0,,,7249.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-20,,,,7589.0,7315.0,,,6991.0,,,6822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-21,,,,7715.0,7470.0,,,7100.8,,,6994.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-22,,,,7773.0,7518.8,,,7185.0,,,7033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-23,,,,8386.0,8225.0,,,7839.8,,,7707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-24,,,,7980.0,7740.0,,,7419.0,,,7279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-27,,,,7341.4,7131.2,,,6823.8,,,6713.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-28,,,,7221.0,6939.0,,,6649.0,,,6503.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-29,,,,7702.8,7419.2,,,7111.2,,,6986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-30,,,,7232.0,6948.2,,,6658.6,,,6471.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-31,,,,7399.0,7100.0,,,6780.6,,,6638.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-03,,,,7065.2,6767.4,,,6410.0,,,6299.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-04,,,,7657.6,7290.8,,,6957.0,,,6801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-05,,,,7486.4,7140.0,,,6802.0,,,6661.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-06,,,,7545.4,7235.8,,,6895.0,,,6754.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-07,,,,7851.2,7637.6,,,7285.6,,,7121.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-10,,,,8330.0,8143.0,,,7780.0,,,7673.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-11,,,,8200.6,7968.0,,,7620.0,,,7514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-12,,,,8082.2,7832.2,,,7445.6,,,7285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-13,,,,8345.8,8060.0,,,7665.0,,,7500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-14,,,,8397.0,8070.0,,,7662.0,,,7540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-17,,,,8659.0,8338.8,,,7819.0,,,7640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-18,,,,7802.0,7450.2,,,7000.0,,,6799.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-19,,,,8151.2,7710.6,,,7251.0,,,7048.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-20,,,,8003.0,7557.0,,,7050.0,,,6826.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-21,,,,7749.4,7207.4,,,6680.0,,,6431.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-24,,,,,6523.6,6523.6,,6033.6,,,5839.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-25,,,,,5871.4,5871.4,,5434.2,,,5257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-26,,,,,5400.2,5284.4,,4950.0,,,4800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-27,,,,,5928.2,5696.2,,5438.6,,,5297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-28,,,,,6402.6,6137.4,,5848.0,,,5605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-31,,,,,5961.4,5663.8,,5367.8,,,5222.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,5373.0,5095.6,,4851.0,,,4690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-02,,,,,5377.0,5009.0,,4724.8,,,4617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-07,,,,,5795.0,5436.8,,5050.0,,,4927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-08,,,,,6383.0,5996.8,,5553.4,,,5363.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-09,,,,,6369.0,6190.8,,5934.6,,,5851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-10,,,,,6319.0,6099.4,,5829.8,,,5701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-11,,,,,6420.0,6189.6,,5879.0,,,5740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-14,,,,,5758.2,5542.4,,5262.4,,,5139.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-15,,,,,5663.6,5311.0,,4990.0,,,4856.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-16,,,,,6050.8,5804.6,,5457.6,,,5333.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-17,,,,,5955.0,5699.0,,5273.0,,,5152.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-18,,,,,6010.2,5830.0,,5468.8,,,5280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-21,,,,,,6170.2,5984.8,5841.2,,,5583.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-22,,,,,,6077.8,5918.0,5788.4,,,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-23,,,,,,5980.4,5762.0,5625.0,,,5449.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-24,,,,,,6100.0,5869.6,5720.0,,,5511.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-25,,,,,,5787.4,5550.2,5444.0,,,5232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-28,,,,,,5994.4,5768.4,5632.6,,,5362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-29,,,,,,5914.0,5671.0,5519.6,,,5274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,,,,,,5917.8,5700.0,5560.0,,,5289.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-08,,,,,,6195.2,6005.6,5890.0,,,5594.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-09,,,,,,6406.8,6157.0,6011.0,,,5748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-12,,,,,,6642.6,6467.8,6324.0,,,6039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-13,,,,,,6688.6,6491.0,6348.0,,,6055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-14,,,,,,6645.2,6400.0,6220.0,,,5933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-15,,,,,,6954.8,6814.0,6610.0,,,6299.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-16,,,,,,6979.8,6779.0,6599.8,,,6280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-19,,,,,,,6685.0,6492.0,,,6083.0,,,6005.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-20,,,,,,,6850.0,6609.8,,,6308.8,,,6196.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-21,,,,,,,6478.8,6268.0,,,5980.2,,,5858.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-22,,,,,,,6666.2,6458.2,,,6145.8,,,5988.0,,,,,,,,,,,,,,,,,,,,,,,,,,
