,NI1507.SHF,NI1508.SHF,NI1509.SHF,NI1510.SHF,NI1511.SHF,NI1512.SHF,NI1601.SHF,NI1602.SHF,NI1603.SHF,NI1604.SHF,NI1605.SHF,NI1606.SHF,NI1607.SHF,NI1608.SHF,NI1609.SHF,NI1610.SHF,NI1611.SHF,NI1612.SHF,NI1701.SHF,NI1702.SHF,NI1703.SHF,NI1704.SHF,NI1705.SHF,NI1706.SHF,NI1707.SHF,NI1708.SHF,NI1709.SHF,NI1710.SHF,NI1711.SHF,NI1712.SHF,NI1801.SHF,NI1802.SHF,NI1803.SHF,NI1804.SHF,NI1805.SHF,NI1806.SHF,NI1807.SHF,NI1808.SHF,NI1809.SHF,NI1810.SHF,NI1811.SHF,NI1812.SHF,NI1901.SHF,NI1902.SHF,NI1903.SHF
2015-03-27,101080.0,101210.0,101000.0,101970.0,101260.0,101000.0,101240.0,100900.0,101430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-30,98430.0,98520.0,98730.0,98650.0,97300.0,99170.0,98610.0,98100.0,99740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,95040.0,94900.0,94940.0,95580.0,96040.0,96220.0,96530.0,97000.0,97100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,92500.0,92700.0,92460.0,93480.0,92850.0,93240.0,93760.0,97940.0,95500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-02,96160.0,96000.0,95910.0,94140.0,96310.0,96040.0,95740.0,96600.0,97300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-03,97300.0,96900.0,96840.0,97260.0,96360.0,96520.0,97380.0,96510.0,97890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-07,96420.0,96070.0,96100.0,96020.0,97640.0,96380.0,96460.0,96600.0,96660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-08,93950.0,93550.0,93580.0,93830.0,94340.0,94720.0,94190.0,94600.0,94610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-09,94300.0,93840.0,93700.0,94450.0,94720.0,94990.0,94170.0,93660.0,94670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-10,94540.0,94240.0,94140.0,94350.0,93710.0,94000.0,94340.0,93790.0,94550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-13,95230.0,94830.0,94560.0,94930.0,94460.0,94000.0,95350.0,94800.0,95670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-14,93100.0,92730.0,92680.0,93280.0,94190.0,91750.0,93400.0,93850.0,93420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-15,94730.0,93800.0,93790.0,93440.0,92740.0,94200.0,94860.0,94550.0,94280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-16,95400.0,94550.0,94340.0,93440.0,95310.0,94050.0,94230.0,94960.0,95030.0,95060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,95850.0,94700.0,94220.0,93800.0,94500.0,94470.0,94190.0,94760.0,95090.0,95540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,95410.0,94260.0,93700.0,93690.0,94490.0,94770.0,93970.0,94700.0,94280.0,94800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,95880.0,94800.0,94140.0,93810.0,94290.0,94200.0,94860.0,94060.0,94320.0,95160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,96330.0,95250.0,94860.0,94170.0,94500.0,93530.0,94960.0,94620.0,94900.0,95380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,95860.0,94990.0,94700.0,93890.0,94440.0,94950.0,94570.0,94600.0,94530.0,94680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,97830.0,96800.0,96190.0,95240.0,95790.0,95600.0,96100.0,94980.0,96000.0,95460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,101490.0,100570.0,100360.0,99500.0,99900.0,99360.0,99790.0,98810.0,99970.0,99540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,102650.0,101380.0,101040.0,100470.0,100030.0,100780.0,100820.0,101050.0,100100.0,101430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,101020.0,100000.0,99810.0,101520.0,100550.0,99600.0,99650.0,100520.0,99690.0,100200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,106010.0,104750.0,104490.0,103840.0,103920.0,103700.0,104770.0,100520.0,103900.0,102020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,107580.0,106770.0,106200.0,105490.0,107230.0,105830.0,106380.0,105540.0,105280.0,105830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,107960.0,106130.0,106020.0,106290.0,105900.0,105400.0,106100.0,107130.0,106000.0,106660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,113380.0,109450.0,109600.0,110300.0,111100.0,109000.0,110080.0,109560.0,109590.0,107310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
