,RM1305.CZC,RM1307.CZC,RM1308.CZC,RM1309.CZC,RM1311.CZC,RM1401.CZC,RM1403.CZC,RM1405.CZC,RM1407.CZC,RM1408.CZC,RM1409.CZC,RM1411.CZC,RM1501.CZC,RM1503.CZC,RM1505.CZC,RM1507.CZC,RM1508.CZC,RM1509.CZC,RM1511.CZC,RM1601.CZC,RM1603.CZC,RM1605.CZC,RM607.CZC,RM608.CZC,RM609.CZC,RM611.CZC,RM701.CZC,RM703.CZC,RM705.CZC,RM707.CZC,RM708.CZC,RM709.CZC,RM711.CZC,RM801.CZC,RM803.CZC,RM805.CZC,RM807.CZC,RM808.CZC,RM809.CZC,RM811.CZC,RM901.CZC,RM903.CZC
2012-12-28,2398.0,2377.0,2377.0,2340.0,2208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,2340.0,2320.0,2324.0,2294.0,2171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-04,2370.0,2338.0,,2303.0,2187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,2455.0,2416.0,,2372.0,2233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-08,2480.0,2399.0,2396.0,2363.0,2238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-09,2478.0,2388.0,2399.0,2347.0,2234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-10,2462.0,2396.0,2380.0,2351.0,2230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-11,2509.0,2404.0,2401.0,2369.0,2244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-14,2541.0,2432.0,2422.0,2401.0,2267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-15,2562.0,2442.0,2428.0,2393.0,2251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-16,2586.0,2451.0,2440.0,2411.0,2276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-17,2571.0,2476.0,2474.0,2440.0,2298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-18,2573.0,2493.0,2470.0,2452.0,2307.0,2350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-21,2573.0,2493.0,,2474.0,2325.0,2350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-22,2591.0,2499.0,2506.0,2469.0,2325.0,2345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-23,2576.0,2489.0,2497.0,2453.0,2317.0,2337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-24,2493.0,2412.0,2401.0,2372.0,2244.0,2278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-25,2504.0,2415.0,2435.0,2370.0,2238.0,2282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-28,2521.0,2408.0,2410.0,2372.0,2250.0,2284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-29,2515.0,2417.0,2430.0,2383.0,2260.0,2284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-30,2531.0,2428.0,2428.0,2407.0,2274.0,2286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,2537.0,2453.0,2445.0,2414.0,2290.0,2295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-01,2521.0,2425.0,2437.0,2402.0,2274.0,2290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-04,2561.0,2477.0,2450.0,2433.0,2300.0,2301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
