,SN1507.SHF,SN1508.SHF,SN1509.SHF,SN1510.SHF,SN1511.SHF,SN1512.SHF,SN1601.SHF,SN1602.SHF,SN1603.SHF,SN1604.SHF,SN1605.SHF,SN1606.SHF,SN1607.SHF,SN1608.SHF,SN1609.SHF,SN1610.SHF,SN1611.SHF,SN1612.SHF,SN1701.SHF,SN1702.SHF,SN1703.SHF,SN1704.SHF,SN1705.SHF,SN1706.SHF,SN1707.SHF,SN1708.SHF,SN1709.SHF,SN1710.SHF,SN1711.SHF,SN1712.SHF,SN1801.SHF,SN1802.SHF,SN1803.SHF,SN1804.SHF,SN1805.SHF,SN1806.SHF,SN1807.SHF,SN1808.SHF,SN1809.SHF,SN1810.SHF,SN1811.SHF,SN1812.SHF,SN1901.SHF,SN1902.SHF,SN1903.SHF
2015-03-27,119270.0,119260.0,120190.0,120190.0,120190.0,120190.0,119100.0,120660.0,120660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-30,118080.0,117850.0,117010.0,117730.0,118230.0,118230.0,118280.0,117900.0,117900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,118160.0,117300.0,117080.0,117800.0,118300.0,118300.0,117810.0,117970.0,117970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,117910.0,118000.0,117620.0,118500.0,119000.0,119000.0,118510.0,118470.0,118470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-02,118620.0,118100.0,117880.0,118480.0,119150.0,119150.0,118790.0,118740.0,118740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-03,118850.0,118340.0,117880.0,118650.0,119560.0,116680.0,118620.0,118570.0,118570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-07,118860.0,118340.0,117560.0,118330.0,119230.0,118660.0,118300.0,118250.0,118250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-08,117870.0,118040.0,117370.0,120000.0,120910.0,120340.0,118420.0,118520.0,118520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-09,116790.0,117040.0,118210.0,117960.0,118850.0,118290.0,116550.0,116500.0,116500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-10,115990.0,116280.0,116480.0,117360.0,118240.0,117680.0,115950.0,115900.0,115900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-13,115940.0,116170.0,115890.0,117250.0,118130.0,117570.0,115840.0,115790.0,115790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-14,112300.0,113460.0,113830.0,115240.0,116100.0,115550.0,113850.0,113800.0,113800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-15,113850.0,114100.0,113900.0,115080.0,115940.0,115390.0,113700.0,113650.0,113650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-16,112880.0,113190.0,113750.0,115090.0,115950.0,115400.0,113700.0,113650.0,113650.0,113650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,110000.0,110230.0,112140.0,111550.0,113100.0,112560.0,110900.0,110860.0,110860.0,110860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,111440.0,111870.0,111700.0,113460.0,113620.0,113080.0,112800.0,112750.0,112750.0,112750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,111550.0,111850.0,112010.0,113300.0,113590.0,113050.0,112770.0,112730.0,112730.0,112730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,112940.0,112900.0,113830.0,113470.0,114500.0,113960.0,113680.0,113850.0,113850.0,113850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,113300.0,113760.0,114000.0,114000.0,114580.0,114040.0,113760.0,113930.0,113930.0,113930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,113940.0,113580.0,114180.0,114990.0,115460.0,114920.0,114640.0,114810.0,114810.0,114810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,117960.0,115940.0,116300.0,119090.0,118210.0,117660.0,117370.0,117550.0,117550.0,117550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,117400.0,118070.0,119070.0,119990.0,120350.0,119790.0,119500.0,119680.0,119680.0,119680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,115370.0,116830.0,117660.0,116010.0,120350.0,118380.0,118090.0,116810.0,116810.0,116810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,117640.0,117890.0,118060.0,118080.0,120750.0,118780.0,118490.0,117200.0,117200.0,117200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,118800.0,118950.0,119700.0,118470.0,121140.0,119170.0,118880.0,117580.0,117580.0,117580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,118680.0,118480.0,119250.0,116740.0,119370.0,118590.0,119190.0,117880.0,117880.0,117880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,123400.0,123290.0,124110.0,121400.0,123760.0,123880.0,123580.0,122220.0,122220.0,122220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,122030.0,120740.0,122400.0,121340.0,124070.0,124190.0,123890.0,124810.0,124810.0,124810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,121360.0,121700.0,122000.0,122310.0,124930.0,125050.0,124750.0,125670.0,125670.0,125670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,122400.0,122180.0,123400.0,123160.0,125940.0,125300.0,125450.0,123380.0,123380.0,123380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,119970.0,120000.0,120990.0,122340.0,125100.0,121810.0,122280.0,123170.0,123170.0,124360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,120700.0,120230.0,121360.0,122340.0,124380.0,121060.0,121580.0,122460.0,122460.0,123570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,119500.0,118700.0,119470.0,122170.0,123440.0,120150.0,121850.0,123590.0,123590.0,124710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,119100.0,119620.0,120180.0,121980.0,123250.0,119970.0,122510.0,123400.0,123400.0,124520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,119250.0,119540.0,119840.0,122020.0,123290.0,120000.0,122550.0,123440.0,123440.0,124560.0,124560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,118140.0,117690.0,120040.0,121840.0,123110.0,119830.0,122370.0,123260.0,123260.0,124380.0,124380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,115850.0,115220.0,116920.0,118170.0,119500.0,115500.0,117950.0,118800.0,118800.0,119880.0,119880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,119190.0,118320.0,119730.0,119420.0,121510.0,117440.0,121890.0,122160.0,122160.0,123270.0,123270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,117980.0,118020.0,120250.0,120250.0,122360.0,118260.0,122090.0,123220.0,123220.0,124330.0,124330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,117590.0,117350.0,119060.0,119200.0,121290.0,122990.0,123030.0,121870.0,121870.0,124330.0,124330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,118270.0,117810.0,119290.0,120030.0,122130.0,120780.0,125970.0,122810.0,122560.0,124810.0,128700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,116560.0,117070.0,117500.0,117940.0,120000.0,120970.0,124400.0,122810.0,120430.0,124650.0,127560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,116960.0,116760.0,117330.0,118010.0,119900.0,120970.0,121500.0,122810.0,118100.0,124650.0,125110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,116160.0,116210.0,116860.0,117850.0,119570.0,120640.0,120000.0,119480.0,114890.0,124410.0,121880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,116120.0,116300.0,117100.0,117660.0,119380.0,120450.0,119430.0,119480.0,114890.0,124400.0,122610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,116520.0,117100.0,117840.0,118650.0,120380.0,120450.0,120000.0,121740.0,117670.0,126750.0,123000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,115680.0,116510.0,116980.0,118330.0,120380.0,120450.0,120000.0,121740.0,118000.0,126400.0,120500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,114800.0,115700.0,116140.0,117650.0,114010.0,116820.0,119230.0,119800.0,116120.0,124390.0,120500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,114260.0,115200.0,116200.0,116910.0,116060.0,119710.0,117600.0,119550.0,115880.0,119410.0,120500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,114700.0,115410.0,116180.0,116590.0,115690.0,119710.0,117600.0,119550.0,115290.0,118000.0,120500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,115080.0,115700.0,116130.0,117220.0,116310.0,120350.0,117000.0,120180.0,115900.0,117660.0,117160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,115440.0,115870.0,116420.0,117010.0,116140.0,120170.0,117880.0,120480.0,116190.0,117660.0,120000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11,115420.0,116220.0,116500.0,117050.0,116140.0,120170.0,117990.0,120480.0,116290.0,117660.0,119500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,113700.0,114280.0,114110.0,117050.0,116140.0,118500.0,116060.0,118840.0,116290.0,117660.0,118950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,113160.0,113430.0,113350.0,117050.0,115130.0,118380.0,116490.0,118940.0,116380.0,117660.0,118950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
