,SR0605.CZC,SR0607.CZC,SR0609.CZC,SR0611.CZC,SR0701.CZC,SR0703.CZC,SR0705.CZC,SR0707.CZC,SR0709.CZC,SR0711.CZC,SR0801.CZC,SR0803.CZC,SR0805.CZC,SR0807.CZC,SR0809.CZC,SR0811.CZC,SR0901.CZC,SR0903.CZC,SR0905.CZC,SR0907.CZC,SR0909.CZC,SR0911.CZC,SR1001.CZC,SR1003.CZC,SR1005.CZC,SR1007.CZC,SR1009.CZC,SR1011.CZC,SR1101.CZC,SR1103.CZC,SR1105.CZC,SR1107.CZC,SR1109.CZC,SR1111.CZC,SR1201.CZC,SR1203.CZC,SR1205.CZC,SR1207.CZC,SR1209.CZC,SR1211.CZC,SR1301.CZC,SR1303.CZC,SR1305.CZC,SR1307.CZC,SR1309.CZC,SR1311.CZC,SR1401.CZC,SR1403.CZC,SR1405.CZC,SR1407.CZC,SR1409.CZC,SR1411.CZC,SR1501.CZC,SR1503.CZC,SR1505.CZC,SR1507.CZC,SR1509.CZC,SR1511.CZC,SR1601.CZC,SR1603.CZC,SR1605.CZC,SR607.CZC,SR609.CZC,SR611.CZC,SR701.CZC,SR703.CZC,SR705.CZC,SR707.CZC,SR709.CZC,SR711.CZC,SR801.CZC,SR803.CZC,SR805.CZC,SR807.CZC,SR809.CZC,SR811.CZC,SR901.CZC,SR903.CZC,SR905.CZC,SR907.CZC,SR909.CZC
2006-01-06,4741.0,4786.0,4832.0,4740.0,4410.0,4559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-09,4720.0,4749.0,4815.0,4648.0,4368.0,4409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-10,4745.0,4782.0,4838.0,4700.0,4390.0,4400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-11,4710.0,4730.0,4795.0,4615.0,4358.0,4370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-12,4668.0,4689.0,4738.0,4617.0,4315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-13,4632.0,4660.0,4734.0,4583.0,4320.0,4325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-16,4833.0,4851.0,4927.0,4770.0,4490.0,4498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-17,4847.0,4880.0,4937.0,4825.0,4518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-18,4990.0,5000.0,5043.0,4905.0,4665.0,4653.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-19,5025.0,5038.0,5093.0,4930.0,4710.0,4730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-20,5201.0,5227.0,5271.0,5120.0,4897.0,4881.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-23,5356.0,5387.0,5431.0,5297.0,5148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-24,5678.0,5711.0,5757.0,5615.0,5457.0,5158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-25,5712.0,5733.0,5813.0,5706.0,5458.0,5415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-06,6246.0,6239.0,6305.0,6263.0,6036.0,5896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-07,5995.0,5983.0,6040.0,6004.0,5798.0,5700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-08,5669.0,5639.0,5704.0,5695.0,5480.0,5471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-09,5650.0,5680.0,5820.0,5818.0,5490.0,5488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-10,5468.0,5484.0,5612.0,5605.0,5389.0,5326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-13,5308.0,5355.0,5501.0,5480.0,5270.0,5232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-14,5433.0,5505.0,5665.0,5539.0,5331.0,5302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-15,5401.0,5562.0,5711.0,5590.0,5360.0,5360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
