,TF1312.CFE,TF1403.CFE,TF1406.CFE,TF1409.CFE,TF1412.CFE,TF1503.CFE,TF1506.CFE,TF1509.CFE,TF1512.CFE,TF1603.CFE,TF1606.CFE,TF1609.CFE,TF1612.CFE,TF1703.CFE,TF1706.CFE,TF1709.CFE,TF1712.CFE,TF1803.CFE,TF1806.CFE,TF1809.CFE,TF1812.CFE
2013-09-06,94.17,94.288,94.344,,,,,,,,,,,,,,,,,,
2013-09-09,93.906,94.0,94.07,,,,,,,,,,,,,,,,,,
2013-09-10,93.842,93.93,94.008,,,,,,,,,,,,,,,,,,
2013-09-11,93.598,93.688,93.766,,,,,,,,,,,,,,,,,,
2013-09-12,93.728,93.842,93.926,,,,,,,,,,,,,,,,,,
2013-09-13,93.764,93.892,93.972,,,,,,,,,,,,,,,,,,
2013-09-16,93.854,93.966,94.052,,,,,,,,,,,,,,,,,,
2013-09-17,94.234,94.044,94.396,,,,,,,,,,,,,,,,,,
2013-09-18,94.206,94.31,94.364,,,,,,,,,,,,,,,,,,
2013-09-23,94.35,94.438,94.45,,,,,,,,,,,,,,,,,,
2013-09-24,94.34,94.43,94.482,,,,,,,,,,,,,,,,,,
2013-09-25,94.42,94.49,94.52,,,,,,,,,,,,,,,,,,
2013-09-26,94.572,94.636,94.668,,,,,,,,,,,,,,,,,,
2013-09-27,94.346,94.404,94.406,,,,,,,,,,,,,,,,,,
2013-09-30,94.462,94.484,94.496,,,,,,,,,,,,,,,,,,
2013-10-08,94.412,94.462,94.456,,,,,,,,,,,,,,,,,,
2013-10-09,94.362,94.38,94.396,,,,,,,,,,,,,,,,,,
2013-10-10,94.35,94.37,94.398,,,,,,,,,,,,,,,,,,
2013-10-11,94.29,94.328,94.318,,,,,,,,,,,,,,,,,,
2013-10-14,94.118,94.158,94.188,,,,,,,,,,,,,,,,,,
2013-10-15,93.948,94.044,94.058,,,,,,,,,,,,,,,,,,
2013-10-16,94.012,94.112,94.198,,,,,,,,,,,,,,,,,,
2013-10-17,93.926,94.04,94.13,,,,,,,,,,,,,,,,,,
2013-10-18,93.886,94.016,94.092,,,,,,,,,,,,,,,,,,
2013-10-21,93.858,93.984,94.104,,,,,,,,,,,,,,,,,,
2013-10-22,93.772,93.91,94.024,,,,,,,,,,,,,,,,,,
2013-10-23,93.812,93.94,94.036,,,,,,,,,,,,,,,,,,
2013-10-24,93.6,93.778,93.872,,,,,,,,,,,,,,,,,,
2013-10-25,93.688,93.85,93.962,,,,,,,,,,,,,,,,,,
2013-10-28,93.67,93.85,94.006,,,,,,,,,,,,,,,,,,
2013-10-29,93.504,93.744,93.942,,,,,,,,,,,,,,,,,,
2013-10-30,93.54,93.754,93.946,,,,,,,,,,,,,,,,,,
2013-10-31,93.74,93.956,94.002,,,,,,,,,,,,,,,,,,
2013-11-01,93.836,94.026,94.11,,,,,,,,,,,,,,,,,,
2013-11-04,93.632,93.828,94.006,,,,,,,,,,,,,,,,,,
2013-11-05,93.474,93.756,93.894,,,,,,,,,,,,,,,,,,
2013-11-06,93.362,93.68,93.93,,,,,,,,,,,,,,,,,,
2013-11-07,92.828,93.284,93.61,,,,,,,,,,,,,,,,,,
2013-11-08,92.292,92.84,93.36,,,,,,,,,,,,,,,,,,
2013-11-11,91.73,92.262,92.814,,,,,,,,,,,,,,,,,,
2013-11-12,92.096,92.542,92.82,,,,,,,,,,,,,,,,,,
2013-11-13,91.82,92.3,92.618,,,,,,,,,,,,,,,,,,
2013-11-14,91.63,92.16,92.556,,,,,,,,,,,,,,,,,,
2013-11-15,91.318,91.802,92.32,,,,,,,,,,,,,,,,,,
2013-11-18,91.342,91.712,92.108,,,,,,,,,,,,,,,,,,
2013-11-19,90.94,91.3,91.956,,,,,,,,,,,,,,,,,,
2013-11-20,91.092,91.66,92.186,,,,,,,,,,,,,,,,,,
2013-11-21,91.396,91.98,92.37,,,,,,,,,,,,,,,,,,
2013-11-22,91.604,92.1,92.554,,,,,,,,,,,,,,,,,,
2013-11-25,91.308,91.754,92.256,,,,,,,,,,,,,,,,,,
2013-11-26,91.374,91.82,92.246,,,,,,,,,,,,,,,,,,
2013-11-27,91.766,92.27,92.596,,,,,,,,,,,,,,,,,,
2013-11-28,91.888,92.548,92.84,,,,,,,,,,,,,,,,,,
2013-11-29,91.782,92.558,92.906,,,,,,,,,,,,,,,,,,
2013-12-02,91.282,92.072,92.52,,,,,,,,,,,,,,,,,,
2013-12-03,91.722,92.286,92.74,,,,,,,,,,,,,,,,,,
2013-12-04,91.622,92.1,92.606,,,,,,,,,,,,,,,,,,
