,A1501.DCE,A1503.DCE,A1505.DCE,A1507.DCE,A1509.DCE,A1511.DCE,A1601.DCE,A1603.DCE,A1605.DCE,A1607.DCE,A1609.DCE,A1611.DCE,A1701.DCE,A1703.DCE,A1705.DCE,A1707.DCE,A1709.DCE,A1711.DCE,A1801.DCE,A1803.DCE,A1805.DCE,A1807.DCE,A1809.DCE,A1811.DCE,A1901.DCE,A1903.DCE,A1905.DCE,A1907.DCE,A1909.DCE
2015-01-05,4711.0,4459.0,4504.0,4457.0,4435.0,4405.0,4435.0,,4457.0,,,,,,,,,,,,,,,,,,,,
2015-01-06,4715.0,4495.0,4548.0,4462.0,4475.0,,4475.0,,4458.0,,,,,,,,,,,,,,,,,,,,
2015-01-07,4690.0,4630.0,4528.0,4486.0,4465.0,4450.0,4455.0,4539.0,,,,,,,,,,,,,,,,,,,,,
2015-01-08,4720.0,4560.0,4524.0,4467.0,4450.0,,4451.0,4414.0,,,,,,,,,,,,,,,,,,,,,
2015-01-09,4720.0,4574.0,4519.0,4460.0,4457.0,,4453.0,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,4722.0,4516.0,4538.0,4515.0,4460.0,4424.0,4455.0,,4480.0,,,,,,,,,,,,,,,,,,,,
2015-01-13,4720.0,4458.0,4504.0,4482.0,4440.0,,4430.0,,4445.0,,,,,,,,,,,,,,,,,,,,
2015-01-14,4720.0,4452.0,4487.0,,4416.0,,4417.0,,4437.0,,,,,,,,,,,,,,,,,,,,
2015-01-15,4709.0,,4504.0,,4424.0,,4415.0,,4439.0,,,,,,,,,,,,,,,,,,,,
2015-01-16,4599.0,4478.0,4522.0,,4443.0,4380.0,4427.0,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,4477.0,4518.0,4503.0,4440.0,4400.0,4418.0,,4440.0,,,,,,,,,,,,,,,,,,,,
2015-01-20,,4459.0,4515.0,4476.0,4515.0,4360.0,4400.0,,4400.0,4584.0,,,,,,,,,,,,,,,,,,,
2015-01-21,,4457.0,4496.0,4421.0,4414.0,4330.0,4366.0,,4380.0,,,,,,,,,,,,,,,,,,,,
2015-01-22,,4437.0,4472.0,,4393.0,,4350.0,,4345.0,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,4454.0,,4382.0,,4325.0,,4323.0,4390.0,,,,,,,,,,,,,,,,,,,
2015-01-26,,4416.0,4445.0,,4370.0,4286.0,4325.0,,4334.0,,,,,,,,,,,,,,,,,,,,
