,AP805.CZC,AP807.CZC,AP810.CZC,AP811.CZC,AP812.CZC,AP901.CZC,AP903.CZC
2017-12-22,8228.0,8237.0,7800.0,7800.0,7899.0,,
2017-12-25,8157.0,8100.0,7190.0,7180.0,7200.0,,
2017-12-26,8144.0,7920.0,7200.0,7161.0,7198.0,,
2017-12-27,8109.0,7938.0,7117.0,7054.0,7088.0,,
2017-12-28,8145.0,8048.0,7212.0,7180.0,7215.0,,
2017-12-29,8122.0,8042.0,7196.0,7177.0,7205.0,,
2018-01-02,8106.0,8060.0,7218.0,7179.0,7218.0,,
2018-01-03,8122.0,8050.0,7215.0,7163.0,7188.0,,
2018-01-04,8114.0,8038.0,7187.0,7160.0,7200.0,,
2018-01-05,8111.0,8050.0,7240.0,7211.0,7237.0,,
2018-01-08,8103.0,8040.0,7249.0,7217.0,7238.0,,
2018-01-09,8090.0,8015.0,7195.0,7180.0,7215.0,,
2018-01-10,7980.0,7881.0,7167.0,7157.0,7186.0,,
2018-01-11,7953.0,7875.0,7154.0,7149.0,7181.0,,
2018-01-12,7855.0,7763.0,7118.0,7100.0,7128.0,,
2018-01-15,7795.0,7709.0,7098.0,7064.0,7100.0,,
2018-01-16,7815.0,7747.0,7108.0,7070.0,7136.0,7732.0,
2018-01-17,7744.0,7668.0,7072.0,7054.0,7156.0,7324.0,
2018-01-18,7708.0,7638.0,7026.0,7040.0,7108.0,7216.0,
2018-01-19,7701.0,7722.0,7015.0,7039.0,7089.0,7143.0,
2018-01-22,7708.0,7730.0,7040.0,7068.0,7109.0,7154.0,
2018-01-23,7740.0,7730.0,7044.0,7064.0,7104.0,7151.0,
2018-01-24,7708.0,7729.0,7018.0,7047.0,7063.0,7119.0,
2018-01-25,7701.0,7692.0,7019.0,7052.0,7073.0,7133.0,
2018-01-26,7699.0,7676.0,7022.0,7047.0,7076.0,7131.0,
2018-01-29,7697.0,7680.0,7018.0,7025.0,7076.0,7111.0,
2018-01-30,7568.0,7572.0,6962.0,6969.0,7007.0,7069.0,
2018-01-31,7543.0,7536.0,6950.0,6956.0,6982.0,7052.0,
2018-02-01,7515.0,7511.0,6939.0,6964.0,,7049.0,
2018-02-02,7462.0,7434.0,6939.0,6959.0,6982.0,7035.0,
2018-02-05,7382.0,7350.0,6892.0,6909.0,6950.0,6990.0,
2018-02-06,7372.0,7356.0,6872.0,6885.0,6928.0,6975.0,
2018-02-07,7293.0,7248.0,6604.0,6621.0,6616.0,6666.0,
2018-02-08,6890.0,6997.0,6283.0,6300.0,6345.0,6394.0,
2018-02-09,6828.0,6937.0,6261.0,6265.0,6305.0,6375.0,
2018-02-12,6941.0,6996.0,6278.0,6263.0,6311.0,6356.0,
2018-02-13,6848.0,6950.0,6130.0,6103.0,6155.0,6211.0,
2018-02-14,6821.0,6899.0,6088.0,6056.0,6137.0,6177.0,
2018-02-22,6623.0,6680.0,5918.0,5859.0,5917.0,5993.0,
2018-02-23,6846.0,6904.0,6186.0,6121.0,6179.0,6265.0,
2018-02-26,7064.0,7191.0,6330.0,6320.0,6365.0,6411.0,
2018-02-27,7150.0,7287.0,6324.0,6299.0,6349.0,6395.0,
2018-02-28,7124.0,7226.0,6310.0,6295.0,6332.0,6390.0,
2018-03-01,7188.0,7230.0,6361.0,6336.0,6363.0,6440.0,
2018-03-02,7168.0,7263.0,6328.0,6329.0,6383.0,6440.0,
2018-03-05,7052.0,7190.0,6121.0,6125.0,6192.0,6269.0,
2018-03-06,7310.0,7478.0,6375.0,6383.0,6449.0,6525.0,
2018-03-07,7238.0,7420.0,6428.0,6406.0,6456.0,6530.0,
2018-03-08,7200.0,7460.0,6334.0,6332.0,6375.0,6462.0,
2018-03-09,7249.0,7480.0,6348.0,6352.0,6400.0,6482.0,
2018-03-12,7313.0,7520.0,6331.0,6328.0,6377.0,6454.0,
2018-03-13,7085.0,7355.0,6395.0,6410.0,6444.0,6534.0,
2018-03-14,7068.0,7350.0,6398.0,6402.0,6435.0,6522.0,
2018-03-15,7004.0,7284.0,6373.0,6380.0,6419.0,6506.0,6576.0
2018-03-16,7052.0,7412.0,6445.0,6441.0,6488.0,6581.0,6671.0
2018-03-19,7082.0,7460.0,6428.0,6429.0,6468.0,6560.0,
2018-03-20,7029.0,7439.0,6408.0,6413.0,6445.0,6539.0,6540.0
2018-03-21,7145.0,7488.0,6374.0,6391.0,6430.0,6510.0,6549.0
2018-03-22,7394.0,7635.0,6450.0,6448.0,6486.0,6575.0,6599.0
2018-03-23,7368.0,7644.0,6437.0,6440.0,6477.0,6562.0,6628.0
2018-03-26,7421.0,7700.0,6583.0,6610.0,6666.0,6745.0,6814.0
2018-03-27,7420.0,7718.0,6612.0,6632.0,6680.0,6768.0,6800.0
2018-03-28,7357.0,7710.0,6625.0,6704.0,6761.0,6843.0,6894.0
2018-03-29,7339.0,7684.0,6615.0,6709.0,6748.0,6838.0,6841.0
2018-03-30,7293.0,7565.0,6556.0,6640.0,6705.0,6785.0,6773.0
2018-04-02,7445.0,7628.0,6590.0,6663.0,6723.0,6814.0,6866.0
2018-04-03,7437.0,7630.0,6578.0,6654.0,6688.0,6800.0,6800.0
2018-04-04,7420.0,7588.0,6525.0,6580.0,6622.0,6726.0,6751.0
2018-04-09,7346.0,7700.0,6658.0,6808.0,6870.0,6956.0,6988.0
2018-04-10,7373.0,7595.0,6777.0,6879.0,6965.0,7051.0,7208.0
2018-04-11,7399.0,7706.0,7030.0,7146.0,7224.0,7312.0,7468.0
2018-04-12,7330.0,7724.0,7086.0,7197.0,7280.0,7374.0,7534.0
2018-04-13,7352.0,7710.0,7168.0,7282.0,7367.0,7450.0,7599.0
2018-04-16,7429.0,7773.0,7207.0,7336.0,7469.0,7618.0,7712.0
2018-04-17,7382.0,7786.0,7132.0,7265.0,7423.0,7575.0,7695.0
2018-04-18,7435.0,7886.0,7199.0,7330.0,7452.0,7585.0,7730.0
2018-04-19,7400.0,7908.0,7179.0,7319.0,7452.0,7586.0,7733.0
2018-04-20,7425.0,7920.0,7207.0,7344.0,7484.0,7628.0,7800.0
2018-04-23,7696.0,8047.0,7502.0,7657.0,7802.0,7942.0,8134.0
2018-04-24,7735.0,8019.0,7557.0,7850.0,8042.0,8223.0,8358.0
2018-04-25,8005.0,8077.0,7512.0,7860.0,8096.0,8287.0,8388.0
2018-04-26,8200.0,8407.0,7830.0,8133.0,8435.0,8626.0,8761.0
