,AU1501.SHF,AU1502.SHF,AU1503.SHF,AU1504.SHF,AU1505.SHF,AU1506.SHF,AU1507.SHF,AU1508.SHF,AU1509.SHF,AU1510.SHF,AU1511.SHF,AU1512.SHF,AU1601.SHF,AU1602.SHF,AU1603.SHF,AU1604.SHF,AU1605.SHF,AU1606.SHF,AU1607.SHF,AU1608.SHF,AU1609.SHF,AU1610.SHF,AU1611.SHF,AU1612.SHF,AU1701.SHF,AU1702.SHF,AU1703.SHF,AU1704.SHF,AU1705.SHF,AU1706.SHF,AU1707.SHF,AU1708.SHF,AU1709.SHF,AU1710.SHF,AU1711.SHF,AU1712.SHF,AU1801.SHF,AU1802.SHF,AU1803.SHF,AU1804.SHF,AU1805.SHF,AU1806.SHF,AU1807.SHF,AU1808.SHF,AU1810.SHF,AU1812.SHF,AU1902.SHF,AU1904.SHF
2015-01-05,246.85,240.1,240.15,241.4,,242.5,,242.0,,242.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,239.15,242.75,,,,245.0,,245.4,,244.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,244.65,243.55,,,247.3,,245.15,,248.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,246.0,243.95,245.45,,,246.2,,,,246.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,244.0,244.0,,,,246.15,,245.9,,246.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,253.15,246.8,247.0,244.0,,248.7,,249.05,,249.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,247.9,248.75,247.95,,250.0,,250.35,,250.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,248.5,,249.0,,250.5,,250.35,,246.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,248.1,250.25,,,250.1,,250.25,,248.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,258.0,253.05,252.55,,253.75,,253.35,,253.8,,254.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,256.5,253.0,257.55,,259.0,,258.0,,258.55,,258.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,256.4,257.55,257.4,,258.3,,258.0,,258.2,,259.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,260.7,262.1,262.3,,263.0,,263.15,,263.3,,264.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,260.8,260.0,259.5,,263.2,,263.2,,260.75,,264.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,265.0,262.2,261.85,,262.85,,262.45,,263.5,,264.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,260.75,262.5,261.75,,262.55,,,,262.8,,264.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,258.55,258.4,259.95,,260.6,,259.75,,259.9,,262.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,259.65,260.05,260.75,,261.95,,260.6,,261.45,,263.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,259.1,,259.95,,261.75,,,,261.55,,262.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,255.95,,253.85,,257.7,,257.65,,256.35,,259.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,,,258.85,,260.0,,,,258.6,,261.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,,,258.4,,259.6,,259.2,,259.2,,260.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,257.0,,257.6,,258.2,,256.05,,258.0,,259.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,263.95,,257.15,,258.3,,258.5,,258.6,,259.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,,257.55,255.75,,256.85,,257.2,,257.5,,258.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,,,249.2,256.95,,260.25,,257.25,,258.1,,260.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,,,,251.3,,252.4,,252.75,,253.3,,254.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,,,,249.9,,251.45,,252.75,,251.35,,253.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,,,,247.0,,250.85,,248.85,,250.9,,252.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
