,B1501.DCE,B1503.DCE,B1505.DCE,B1507.DCE,B1509.DCE,B1511.DCE,B1601.DCE,B1603.DCE,B1605.DCE,B1607.DCE,B1609.DCE,B1611.DCE,B1701.DCE,B1703.DCE,B1705.DCE,B1707.DCE,B1709.DCE,B1711.DCE,B1801.DCE,B1803.DCE,B1805.DCE,B1806.DCE,B1807.DCE,B1808.DCE,B1809.DCE,B1810.DCE,B1811.DCE,B1812.DCE,B1901.DCE,B1902.DCE,B1903.DCE,B1904.DCE
2015-01-05,,,3300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,,3324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,3316.0,,,3349.0,3290.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,3290.0,,3310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,,,3310.0,,3304.0,3266.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,,,,,3349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,,3280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,,3252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,,3248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,,3242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,3235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,,3220.0,,3254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,3243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,3281.0,3230.0,,,3339.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,,,3377.0,,3399.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,,3220.0,3240.0,3251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,,3215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,,3230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,,3213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,,3195.0,,3325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,,3200.0,,3245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,,3210.0,,,3230.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,,3225.0,,3203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,,3250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,,3250.0,3216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,,,3210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,,,,,3205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,,,3205.0,,3210.0,3326.0,,,,,,,,,,,,,,,,,,,,,,,,,,
