,CY801.CZC,CY802.CZC,CY803.CZC,CY804.CZC,CY805.CZC,CY806.CZC,CY807.CZC,CY808.CZC,CY809.CZC,CY810.CZC,CY811.CZC,CY812.CZC,CY901.CZC,CY902.CZC,CY903.CZC,CY904.CZC
2017-08-18,23330.0,23065.0,,,23175.0,,,,,,,,,,,
2017-08-21,23080.0,22945.0,,,22955.0,,,,,,,,,,,
2017-08-22,23095.0,22665.0,,,22960.0,,,,,,,,,,,
2017-08-23,23155.0,,,,23000.0,,,,,,,,,,,
2017-08-24,23120.0,,,,22990.0,,,,,,,,,,,
2017-08-25,23095.0,,,,22965.0,,,,,,,,,,,
2017-08-28,23100.0,,23330.0,,22965.0,,,,,,,,,,,
2017-08-29,23135.0,,22695.0,,23010.0,,,,,,,,,,,
2017-08-30,23085.0,,,,22945.0,,,,,,,,,,,
2017-08-31,23080.0,,,,22950.0,,,,,,,,,,,
2017-09-01,23095.0,,,,22970.0,,,,,,,,,,,
2017-09-04,23650.0,,,,23500.0,,,,,,,,,,,
2017-09-05,23575.0,,,,23360.0,,,,,,,,,,,
2017-09-06,23585.0,,,,23370.0,,,,,,,,,,,
2017-09-07,23410.0,,,,23280.0,,,,,,,,,,,
2017-09-08,23340.0,,,,23235.0,,,,,,,,,,,
2017-09-11,24075.0,23650.0,,,23970.0,,,,,,,,,,,
2017-09-12,23290.0,,,,23420.0,,,,,,,,,,,
2017-09-13,23285.0,,,,23395.0,,,,,,,,,,,
2017-09-14,23210.0,,,,23170.0,,,,,,,,,,,
2017-09-15,23120.0,,,,23120.0,,,,,,,,,,,
2017-09-18,23095.0,,,,23120.0,,,,,,,,,,,
2017-09-19,23200.0,,,,23155.0,,,,,,,,,,,
2017-09-20,23390.0,,,,23390.0,,,,,,,,,,,
2017-09-21,23390.0,23135.0,22740.0,21115.0,23425.0,,,,,,,,,,,
2017-09-22,23280.0,23265.0,23575.0,,23295.0,,,,,,,,,,,
2017-09-25,23245.0,,,,23245.0,,,,,,,,,,,
2017-09-26,23370.0,,,,23350.0,,,,,,,,,,,
2017-09-27,23310.0,23225.0,,,23285.0,,,,,,,,,,,
2017-09-28,23145.0,,,,23140.0,23200.0,,,,,,,,,,
2017-09-29,23010.0,,,23680.0,23095.0,,,,,,,,,,,
2017-10-09,23055.0,,,,22905.0,,,,,,,,,,,
2017-10-10,22995.0,,,,22845.0,,,,,,,,,,,
2017-10-11,23000.0,,,23200.0,22875.0,,,,,,,,,,,
2017-10-12,22965.0,,,,22865.0,,,,,,,,,,,
2017-10-13,23010.0,,,,,,,,,,,,,,,
2017-10-16,23110.0,,,,22905.0,,,,,,,,,,,
2017-10-17,23070.0,,,,,,,,,,,,,,,
2017-10-18,23080.0,,,,22905.0,,,,,,,,,,,
2017-10-19,23035.0,,,,22860.0,,,,,,,,,,,
2017-10-20,22930.0,,,,22875.0,,,,,,,,,,,
2017-10-23,22920.0,,,,22700.0,,,,,,,,,,,
2017-10-24,22975.0,,,,,,,,,23905.0,,,,,,
2017-10-25,22950.0,,,,22885.0,,,,,22950.0,,,,,,
2017-10-26,22990.0,,,,22875.0,,,,,22950.0,,,,,,
2017-10-27,22940.0,,,,22895.0,,,,,,,,,,,
2017-10-30,22980.0,,,,22860.0,,,,,,,,,,,
2017-10-31,22950.0,,,,,,,,,,,,,,,
2017-11-01,23045.0,,,,22960.0,,,,,,,,,,,
2017-11-02,23030.0,,,,,,,,,,,,,,,
2017-11-03,23080.0,,,,22925.0,,,,,,,,,,,
2017-11-06,23100.0,,,,22940.0,,,,,,,,,,,
2017-11-07,23160.0,,,,22995.0,,,,,,,,,,,
2017-11-08,23165.0,,23020.0,,,,,,,,,,,,,
2017-11-09,23080.0,,,,23000.0,,,,,,,,,,,
2017-11-10,23095.0,,,,22925.0,,,,,,,,,,,
