,HC1501.SHF,HC1502.SHF,HC1503.SHF,HC1504.SHF,HC1505.SHF,HC1506.SHF,HC1507.SHF,HC1508.SHF,HC1509.SHF,HC1510.SHF,HC1511.SHF,HC1512.SHF,HC1601.SHF,HC1602.SHF,HC1603.SHF,HC1604.SHF,HC1605.SHF,HC1606.SHF,HC1607.SHF,HC1608.SHF,HC1609.SHF,HC1610.SHF,HC1611.SHF,HC1612.SHF,HC1701.SHF,HC1702.SHF,HC1703.SHF,HC1704.SHF,HC1705.SHF,HC1706.SHF,HC1707.SHF,HC1708.SHF,HC1709.SHF,HC1710.SHF,HC1711.SHF,HC1712.SHF,HC1801.SHF,HC1802.SHF,HC1803.SHF,HC1804.SHF,HC1805.SHF,HC1806.SHF,HC1807.SHF,HC1808.SHF,HC1809.SHF,HC1810.SHF,HC1811.SHF,HC1812.SHF,HC1901.SHF,HC1902.SHF,HC1903.SHF,HC1904.SHF
2015-01-05,2980.0,,,,2928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,2972.0,,,,2992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,3000.0,,2922.0,,2932.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,,2912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,2980.0,,,,2882.0,2956.0,,,,2976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,2972.0,,,,2842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,2866.0,,,2890.0,2764.0,,,,,2796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,2760.0,,,,2742.0,,,2762.0,2770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,2850.0,,,,2696.0,,,,2814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,,,,2708.0,,,,2786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,,,2684.0,,,,2754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,,2638.0,,2674.0,,,,,2760.0,,2770.0,2598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,,,2662.0,,,,,,,,2620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,,,,2656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,,,2640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,,,,2612.0,,,,,,,,2538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,,,,2576.0,,,,,,,,2596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,,,,2620.0,2610.0,,,,,,,2626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,,,,2626.0,,,,,,,,2680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,,,,2624.0,,,,2676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,,,,2716.0,,,,2738.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,,,,2602.0,,,,2634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,,,,2606.0,,,,,,,,2698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
