,IC1505.CFE,IC1506.CFE,IC1507.CFE,IC1508.CFE,IC1509.CFE,IC1510.CFE,IC1511.CFE,IC1512.CFE,IC1601.CFE,IC1602.CFE,IC1603.CFE,IC1604.CFE,IC1605.CFE,IC1606.CFE,IC1607.CFE,IC1608.CFE,IC1609.CFE,IC1610.CFE,IC1611.CFE,IC1612.CFE,IC1701.CFE,IC1702.CFE,IC1703.CFE,IC1704.CFE,IC1705.CFE,IC1706.CFE,IC1707.CFE,IC1708.CFE,IC1709.CFE,IC1710.CFE,IC1711.CFE,IC1712.CFE,IC1801.CFE,IC1802.CFE,IC1803.CFE,IC1804.CFE,IC1805.CFE,IC1806.CFE,IC1809.CFE,IC1812.CFE
2015-04-16,7790.0,7757.0,,,7762.8,,,7799.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,7918.8,7804.6,,,7714.0,,,7706.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,7857.0,7771.2,,,7698.2,,,7638.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,8147.0,8093.2,,,8024.0,,,7947.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,8237.8,8175.0,,,8075.2,,,8019.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,8378.8,8306.8,,,8180.0,,,8113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,8349.8,8267.4,,,8151.0,,,8053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,8548.0,8490.0,,,8419.8,,,8320.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,8419.0,8335.0,,,8257.8,,,8141.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,8309.0,8209.0,,,8118.0,,,8025.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,8408.0,8314.4,,,8224.8,,,8123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,8527.4,8384.0,,,8299.0,,,8132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
