,IF1501.CFE,IF1502.CFE,IF1503.CFE,IF1504.CFE,IF1505.CFE,IF1506.CFE,IF1507.CFE,IF1508.CFE,IF1509.CFE,IF1510.CFE,IF1511.CFE,IF1512.CFE,IF1601.CFE,IF1602.CFE,IF1603.CFE,IF1604.CFE,IF1605.CFE,IF1606.CFE,IF1607.CFE,IF1608.CFE,IF1609.CFE,IF1610.CFE,IF1611.CFE,IF1612.CFE,IF1701.CFE,IF1702.CFE,IF1703.CFE,IF1704.CFE,IF1705.CFE,IF1706.CFE,IF1707.CFE,IF1708.CFE,IF1709.CFE,IF1710.CFE,IF1711.CFE,IF1712.CFE,IF1801.CFE,IF1802.CFE,IF1803.CFE,IF1804.CFE,IF1805.CFE,IF1806.CFE,IF1809.CFE,IF1812.CFE
2015-01-05,3768.8,3817.6,3860.2,,,3902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,3707.8,3761.2,3808.0,,,3846.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,3684.2,3734.6,3776.6,,,3813.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,3679.6,3736.4,3781.0,,,3815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,3718.0,3767.0,3803.0,,,3845.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,3575.0,3612.2,3650.0,,,3693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,3568.8,3608.2,3642.8,,,3690.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,3563.4,3606.0,3647.0,,,3691.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,3627.6,3686.4,3741.0,,,3788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,3653.4,3714.0,3758.4,,,3814.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,3519.8,3617.0,,,3649.0,,,3717.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,3448.8,3482.0,,,3539.2,,,3572.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,3581.8,3611.6,,,3674.0,,,3710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,3595.0,3625.6,,,3686.0,,,3721.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,3649.0,3683.8,,,3742.0,,,3776.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,3635.2,3668.0,,,3720.0,,,3753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,3643.0,3675.6,,,3728.4,,,3762.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,3603.6,3633.0,,,3685.0,,,3703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,3516.6,3545.4,,,3590.4,,,3609.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,3532.8,3562.0,,,3605.4,,,3621.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,3427.0,3445.2,,,3483.8,,,3501.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,3467.2,3489.6,,,3533.2,,,3555.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,3508.6,3535.2,,,3584.0,,,3613.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,3537.0,3562.0,,,3618.0,,,3648.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,3390.4,3416.0,,,3467.0,,,3489.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,,3400.2,3428.8,,,3484.8,,,3510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,,3440.4,3474.8,,,3529.6,,,3557.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,,3469.6,3507.0,,,3563.0,,,3590.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,,3470.0,3505.2,,,3561.8,,,3588.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,,3531.2,3569.0,,,3628.2,,,3655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-16,,3509.8,3550.0,,,3620.0,,,3638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,,3540.0,3583.4,,,3641.2,,,3667.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,,3529.0,3568.8,,,3626.8,,,3651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26,,,3616.8,3645.0,,3679.8,,,3704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,,,3624.0,3647.6,,3687.4,,,3712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,,,3636.0,3660.0,,3691.8,,,3740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-03,,,3601.0,3628.0,,3661.6,,,3693.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-04,,,3562.8,3585.2,,3617.0,,,3635.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-05,,,3533.6,3553.0,,3582.4,,,3601.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-06,,,3529.2,3547.8,,3578.6,,,3598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-09,,,3575.0,3594.2,,3627.0,,,3640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-10,,,3571.8,3592.0,,3625.2,,,3639.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-11,,,3598.6,3616.2,,3649.8,,,3662.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-12,,,3629.4,3646.8,,3680.0,,,3694.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-13,,,3651.8,3672.6,,3707.8,,,3720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
