,JD1501.DCE,JD1502.DCE,JD1503.DCE,JD1504.DCE,JD1505.DCE,JD1506.DCE,JD1509.DCE,JD1510.DCE,JD1511.DCE,JD1512.DCE,JD1601.DCE,JD1602.DCE,JD1603.DCE,JD1604.DCE,JD1605.DCE,JD1606.DCE,JD1609.DCE,JD1610.DCE,JD1611.DCE,JD1612.DCE,JD1701.DCE,JD1702.DCE,JD1703.DCE,JD1704.DCE,JD1705.DCE,JD1706.DCE,JD1707.DCE,JD1708.DCE,JD1709.DCE,JD1710.DCE,JD1711.DCE,JD1712.DCE,JD1801.DCE,JD1802.DCE,JD1803.DCE,JD1804.DCE,JD1805.DCE,JD1806.DCE,JD1807.DCE,JD1808.DCE,JD1809.DCE,JD1810.DCE,JD1811.DCE,JD1812.DCE,JD1901.DCE,JD1902.DCE,JD1903.DCE,JD1904.DCE
2015-01-05,4700.0,,4220.0,,4309.0,4300.0,4549.0,4427.0,,4444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,4918.0,,4213.0,,4321.0,4273.0,4568.0,,4277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,4690.0,4545.0,4197.0,4155.0,4296.0,,4606.0,4429.0,4315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,4587.0,4398.0,4190.0,,4300.0,,4603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,4587.0,4500.0,4200.0,,4293.0,,4613.0,,,4440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,,,4227.0,4209.0,4305.0,4300.0,4656.0,4420.0,4340.0,4415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,4312.0,4500.0,4197.0,4180.0,4260.0,4240.0,4619.0,4388.0,4281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,4533.0,4270.0,4169.0,4190.0,4160.0,4590.0,4321.0,4212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,4484.0,4205.0,4145.0,4162.0,4213.0,4520.0,4344.0,4265.0,4338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,4430.0,4510.0,4218.0,,4174.0,4155.0,4524.0,4328.0,4220.0,4260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,4498.0,4221.0,4215.0,4204.0,4208.0,4540.0,4288.0,4247.0,4298.0,4163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,4500.0,4202.0,,4186.0,,4538.0,,,4288.0,4145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,4265.0,4204.0,4184.0,4157.0,4562.0,4332.0,,,4163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,,4260.0,4121.0,4123.0,4153.0,4515.0,4263.0,4207.0,4234.0,4111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,4506.0,4231.0,,4128.0,4157.0,4517.0,,4225.0,4217.0,4105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,4596.0,4247.0,,4182.0,4161.0,4624.0,4369.0,4193.0,,4134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,4500.0,4313.0,,4235.0,4234.0,4725.0,4450.0,4280.0,,4190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,4500.0,4246.0,,4195.0,4176.0,4702.0,4392.0,4194.0,,4171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,4717.0,4219.0,,4188.0,4177.0,4650.0,,4206.0,,4187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,,4199.0,,4135.0,4200.0,4648.0,4335.0,4207.0,4188.0,4166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,,,,4145.0,,4647.0,4362.0,,,4182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,,4233.0,,4160.0,,4637.0,4421.0,4227.0,,4163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,,4253.0,4229.0,4186.0,4225.0,4656.0,4410.0,4267.0,,4182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,,,4220.0,4196.0,,4660.0,,4275.0,,4191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,,,4168.0,4196.0,4267.0,4628.0,4398.0,4227.0,,4185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,,,4236.0,4217.0,4230.0,4250.0,4647.0,4359.0,4230.0,4190.0,4205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,,,4244.0,,4184.0,,4552.0,4392.0,4200.0,4141.0,4148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,,,4223.0,4147.0,4160.0,4216.0,4561.0,4365.0,,4211.0,4128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,,,4240.0,,4134.0,4255.0,4550.0,4358.0,4176.0,,4120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
