,ME1501.CZC,ME1502.CZC,ME1503.CZC,ME1504.CZC,ME1505.CZC,MA1506.CZC,MA1507.CZC,MA1508.CZC,MA1509.CZC,MA1510.CZC,MA1511.CZC,MA1512.CZC,MA1601.CZC,MA1602.CZC,MA1603.CZC,MA1604.CZC,MA1605.CZC,MA1606.CZC,MA607.CZC,MA608.CZC,MA609.CZC,MA610.CZC,MA611.CZC,MA612.CZC,MA701.CZC,MA702.CZC,MA703.CZC,MA704.CZC,MA705.CZC,MA706.CZC,MA707.CZC,MA708.CZC,MA709.CZC,MA710.CZC,MA711.CZC,MA712.CZC,MA801.CZC,MA802.CZC,MA803.CZC,MA804.CZC,MA805.CZC,MA806.CZC,MA807.CZC,MA808.CZC,MA809.CZC,MA810.CZC,MA811.CZC,MA812.CZC,MA901.CZC,MA902.CZC,MA903.CZC,MA904.CZC
2015-01-05,1806.0,1870.0,1916.0,1964.0,1996.0,2057.0,2165.0,2201.0,2133.0,,2139.0,2219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,1815.0,1859.0,1929.0,,1983.0,2041.0,2058.0,2099.0,2113.0,,2105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,1850.0,1842.0,1965.0,1988.0,1988.0,2053.0,2077.0,2104.0,2124.0,,2116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,1818.0,1829.0,,1979.0,1985.0,2048.0,2097.0,2107.0,2118.0,,2115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,1750.0,1812.0,,,1980.0,2038.0,2066.0,2091.0,2108.0,2088.0,2106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,1676.0,1807.0,,1913.0,1962.0,2022.0,2054.0,2080.0,2094.0,2075.0,2090.0,2070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,1759.0,,1865.0,1898.0,1948.0,1979.0,2005.0,2022.0,2014.0,2020.0,2050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,1750.0,1925.0,1923.0,1907.0,1958.0,1970.0,1996.0,2027.0,2018.0,2021.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,1742.0,,1852.0,1890.0,1921.0,1967.0,1994.0,2020.0,2034.0,2026.0,2026.0,2056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,1780.0,1788.0,1848.0,1949.0,1964.0,2014.0,2040.0,2052.0,2080.0,2070.0,2066.0,2111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
