,PB1501.SHF,PB1502.SHF,PB1503.SHF,PB1504.SHF,PB1505.SHF,PB1506.SHF,PB1507.SHF,PB1508.SHF,PB1509.SHF,PB1510.SHF,PB1511.SHF,PB1512.SHF,PB1601.SHF,PB1602.SHF,PB1603.SHF,PB1604.SHF,PB1605.SHF,PB1606.SHF,PB1607.SHF,PB1608.SHF,PB1609.SHF,PB1610.SHF,PB1611.SHF,PB1612.SHF,PB1701.SHF,PB1702.SHF,PB1703.SHF,PB1704.SHF,PB1705.SHF,PB1706.SHF,PB1707.SHF,PB1708.SHF,PB1709.SHF,PB1710.SHF,PB1711.SHF,PB1712.SHF,PB1801.SHF,PB1802.SHF,PB1803.SHF,PB1804.SHF,PB1805.SHF,PB1806.SHF,PB1807.SHF,PB1808.SHF,PB1809.SHF,PB1810.SHF,PB1811.SHF,PB1812.SHF,PB1901.SHF,PB1902.SHF,PB1903.SHF,PB1904.SHF
2015-01-05,12375.0,12500.0,12535.0,12550.0,12505.0,12545.0,,12730.0,12710.0,12730.0,,12840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,12320.0,12600.0,12450.0,12435.0,12450.0,12445.0,12605.0,12700.0,,12660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,12350.0,12465.0,12485.0,12510.0,12550.0,12590.0,,,,12630.0,12790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,12330.0,12460.0,12475.0,12495.0,12465.0,12535.0,12580.0,12655.0,12725.0,,12790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,12360.0,12535.0,12520.0,12530.0,12545.0,12595.0,12575.0,12650.0,12635.0,12710.0,12775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,12310.0,12450.0,12455.0,12470.0,12440.0,12465.0,,12565.0,,12640.0,12725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,12250.0,12305.0,12320.0,12345.0,12390.0,12410.0,,,12565.0,12610.0,12730.0,12685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,12010.0,12175.0,12145.0,12150.0,12205.0,12275.0,12045.0,12320.0,12375.0,12370.0,12465.0,12555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,12120.0,12185.0,12170.0,12255.0,12200.0,12200.0,12215.0,12220.0,12375.0,12315.0,12240.0,12345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,12475.0,12395.0,12375.0,12405.0,12435.0,12275.0,,12480.0,12450.0,12515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
