,PP1501.DCE,PP1502.DCE,PP1503.DCE,PP1504.DCE,PP1505.DCE,PP1506.DCE,PP1507.DCE,PP1508.DCE,PP1509.DCE,PP1510.DCE,PP1511.DCE,PP1512.DCE,PP1601.DCE,PP1602.DCE,PP1603.DCE,PP1604.DCE,PP1605.DCE,PP1606.DCE,PP1607.DCE,PP1608.DCE,PP1609.DCE,PP1610.DCE,PP1611.DCE,PP1612.DCE,PP1701.DCE,PP1702.DCE,PP1703.DCE,PP1704.DCE,PP1705.DCE,PP1706.DCE,PP1707.DCE,PP1708.DCE,PP1709.DCE,PP1710.DCE,PP1711.DCE,PP1712.DCE,PP1801.DCE,PP1802.DCE,PP1803.DCE,PP1804.DCE,PP1805.DCE,PP1806.DCE,PP1807.DCE,PP1808.DCE,PP1809.DCE,PP1810.DCE,PP1811.DCE,PP1812.DCE,PP1901.DCE,PP1902.DCE,PP1903.DCE,PP1904.DCE
2015-01-05,9380.0,,8600.0,8663.0,7892.0,7596.0,,,7542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,8750.0,8517.0,,8032.0,7588.0,7418.0,7520.0,7343.0,7253.0,7280.0,7151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,8695.0,,,7955.0,7540.0,7474.0,,,7210.0,7168.0,7087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,8395.0,,,7937.0,7498.0,7360.0,,,7210.0,,7169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,8388.0,,8500.0,7853.0,7412.0,7172.0,7144.0,7120.0,7162.0,7031.0,7025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,8090.0,8239.0,8500.0,,7215.0,7150.0,7150.0,7117.0,6996.0,6971.0,6970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,8050.0,,8369.0,,7268.0,7174.0,7201.0,7139.0,6998.0,6985.0,6956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,8050.0,,8339.0,7703.0,7295.0,7168.0,7205.0,7098.0,7017.0,,6900.0,6981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,8200.0,,8006.0,7742.0,7347.0,7294.0,7335.0,,7026.0,6892.0,7019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,8130.0,,7982.0,7768.0,7298.0,7300.0,7255.0,7126.0,6969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,8526.0,,,7449.0,7405.0,,,7166.0,,7123.0,,6983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,8346.0,,7884.0,7414.0,,,,7129.0,,7075.0,,7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,8590.0,,,7400.0,,,,7250.0,,7061.0,,7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,8555.0,,7830.0,7429.0,7422.0,,,7199.0,,,,7018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,,,7364.0,,,,7119.0,7122.0,7019.0,,6955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,8550.0,7800.0,,7310.0,7220.0,,,7074.0,,,,6900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,8389.0,,,7248.0,7278.0,,,7004.0,6918.0,,,6860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,8451.0,7751.0,7681.0,7315.0,7499.0,,,7075.0,,,,6960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,8256.0,,7634.0,7334.0,7253.0,,,7080.0,,,,6952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,7900.0,,7570.0,7310.0,,,7181.0,7070.0,,,,6920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,8130.0,7450.0,,7405.0,7335.0,,7384.0,7167.0,,,,7155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,,7748.0,,7599.0,,,,7377.0,,7299.0,,7282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,8185.0,,,7803.0,7776.0,7780.0,,7570.0,,7534.0,,7488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,,,,7628.0,,,,7406.0,,,,7370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,,,8035.0,7856.0,7796.0,7811.0,,7666.0,,7587.0,,7545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,,8450.0,,8094.0,7842.0,,,,7663.0,7497.0,7616.0,,7554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,,8880.0,,,7804.0,7788.0,,,7630.0,,7385.0,,7543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,,,,,7832.0,7844.0,,,7670.0,,,7719.0,7560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,,,,,7850.0,7806.0,,,7655.0,7650.0,7563.0,,7559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,,,,8248.0,8109.0,7943.0,,7867.0,7921.0,,7863.0,,7821.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-16,,,8495.0,8131.0,8210.0,8213.0,8194.0,8117.0,7990.0,7810.0,7830.0,,7875.0,7578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,,,9088.0,8699.0,8244.0,8222.0,8201.0,8158.0,7961.0,,,,7860.0,7529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,,,,,8258.0,,8164.0,,7936.0,7929.0,7840.0,,7795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26,,,,8955.0,8399.0,,8399.0,,8103.0,,,,7947.0,7830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,,,,8850.0,8364.0,8393.0,8331.0,8215.0,8074.0,,,,7929.0,7783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,,,9979.0,8724.0,8601.0,8598.0,8499.0,8349.0,8313.0,,8139.0,,8197.0,8091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-03,,,,8550.0,8590.0,8540.0,8447.0,8498.0,8258.0,8208.0,8062.0,,8128.0,7969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-04,,,,,8468.0,8511.0,8368.0,8452.0,8115.0,,8083.0,,8003.0,7914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-05,,,8700.0,8167.0,8392.0,8444.0,,,8065.0,8036.0,8031.0,,7944.0,7912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-06,,,,8155.0,8264.0,8304.0,8249.0,,7944.0,,,,7888.0,7853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-09,,,,8069.0,8143.0,8207.0,,8008.0,7838.0,7809.0,7783.0,,7709.0,7761.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-10,,,,,8164.0,8186.0,,8018.0,7878.0,,,,7749.0,7726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-11,,,,,8060.0,8133.0,,,7769.0,,,,7638.0,7696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-12,,,,8029.0,8313.0,8206.0,,8055.0,8028.0,,,,7885.0,7828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-13,,,,,8377.0,8349.0,,,8049.0,,,,7926.0,7898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-16,,,,8360.0,8452.0,8484.0,8454.0,8204.0,8035.0,,7954.0,,7862.0,7879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-17,,,,8290.0,8483.0,8503.0,,8316.0,8075.0,8125.0,,,7888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-18,,,,,8408.0,8399.0,,,7980.0,7868.0,,,7775.0,,7652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-19,,,,,8493.0,8548.0,,,7946.0,7998.0,,,7750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-20,,,,8446.0,8505.0,8498.0,8449.0,,7960.0,,7868.0,,7721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-23,,,,8422.0,8708.0,8683.0,8631.0,,8190.0,7942.0,7990.0,8072.0,7899.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
