,RB1501.SHF,RB1502.SHF,RB1503.SHF,RB1504.SHF,RB1505.SHF,RB1506.SHF,RB1507.SHF,RB1508.SHF,RB1509.SHF,RB1510.SHF,RB1511.SHF,RB1512.SHF,RB1601.SHF,RB1602.SHF,RB1603.SHF,RB1604.SHF,RB1605.SHF,RB1606.SHF,RB1607.SHF,RB1608.SHF,RB1609.SHF,RB1610.SHF,RB1611.SHF,RB1612.SHF,RB1701.SHF,RB1702.SHF,RB1703.SHF,RB1704.SHF,RB1705.SHF,RB1706.SHF,RB1707.SHF,RB1708.SHF,RB1709.SHF,RB1710.SHF,RB1711.SHF,RB1712.SHF,RB1801.SHF,RB1802.SHF,RB1803.SHF,RB1804.SHF,RB1805.SHF,RB1806.SHF,RB1807.SHF,RB1808.SHF,RB1809.SHF,RB1810.SHF,RB1811.SHF,RB1812.SHF,RB1901.SHF,RB1902.SHF,RB1903.SHF,RB1904.SHF
2015-01-05,2640.0,2554.0,2564.0,2632.0,2570.0,2562.0,2591.0,2597.0,2608.0,2598.0,2588.0,2613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,2620.0,2565.0,2619.0,2629.0,2647.0,2654.0,2657.0,2653.0,2658.0,2658.0,2648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,2600.0,2556.0,2599.0,2600.0,2615.0,2594.0,2603.0,2612.0,2679.0,2640.0,2614.0,2604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,2590.0,2557.0,2573.0,2601.0,2603.0,2594.0,2595.0,2603.0,2633.0,2626.0,2625.0,2608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,2590.0,2557.0,2561.0,2584.0,2588.0,2579.0,2589.0,2602.0,2619.0,2610.0,2601.0,2608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,2560.0,2535.0,2578.0,2570.0,2585.0,2578.0,2580.0,2608.0,2617.0,2603.0,2593.0,2614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,2499.0,2450.0,2486.0,2507.0,2514.0,2514.0,2523.0,2527.0,2554.0,2529.0,2522.0,2547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,2498.0,2455.0,2481.0,2510.0,2520.0,2513.0,2526.0,2547.0,2551.0,2532.0,2526.0,2550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,2370.0,2416.0,2455.0,2513.0,2524.0,2514.0,2530.0,2530.0,2554.0,2534.0,2529.0,2529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,2432.0,2470.0,2511.0,2532.0,2523.0,2522.0,2554.0,2563.0,2541.0,2527.0,2544.0,2568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,2358.0,2411.0,2501.0,2526.0,2524.0,2524.0,2556.0,2557.0,2538.0,2529.0,,2558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,2364.0,2414.0,2495.0,2528.0,2523.0,2524.0,2550.0,2550.0,2534.0,2519.0,2550.0,2554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,2333.0,2363.0,2489.0,2513.0,2509.0,2522.0,2540.0,2545.0,2524.0,2515.0,2542.0,2540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,2313.0,2362.0,2467.0,2491.0,2493.0,2504.0,2518.0,2529.0,2510.0,2504.0,2529.0,2530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,2306.0,2350.0,2473.0,2496.0,2500.0,2510.0,2517.0,2530.0,2517.0,2515.0,,2540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,2300.0,2341.0,2455.0,2486.0,2491.0,2500.0,2490.0,2521.0,2510.0,2510.0,2507.0,2534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,2230.0,2299.0,2426.0,2467.0,2474.0,2489.0,2496.0,2515.0,2510.0,2500.0,2523.0,2532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,2217.0,2294.0,2432.0,2475.0,2476.0,2494.0,2496.0,2515.0,2509.0,2513.0,2527.0,2534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,2228.0,2298.0,2436.0,2513.0,2504.0,2530.0,,2555.0,2550.0,2544.0,2554.0,2564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,2220.0,2292.0,2430.0,2514.0,2503.0,2525.0,2522.0,2550.0,2544.0,2540.0,2544.0,2557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,2190.0,2288.0,2437.0,2526.0,2502.0,2532.0,2602.0,2548.0,2545.0,2533.0,2625.0,2550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,2200.0,2265.0,2439.0,2504.0,2498.0,2519.0,,2559.0,2554.0,2533.0,2567.0,2567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,2214.0,2256.0,2439.0,2512.0,2509.0,2508.0,2519.0,2581.0,2577.0,2570.0,2575.0,2590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,2181.0,2246.0,2429.0,2492.0,2511.0,2515.0,,2571.0,2565.0,2555.0,2582.0,2576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,2180.0,2239.0,2416.0,2497.0,2498.0,2521.0,,2572.0,2562.0,2552.0,2573.0,2573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,,2250.0,2238.0,2412.0,2509.0,2510.0,2517.0,2559.0,2587.0,2581.0,2559.0,2545.0,2594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,,2200.0,2254.0,2394.0,2495.0,2497.0,2518.0,,2569.0,2562.0,2560.0,,2575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,,,2243.0,2404.0,2495.0,2494.0,2515.0,,2564.0,2561.0,2562.0,,2574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,,,2239.0,2414.0,2495.0,2493.0,2515.0,,2565.0,2560.0,2549.0,,2575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,,,2248.0,2438.0,2520.0,2518.0,2549.0,,2577.0,2568.0,2585.0,2566.0,2580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-16,,,2255.0,2486.0,2549.0,2545.0,2569.0,2598.0,2607.0,2603.0,2615.0,2596.0,2613.0,2646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,,,2255.0,2484.0,2530.0,2528.0,2544.0,2579.0,2594.0,2589.0,2580.0,,2593.0,2595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,,,2243.0,2428.0,2514.0,2502.0,,2535.0,2579.0,2574.0,2564.0,2587.0,2575.0,2580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26,,,2225.0,2429.0,2509.0,2508.0,2529.0,2556.0,2587.0,2578.0,2567.0,2571.0,2579.0,2568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,,,2227.0,2439.0,2510.0,2510.0,2528.0,2569.0,2596.0,2591.0,2575.0,2571.0,2594.0,2577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,,,2180.0,2369.0,2483.0,2488.0,2538.0,2559.0,2588.0,2584.0,2579.0,2584.0,2595.0,2594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-03,,,2155.0,2368.0,2482.0,2488.0,2533.0,2578.0,2598.0,2597.0,2599.0,2597.0,2606.0,2600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-04,,,2178.0,2368.0,2470.0,2477.0,2516.0,,2581.0,2579.0,2575.0,,2585.0,2581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-05,,,2148.0,2400.0,2467.0,2468.0,2493.0,2535.0,2564.0,2568.0,2549.0,2547.0,2573.0,2561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-06,,,2126.0,2399.0,2448.0,2452.0,2488.0,2519.0,2538.0,2535.0,2533.0,2535.0,2546.0,2535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-09,,,2152.0,2377.0,2431.0,2434.0,2454.0,2477.0,2508.0,2506.0,2494.0,2515.0,2521.0,2510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-10,,,2124.0,2334.0,2404.0,2411.0,2449.0,2476.0,2500.0,2493.0,2497.0,2484.0,2503.0,2495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-11,,,2120.0,2283.0,2375.0,2382.0,2423.0,2477.0,2483.0,2478.0,2500.0,2465.0,2496.0,2485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-12,,,2160.0,2270.0,2399.0,2404.0,2442.0,2481.0,2516.0,2507.0,2500.0,2503.0,2520.0,2510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-13,,,2160.0,2274.0,2403.0,2409.0,2436.0,,2523.0,2516.0,2510.0,2511.0,2520.0,2512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-16,,,2200.0,2285.0,2418.0,2427.0,2450.0,2517.0,2536.0,2524.0,2520.0,2520.0,2529.0,2517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
