,RS1507.CZC,RS1508.CZC,RS1509.CZC,RS1511.CZC,RS607.CZC,RS608.CZC,RS609.CZC,RS611.CZC,RS707.CZC,RS708.CZC,RS709.CZC,RS711.CZC,RS807.CZC,RS808.CZC,RS809.CZC,RS811.CZC
2015-01-05,4486.0,,4435.0,,,,,,,,,,,,,
2015-01-06,,,4600.0,,,,,,,,,,,,,
2015-01-07,,,4460.0,,,,,,,,,,,,,
2015-01-08,,,,,,,,,,,,,,,,
2015-01-09,4461.0,,,,,,,,,,,,,,,
2015-01-12,,,4499.0,,,,,,,,,,,,,
2015-01-13,4560.0,,,,,,,,,,,,,,,
2015-01-14,,,,,,,,,,,,,,,,
2015-01-15,4600.0,,4560.0,,,,,,,,,,,,,
2015-01-16,4501.0,,,,,,,,,,,,,,,
2015-01-19,4594.0,,,,,,,,,,,,,,,
2015-01-20,4501.0,,,,,,,,,,,,,,,
2015-01-21,4564.0,,,,,,,,,,,,,,,
2015-01-22,4525.0,,,,,,,,,,,,,,,
2015-01-23,,,,,,,,,,,,,,,,
2015-01-26,,,,,,,,,,,,,,,,
2015-01-27,4516.0,,,,,,,,,,,,,,,
2015-01-28,,,,,,,,,,,,,,,,
2015-01-29,,,4570.0,,,,,,,,,,,,,
2015-01-30,,,,,,,,,,,,,,,,
2015-02-02,,,,,,,,,,,,,,,,
2015-02-03,4380.0,,4415.0,,,,,,,,,,,,,
2015-02-04,4500.0,,4380.0,,,,,,,,,,,,,
2015-02-05,,,4556.0,,,,,,,,,,,,,
2015-02-06,4600.0,,4430.0,,,,,,,,,,,,,
2015-02-09,4590.0,,,,,,,,,,,,,,,
2015-02-10,4511.0,,,,,,,,,,,,,,,
2015-02-11,,,4599.0,,,,,,,,,,,,,
2015-02-12,4600.0,,,,,,,,,,,,,,,
2015-02-13,4600.0,,4580.0,,,,,,,,,,,,,
2015-02-16,4784.0,,,,,,,,,,,,,,,
2015-02-17,4742.0,,,,,,,,,,,,,,,
2015-02-25,,,,,,,,,,,,,,,,
2015-02-26,,,4870.0,,,,,,,,,,,,,
2015-02-27,4701.0,,4688.0,,,,,,,,,,,,,
2015-03-02,,,4850.0,5050.0,,,,,,,,,,,,
2015-03-03,,,,,,,,,,,,,,,,
2015-03-04,,,,,,,,,,,,,,,,
2015-03-05,4709.0,,4927.0,,,,,,,,,,,,,
2015-03-06,,,4851.0,,,,,,,,,,,,,
2015-03-09,,,4666.0,,,,,,,,,,,,,
2015-03-10,,,,,,,,,,,,,,,,
2015-03-11,,,,,,,,,,,,,,,,
2015-03-12,4920.0,,,,,,,,,,,,,,,
2015-03-13,5068.0,,,,,,,,,,,,,,,
2015-03-16,4902.0,,,,,,,,,,,,,,,
2015-03-17,4809.0,,,,,,,,,,,,,,,
2015-03-18,,,,,,,,,,,,,,,,
2015-03-19,,,,,,,,,,,,,,,,
2015-03-20,4887.0,,,,,,,,,,,,,,,
2015-03-23,,,,,,,,,,,,,,,,
2015-03-24,4962.0,,4877.0,,,,,,,,,,,,,
2015-03-25,4910.0,,,,,,,,,,,,,,,
2015-03-26,,,,,,,,,,,,,,,,
2015-03-27,4960.0,,,,,,,,,,,,,,,
2015-03-30,,,4768.0,,,,,,,,,,,,,
2015-03-31,,,4766.0,,,,,,,,,,,,,
2015-04-01,,,4830.0,,,,,,,,,,,,,
2015-04-02,4703.0,,4780.0,,,,,,,,,,,,,
2015-04-03,,,,,,,,,,,,,,,,
2015-04-07,4842.0,,4789.0,,,,,,,,,,,,,
2015-04-08,4829.0,,4685.0,,,,,,,,,,,,,
2015-04-09,,,4794.0,,,,,,,,,,,,,
2015-04-10,,,,,,,,,,,,,,,,
2015-04-13,,,4690.0,4940.0,,,,,,,,,,,,
2015-04-14,,,4864.0,,,,,,,,,,,,,
2015-04-15,4750.0,,,,,,,,,,,,,,,
2015-04-16,4731.0,,4828.0,,,,,,,,,,,,,
2015-04-17,,,,,,,,,,,,,,,,
2015-04-20,,,,,,,,,,,,,,,,
2015-04-21,,,4789.0,,,,,,,,,,,,,
2015-04-22,,,,,,,,,,,,,,,,
2015-04-23,,,4754.0,,,,,,,,,,,,,
2015-04-24,,,4787.0,,,,,,,,,,,,,
2015-04-27,,,,,,,,,,,,,,,,
2015-04-28,,,,,,,,,,,,,,,,
2015-04-29,,,,,,,,,,,,,,,,
2015-04-30,,,,,,,,,,,,,,,,
2015-05-04,,,4744.0,,,,,,,,,,,,,
2015-05-05,,,4850.0,,,,,,,,,,,,,
2015-05-06,4920.0,,4921.0,,,,,,,,,,,,,
2015-05-07,,,4909.0,,,,,,,,,,,,,
2015-05-08,,,4900.0,,,,,,,,,,,,,
2015-05-11,,,,,,,,,,,,,,,,
2015-05-12,,,,,,,,,,,,,,,,
2015-05-13,4881.0,,4879.0,,,,,,,,,,,,,
2015-05-14,4730.0,,4814.0,,,,,,,,,,,,,
2015-05-15,4633.0,4883.0,4734.0,,,,,,,,,,,,,
2015-05-18,4655.0,,4738.0,,,,,,,,,,,,,
2015-05-19,4510.0,,4620.0,,,,,,,,,,,,,
2015-05-20,,,4589.0,,,,,,,,,,,,,
2015-05-21,4569.0,,4530.0,,,,,,,,,,,,,
2015-05-22,,,4570.0,,,,,,,,,,,,,
2015-05-25,4520.0,,4595.0,,,,,,,,,,,,,
2015-05-26,,,4574.0,,,,,,,,,,,,,
2015-05-27,,,4568.0,,,,,,,,,,,,,
2015-05-28,,,4586.0,,,,,,,,,,,,,
2015-05-29,4579.0,,4531.0,,,,,,,,,,,,,
2015-06-01,,,4519.0,,,,,,,,,,,,,
2015-06-02,4449.0,,4507.0,,,,,,,,,,,,,
2015-06-03,,,4502.0,,,,,,,,,,,,,
2015-06-04,,,4474.0,,,,,,,,,,,,,
2015-06-05,,,4494.0,,,,,,,,,,,,,
2015-06-08,4450.0,,4500.0,,,,,,,,,,,,,
2015-06-09,4628.0,,4321.0,,,,,,,,,,,,,
2015-06-10,4344.0,4630.0,4324.0,,,,,,,,,,,,,
2015-06-11,4199.0,,4259.0,,,,,,,,,,,,,
2015-06-12,4027.0,4446.0,4169.0,,,,,,,,,,,,,
2015-06-15,,4134.0,4012.0,,,,,,,,,,,,,
2015-06-16,4020.0,,3920.0,,,,,,,,,,,,,
2015-06-17,3980.0,,3896.0,,,,,,,,,,,,,
2015-06-18,4140.0,,3891.0,,,,,,,,,,,,,
2015-06-19,3960.0,,3860.0,,,,,,,,,,,,,
2015-06-23,3979.0,,3838.0,,,,,,,,,,,,,
2015-06-24,,,3819.0,,,,,,,,,,,,,
2015-06-25,,,3810.0,,,,,,,,,,,,,
2015-06-26,4112.0,,3822.0,,,,,,,,,,,,,
2015-06-29,4100.0,,3793.0,,,,,,,,,,,,,
2015-06-30,3835.0,,3674.0,,,,,,,,,,,,,
2015-07-01,,,3730.0,,,,,,,,,,,,,
2015-07-02,,,3700.0,,,,,,,,,,,,,
2015-07-03,,3795.0,3747.0,,,,,,,,,,,,,
2015-07-06,,,3749.0,,,,,,,,,,,,,
2015-07-07,,,3725.0,,,,,,,,,,,,,
2015-07-08,,,3594.0,,,,,,,,,,,,,
2015-07-09,,,3700.0,,,,,,,,,,,,,
2015-07-10,,,3755.0,,,,,,,,,,,,,
2015-07-13,,,3757.0,,,,,,,,,,,,,
2015-07-14,,,3780.0,,,,,,,,,,,,,
2015-07-15,,,3735.0,,4219.0,,,,,,,,,,,
2015-07-16,,,3655.0,,,,,,,,,,,,,
2015-07-17,,,3635.0,,4355.0,,,,,,,,,,,
2015-07-20,,,3659.0,,4344.0,,,,,,,,,,,
2015-07-21,,,3670.0,,4499.0,,,,,,,,,,,
2015-07-22,,,3660.0,,4499.0,,,,,,,,,,,
2015-07-23,,3661.0,3647.0,,4493.0,,,,,,,,,,,
2015-07-24,,,3636.0,,4440.0,,,,,,,,,,,
2015-07-27,,,3636.0,,4360.0,,,,,,,,,,,
2015-07-28,,,3646.0,3638.0,4225.0,,,,,,,,,,,
2015-07-29,,3515.0,3684.0,3647.0,4336.0,,,,,,,,,,,
2015-07-30,,,3686.0,,4230.0,,,,,,,,,,,
2015-07-31,,3514.0,3690.0,,4201.0,,,,,,,,,,,
2015-08-03,,,3760.0,,4203.0,,,,,,,,,,,
2015-08-04,,,3880.0,,,,,,,,,,,,,
2015-08-05,,,3912.0,,4218.0,,,,,,,,,,,
2015-08-06,,,3887.0,,4258.0,,,,,,,,,,,
2015-08-07,,,3903.0,,4215.0,,,,,,,,,,,
2015-08-10,,,3880.0,,,,,,,,,,,,,
2015-08-11,,,3880.0,,4348.0,,,,,,,,,,,
2015-08-12,,,3940.0,,,,,,,,,,,,,
2015-08-13,,,3850.0,,,,,,,,,,,,,
2015-08-14,,,3825.0,,,,,,,,,,,,,
2015-08-17,,,3822.0,,,,,,,,,,,,,
2015-08-18,,,3820.0,,,,,,,,,,,,,
2015-08-19,,,3802.0,,,,,,,,,,,,,
2015-08-20,,,3789.0,,,,,,,,,,,,,
2015-08-21,,,3730.0,,,,,,,,,,,,,
2015-08-24,,,3843.0,,,,,,,,,,,,,
2015-08-25,,,3784.0,,4119.0,,,,,,,,,,,
2015-08-26,,,3825.0,,,,,,,,,,,,,
2015-08-27,,,3868.0,,4266.0,,,,,,,,,,,
2015-08-28,,,3869.0,,4338.0,,,,,,,,,,,
2015-08-31,,,3925.0,,4135.0,,,,,,,,,,,
2015-09-01,,,3700.0,,,,,,,,,,,,,
2015-09-02,,,,,,,,,,,,,,,,
2015-09-07,,,,,,,,,,,,,,,,
2015-09-08,,,,,4277.0,,,,,,,,,,,
2015-09-09,,,,,4338.0,,,,,,,,,,,
2015-09-10,,,,,4279.0,,,,,,,,,,,
2015-09-11,,,,,4315.0,,,,,,,,,,,
2015-09-14,,,,,,,,,,,,,,,,
2015-09-15,,,,,4294.0,,,,,,,,,,,
2015-09-16,,,,,4257.0,,,,,,,,,,,
2015-09-17,,,,,4251.0,,4350.0,,,,,,,,,
2015-09-18,,,,,4211.0,,4270.0,,,,,,,,,
2015-09-21,,,,,4250.0,,,,,,,,,,,
2015-09-22,,,,,4220.0,,,,,,,,,,,
2015-09-23,,,,,,,,,,,,,,,,
2015-09-24,,,,,4189.0,,,,,,,,,,,
2015-09-25,,,,,4200.0,,4170.0,,,,,,,,,
2015-09-28,,,,,4199.0,,,,,,,,,,,
2015-09-29,,,,,4195.0,,,,,,,,,,,
2015-09-30,,,,,4196.0,,,,,,,,,,,
2015-10-08,,,,,4187.0,,4220.0,,,,,,,,,
2015-10-09,,,,,4160.0,,4170.0,,,,,,,,,
2015-10-12,,,,,4175.0,,,,,,,,,,,
2015-10-13,,,,,4170.0,,,,,,,,,,,
2015-10-14,,,,,,,,,,,,,,,,
2015-10-15,,,,,,,,,,,,,,,,
2015-10-16,,,,,,,,,,,,,,,,
2015-10-19,,,,,,,,,,,,,,,,
2015-10-20,,,,,,,4194.0,,,,,,,,,
2015-10-21,,,,,,,4062.0,,,,,,,,,
2015-10-22,,,,,,,4177.0,,,,,,,,,
2015-10-23,,,,,4229.0,,,,,,,,,,,
2015-10-26,,,,,4190.0,,4178.0,,,,,,,,,
2015-10-27,,,,,,,4108.0,,,,,,,,,
2015-10-28,,,,,4191.0,,,,,,,,,,,
2015-10-29,,,,,4171.0,,,,,,,,,,,
2015-10-30,,,,,4189.0,,4213.0,,,,,,,,,
2015-11-02,,,,,4222.0,,4101.0,,,,,,,,,
2015-11-03,,,,,4150.0,,4160.0,,,,,,,,,
2015-11-04,,,,,4029.0,,,,,,,,,,,
2015-11-05,,,,,4026.0,,,,,,,,,,,
2015-11-06,,,,,4103.0,,,,,,,,,,,
2015-11-09,,,,,4082.0,,,,,,,,,,,
2015-11-10,,,,,4041.0,,,,,,,,,,,
2015-11-11,,,,,4050.0,,,,,,,,,,,
2015-11-12,,,,,4011.0,,4060.0,,,,,,,,,
2015-11-13,,,,,4060.0,,,,,,,,,,,
2015-11-16,,,,,4033.0,,,,,,,,,,,
2015-11-17,,,,,,,,,,,,,,,,
2015-11-18,,,,,4128.0,,4177.0,,,,,,,,,
2015-11-19,,,,,4090.0,,4009.0,,,,,,,,,
