,RU1501.SHF,RU1503.SHF,RU1504.SHF,RU1505.SHF,RU1506.SHF,RU1507.SHF,RU1508.SHF,RU1509.SHF,RU1510.SHF,RU1511.SHF,RU1601.SHF,RU1603.SHF,RU1604.SHF,RU1605.SHF,RU1606.SHF,RU1607.SHF,RU1608.SHF,RU1609.SHF,RU1610.SHF,RU1611.SHF,RU1701.SHF,RU1703.SHF,RU1704.SHF,RU1705.SHF,RU1706.SHF,RU1707.SHF,RU1708.SHF,RU1709.SHF,RU1710.SHF,RU1711.SHF,RU1801.SHF,RU1803.SHF,RU1804.SHF,RU1805.SHF,RU1806.SHF,RU1807.SHF,RU1808.SHF,RU1809.SHF,RU1810.SHF,RU1811.SHF,RU1901.SHF,RU1903.SHF,RU1904.SHF
2015-01-05,13850.0,13665.0,13505.0,13535.0,13175.0,13025.0,13195.0,13170.0,13110.0,13105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,14430.0,13960.0,13815.0,13770.0,13320.0,13395.0,13375.0,13350.0,13050.0,13045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,14555.0,13945.0,13635.0,13695.0,13165.0,13210.0,12980.0,13275.0,12940.0,13060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,14220.0,13700.0,13520.0,13400.0,12890.0,12920.0,12955.0,12970.0,12835.0,12915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,14140.0,13865.0,13460.0,13475.0,13065.0,12945.0,,13170.0,12945.0,13090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,14540.0,13755.0,,13485.0,13200.0,13050.0,13065.0,13155.0,12995.0,13120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,14605.0,13595.0,,13225.0,12780.0,12800.0,12845.0,12900.0,12890.0,12825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,14200.0,13450.0,12995.0,12965.0,12500.0,12495.0,12515.0,12600.0,12500.0,12565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,14200.0,13500.0,12870.0,12730.0,12340.0,12230.0,,12470.0,12350.0,12400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,13865.0,12865.0,12915.0,12585.0,12545.0,,12640.0,12425.0,12600.0,13390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,13570.0,13070.0,12820.0,12470.0,12460.0,,12550.0,12490.0,12475.0,13270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,13525.0,13210.0,12870.0,12445.0,12500.0,,12565.0,12490.0,12500.0,13280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,13685.0,13325.0,13085.0,12610.0,12570.0,12650.0,12730.0,12625.0,12630.0,13460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,13810.0,13560.0,13425.0,12880.0,12715.0,12870.0,12975.0,12800.0,12875.0,13720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
