,SC1809.INE,SC1810.INE,SC1811.INE,SC1812.INE,SC1901.INE,SC1902.INE,SC1903.INE,SC1904.INE,SC1906.INE,SC1909.INE,SC1912.INE,SC2003.INE,SC2006.INE,SC2009.INE,SC2012.INE,SC2103.INE
2018-03-26,447.1,443.5,441.8,434.3,431.1,,416.5,,419.9,416.7,396.0,,412.5,,,
2018-03-27,431.7,428.1,424.3,422.0,420.7,416.1,412.5,,406.4,402.8,,389.8,,376.8,,390.0
2018-03-28,429.2,424.3,419.9,420.3,417.0,415.6,411.5,,403.7,391.3,385.9,382.2,372.0,378.3,,371.4
2018-03-29,412.0,407.5,407.9,407.4,400.0,400.4,,,391.6,383.2,376.4,386.4,,,,365.9
2018-03-30,421.7,418.1,414.6,415.0,408.0,411.2,409.2,,402.0,395.2,389.9,386.0,376.8,,373.4,372.0
2018-04-02,421.3,417.4,416.0,415.7,,410.9,,,396.6,,,,,,,368.3
2018-04-03,414.3,411.0,400.4,405.9,407.6,,395.0,,383.9,381.5,,382.9,,,,359.0
2018-04-04,406.9,401.6,,399.8,,392.4,389.7,,383.6,,,,,,,361.6
2018-04-09,403.5,399.8,398.7,399.8,,,387.3,,,,,,,,,
2018-04-10,415.2,411.1,411.0,410.9,,406.1,398.1,,391.1,388.8,,,,,,368.9
2018-04-11,421.8,418.9,417.5,415.6,,,406.4,,398.6,,,,,,,369.7
2018-04-12,429.9,427.2,425.7,424.4,419.8,420.9,415.8,,409.2,405.0,,,,378.7,,381.8
2018-04-13,428.7,424.6,423.9,423.0,419.9,,416.1,,,,,,,,,
2018-04-16,431.0,425.1,425.7,424.5,420.6,,,,,,,,,,,
2018-04-17,427.5,424.8,421.5,420.9,417.0,,,,,401.7,,,,,,383.9
2018-04-18,431.4,428.1,426.7,424.6,426.7,,,,,,,,389.5,,,
2018-04-19,444.0,438.0,431.7,435.0,430.0,432.9,426.2,,421.9,414.6,,402.4,396.2,,,388.1
2018-04-20,443.0,440.0,437.7,436.2,,,,,,,,,,399.9,,
2018-04-23,441.2,437.2,432.0,434.0,,,426.3,,415.5,,,,,,,395.8
2018-04-24,449.2,446.4,444.0,442.0,441.9,,435.4,,428.9,,,,,,,400.0
2018-04-25,448.9,444.4,441.5,442.0,,,434.5,,418.8,418.5,,,,,,
2018-04-26,445.0,442.5,440.1,437.1,437.4,,427.6,,426.3,414.8,,,399.5,,,
