,SR1501.CZC,SR1503.CZC,SR1505.CZC,SR1507.CZC,SR1509.CZC,SR1511.CZC,SR1601.CZC,SR1603.CZC,SR1605.CZC,SR607.CZC,SR609.CZC,SR611.CZC,SR701.CZC,SR703.CZC,SR705.CZC,SR707.CZC,SR709.CZC,SR711.CZC,SR801.CZC,SR803.CZC,SR805.CZC,SR807.CZC,SR809.CZC,SR811.CZC,SR901.CZC,SR903.CZC,SR905.CZC,SR907.CZC,SR909.CZC
2015-01-05,4870.0,4499.0,4580.0,4622.0,4687.0,,5050.0,,5135.0,,,,,,,,,,,,,,,,,,,,
2015-01-06,4870.0,4539.0,4616.0,4669.0,4719.0,4792.0,4906.0,,4987.0,,,,,,,,,,,,,,,,,,,,
2015-01-07,4830.0,4620.0,4694.0,4756.0,4810.0,4874.0,4996.0,,5072.0,,,,,,,,,,,,,,,,,,,,
2015-01-08,4851.0,4615.0,4686.0,,4818.0,4889.0,4997.0,,5077.0,,,,,,,,,,,,,,,,,,,,
2015-01-09,4866.0,4635.0,4709.0,,4853.0,,5048.0,,5133.0,,,,,,,,,,,,,,,,,,,,
2015-01-12,4870.0,4691.0,4772.0,4795.0,4898.0,4976.0,5084.0,,5166.0,,,,,,,,,,,,,,,,,,,,
2015-01-13,4880.0,4679.0,4756.0,4799.0,4885.0,4927.0,5068.0,,5152.0,,,,,,,,,,,,,,,,,,,,
2015-01-14,4800.0,4687.0,4762.0,4822.0,4888.0,4947.0,5076.0,,5158.0,,,,,,,,,,,,,,,,,,,,
2015-01-15,4890.0,4674.0,4745.0,4790.0,4862.0,4906.0,5100.0,,5176.0,,,,,,,,,,,,,,,,,,,,
2015-01-16,5017.0,4680.0,4758.0,,4879.0,4939.0,5118.0,,5196.0,,,,,,,,,,,,,,,,,,,,
2015-01-19,,4736.0,4833.0,4902.0,4967.0,4993.0,5205.0,5114.0,5277.0,,,,,,,,,,,,,,,,,,,,
2015-01-20,,4740.0,4824.0,,4956.0,5013.0,5202.0,5255.0,5274.0,5358.0,,,,,,,,,,,,,,,,,,,
2015-01-21,,4918.0,4999.0,5065.0,5137.0,5206.0,5388.0,,5467.0,5412.0,,,,,,,,,,,,,,,,,,,
2015-01-22,,4970.0,5005.0,5079.0,5133.0,5178.0,5356.0,5402.0,5428.0,5440.0,,,,,,,,,,,,,,,,,,,
2015-01-23,,4977.0,5042.0,5103.0,5150.0,5212.0,5367.0,5425.0,5432.0,5449.0,,,,,,,,,,,,,,,,,,,
2015-01-26,,4942.0,5049.0,5104.0,5149.0,5222.0,5347.0,,5421.0,5430.0,,,,,,,,,,,,,,,,,,,
2015-01-27,,5050.0,5135.0,5177.0,5248.0,,5429.0,5440.0,5504.0,5510.0,,,,,,,,,,,,,,,,,,,
