,Y1501.DCE,Y1503.DCE,Y1505.DCE,Y1507.DCE,Y1508.DCE,Y1509.DCE,Y1511.DCE,Y1512.DCE,Y1601.DCE,Y1603.DCE,Y1605.DCE,Y1607.DCE,Y1608.DCE,Y1609.DCE,Y1611.DCE,Y1612.DCE,Y1701.DCE,Y1703.DCE,Y1705.DCE,Y1707.DCE,Y1708.DCE,Y1709.DCE,Y1711.DCE,Y1712.DCE,Y1801.DCE,Y1803.DCE,Y1805.DCE,Y1807.DCE,Y1808.DCE,Y1809.DCE,Y1811.DCE,Y1812.DCE,Y1901.DCE,Y1903.DCE
2015-01-05,5410.0,,5690.0,5772.0,,5772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,5638.0,5576.0,5716.0,5752.0,,5792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,5668.0,5622.0,5736.0,5802.0,,5810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,5350.0,5690.0,5772.0,5810.0,,5856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,5500.0,5646.0,5778.0,,,5864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,5500.0,5774.0,5766.0,5784.0,5868.0,5848.0,,5938.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,5430.0,,5738.0,5740.0,,5822.0,,5816.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,,5676.0,5578.0,,5762.0,5786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,5524.0,5650.0,5628.0,,5738.0,,5836.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,5402.0,5682.0,,,5762.0,5792.0,5792.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,5490.0,5692.0,,5670.0,5774.0,5800.0,5830.0,5850.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,,5614.0,5580.0,5666.0,5696.0,,5714.0,5780.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,5390.0,5654.0,,,5730.0,,,5802.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,5414.0,5640.0,,,5712.0,,,5798.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,5462.0,5612.0,5608.0,5662.0,5674.0,,,5742.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,,5562.0,,5594.0,5600.0,,,5700.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,5400.0,5540.0,5570.0,,5560.0,,,5666.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,5488.0,5520.0,,,5536.0,,,5642.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,5348.0,5480.0,,,5500.0,,,5608.0,,,,,,,,,,,,,,,,,,,,,,,,,
