,A1501.DCE,A1503.DCE,A1505.DCE,A1507.DCE,A1509.DCE,A1511.DCE,A1601.DCE,A1603.DCE,A1605.DCE,A1607.DCE,A1609.DCE,A1611.DCE,A1701.DCE,A1703.DCE,A1705.DCE,A1707.DCE,A1709.DCE,A1711.DCE,A1801.DCE,A1803.DCE,A1805.DCE,A1807.DCE,A1809.DCE,A1811.DCE,A1901.DCE,A1903.DCE,A1905.DCE,A1907.DCE,A1909.DCE
2015-01-05,4660.0,4312.0,4446.0,4450.0,4385.0,4390.0,4390.0,,4440.0,,,,,,,,,,,,,,,,,,,,
2015-01-06,4685.0,4423.0,4486.0,4462.0,4427.0,,4436.0,,4451.0,,,,,,,,,,,,,,,,,,,,
2015-01-07,4680.0,4498.0,4480.0,4486.0,4424.0,4399.0,4432.0,4395.0,,,,,,,,,,,,,,,,,,,,,
2015-01-08,4690.0,4514.0,4490.0,4427.0,4428.0,,4432.0,4414.0,,,,,,,,,,,,,,,,,,,,,
2015-01-09,4700.0,4489.0,4486.0,4435.0,4426.0,,4431.0,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,4710.0,4468.0,4497.0,4457.0,4433.0,4376.0,4432.0,,4460.0,,,,,,,,,,,,,,,,,,,,
2015-01-13,4700.0,4438.0,4465.0,4408.0,4393.0,,4397.0,,4420.0,,,,,,,,,,,,,,,,,,,,
2015-01-14,4700.0,4452.0,4452.0,,4381.0,,4389.0,,4416.0,,,,,,,,,,,,,,,,,,,,
2015-01-15,4601.0,,4456.0,,4384.0,,4384.0,,4408.0,,,,,,,,,,,,,,,,,,,,
2015-01-16,4599.0,4426.0,4470.0,,4396.0,4377.0,4393.0,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,4415.0,4475.0,4448.0,4401.0,4364.0,4376.0,,4398.0,,,,,,,,,,,,,,,,,,,,
2015-01-20,,4421.0,4457.0,4429.0,4390.0,4359.0,4351.0,,4375.0,4388.0,,,,,,,,,,,,,,,,,,,
2015-01-21,,4415.0,4408.0,4421.0,4350.0,4303.0,4313.0,,4359.0,,,,,,,,,,,,,,,,,,,,
2015-01-22,,4403.0,4434.0,,4361.0,,4318.0,,4338.0,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,4416.0,,4345.0,,4304.0,,4317.0,4390.0,,,,,,,,,,,,,,,,,,,
2015-01-26,,4340.0,4391.0,,4317.0,4214.0,4290.0,,4305.0,,,,,,,,,,,,,,,,,,,,
2015-01-27,,4350.0,4393.0,,4323.0,,4295.0,,4326.0,,,,,,,,,,,,,,,,,,,,
2015-01-28,,4370.0,4412.0,,4343.0,4280.0,4311.0,,4339.0,,,,,,,,,,,,,,,,,,,,
2015-01-29,,4307.0,4350.0,4339.0,4308.0,4200.0,4278.0,,4316.0,,,,,,,,,,,,,,,,,,,,
2015-01-30,,4330.0,4340.0,,4318.0,4264.0,4316.0,,4375.0,,,,,,,,,,,,,,,,,,,,
2015-02-02,,4311.0,4349.0,,4321.0,,4311.0,,4363.0,,,,,,,,,,,,,,,,,,,,
2015-02-03,,4320.0,4403.0,,4358.0,,4345.0,,4383.0,,,,,,,,,,,,,,,,,,,,
2015-02-04,,4280.0,4409.0,4393.0,4321.0,4317.0,4358.0,,4396.0,,,,,,,,,,,,,,,,,,,,
