,BU1501.SHF,BU1502.SHF,BU1503.SHF,BU1504.SHF,BU1505.SHF,BU1506.SHF,BU1507.SHF,BU1508.SHF,BU1509.SHF,BU1510.SHF,BU1511.SHF,BU1512.SHF,BU1601.SHF,BU1602.SHF,BU1603.SHF,BU1604.SHF,BU1605.SHF,BU1606.SHF,BU1607.SHF,BU1608.SHF,BU1609.SHF,BU1610.SHF,BU1611.SHF,BU1612.SHF,BU1701.SHF,BU1702.SHF,BU1703.SHF,BU1704.SHF,BU1705.SHF,BU1706.SHF,BU1707.SHF,BU1708.SHF,BU1709.SHF,BU1710.SHF,BU1711.SHF,BU1712.SHF,BU1801.SHF,BU1802.SHF,BU1803.SHF,BU1804.SHF,BU1805.SHF,BU1806.SHF,BU1807.SHF,BU1808.SHF,BU1809.SHF,BU1810.SHF,BU1812.SHF,BU1903.SHF,BU1906.SHF,BU1909.SHF,BU1912.SHF,BU2003.SHF
2015-01-05,3518.0,,,,,3480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,,,,,,3428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,,,3178.0,,3430.0,,,,,,,,,3468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,,,,3370.0,,,3550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,3478.0,,,,,3242.0,,,3540.0,,,,,,3432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,3692.0,,,3396.0,,3044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,,,,,2952.0,,,3200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,,3276.0,,,2822.0,,,3192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,,,,,2844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,,3112.0,,,2936.0,,,3168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,3100.0,,2822.0,2880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,,,,,2868.0,,,,,,,,,,,,,,,,,,2932.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,3120.0,,,2832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,,3040.0,,,2848.0,,,,,,,,,,,,,,,,,,3162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,2844.0,,,2856.0,,,,,,,,,,,,,,,,,,3102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,,2712.0,,,2742.0,,,3010.0,,,,,,,,,,,,3180.0,,,3030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,,2630.0,,2536.0,2750.0,,,2782.0,,,,,,3114.0,,,3024.0,,,3190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
