,CF1501.CZC,CF1503.CZC,CF1505.CZC,CF1507.CZC,CF1509.CZC,CF1511.CZC,CF1601.CZC,CF1603.CZC,CF1605.CZC,CF607.CZC,CF609.CZC,CF611.CZC,CF701.CZC,CF703.CZC,CF705.CZC,CF707.CZC,CF709.CZC,CF711.CZC,CF801.CZC,CF803.CZC,CF805.CZC,CF807.CZC,CF809.CZC,CF811.CZC,CF901.CZC,CF903.CZC
2015-01-05,12585.0,12830.0,12890.0,13040.0,13230.0,13465.0,,,,,,,,,,,,,,,,,,,,
2015-01-06,12910.0,12925.0,13015.0,13140.0,13355.0,13540.0,,,,,,,,,,,,,,,,,,,,
2015-01-07,12985.0,12980.0,13050.0,13150.0,13370.0,13575.0,,,,,,,,,,,,,,,,,,,,
2015-01-08,12980.0,12980.0,13035.0,13155.0,13370.0,13550.0,,,,,,,,,,,,,,,,,,,,
2015-01-09,13025.0,13030.0,13080.0,13180.0,13425.0,13620.0,,,,,,,,,,,,,,,,,,,,
2015-01-12,13030.0,13050.0,13055.0,,13405.0,13630.0,,,,,,,,,,,,,,,,,,,,
2015-01-13,12860.0,12920.0,12905.0,13045.0,13280.0,13545.0,,,,,,,,,,,,,,,,,,,,
2015-01-14,12815.0,12910.0,12860.0,12975.0,13235.0,13520.0,,,,,,,,,,,,,,,,,,,,
2015-01-15,12850.0,12950.0,12860.0,13000.0,13255.0,13555.0,,,,,,,,,,,,,,,,,,,,
2015-01-16,12900.0,12930.0,12970.0,13195.0,13350.0,13720.0,,,,,,,,,,,,,,,,,,,,
2015-01-19,,12905.0,13060.0,13190.0,13440.0,13710.0,13660.0,,,,,,,,,,,,,,,,,,,
2015-01-20,,12940.0,13075.0,13200.0,13455.0,13665.0,13700.0,,,,,,,,,,,,,,,,,,,
2015-01-21,,12860.0,12950.0,13090.0,13320.0,13600.0,13625.0,,,,,,,,,,,,,,,,,,,
2015-01-22,,12960.0,12990.0,13130.0,13380.0,13555.0,13585.0,,,,,,,,,,,,,,,,,,,
2015-01-23,,12870.0,12910.0,13055.0,13300.0,13490.0,13470.0,,,,,,,,,,,,,,,,,,,
2015-01-26,,12815.0,12910.0,13055.0,13330.0,13505.0,13610.0,,,,,,,,,,,,,,,,,,,
2015-01-27,,12840.0,12870.0,13125.0,13285.0,13555.0,13640.0,,,,,,,,,,,,,,,,,,,
2015-01-28,,12860.0,12995.0,13170.0,13410.0,13655.0,13670.0,,,,,,,,,,,,,,,,,,,
