,IF1501.CFE,IF1502.CFE,IF1503.CFE,IF1504.CFE,IF1505.CFE,IF1506.CFE,IF1507.CFE,IF1508.CFE,IF1509.CFE,IF1510.CFE,IF1511.CFE,IF1512.CFE,IF1601.CFE,IF1602.CFE,IF1603.CFE,IF1604.CFE,IF1605.CFE,IF1606.CFE,IF1607.CFE,IF1608.CFE,IF1609.CFE,IF1610.CFE,IF1611.CFE,IF1612.CFE,IF1701.CFE,IF1702.CFE,IF1703.CFE,IF1704.CFE,IF1705.CFE,IF1706.CFE,IF1707.CFE,IF1708.CFE,IF1709.CFE,IF1710.CFE,IF1711.CFE,IF1712.CFE,IF1801.CFE,IF1802.CFE,IF1803.CFE,IF1804.CFE,IF1805.CFE,IF1806.CFE,IF1809.CFE,IF1812.CFE
2015-01-05,3585.2,3636.0,3677.4,,,3708.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,3610.0,3668.6,3715.6,,,3755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,3615.4,3672.8,3713.6,,,3748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,3553.0,3610.0,3654.0,,,3690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,3511.0,3560.4,3600.0,,,3643.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,3463.6,3500.4,3533.4,,,3582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,3501.2,3550.8,3586.4,,,3635.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,3471.6,3522.2,3555.0,,,3605.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,3483.0,3534.2,3574.0,,,3622.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,3600.0,3661.8,3708.0,,,3765.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,3316.2,3359.6,,,3409.6,,,3310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,3300.0,3332.2,,,3376.0,,,3385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,3405.0,3442.0,,,3502.2,,,3535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,3524.2,3558.2,,,3621.8,,,3662.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,3551.6,3590.2,,,3646.2,,,3684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,3571.4,3607.0,,,3662.0,,,3697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,3508.2,3538.8,,,3591.0,,,3615.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,3511.0,3543.2,,,3594.6,,,3612.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,3450.8,3481.0,,,3526.0,,,3544.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,3420.0,3443.0,,,3485.0,,,3500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,3353.0,3365.2,,,3409.0,,,3428.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,3380.6,3404.0,,,3440.6,,,3460.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
