,IH1505.CFE,IH1506.CFE,IH1507.CFE,IH1508.CFE,IH1509.CFE,IH1510.CFE,IH1511.CFE,IH1512.CFE,IH1601.CFE,IH1602.CFE,IH1603.CFE,IH1604.CFE,IH1605.CFE,IH1606.CFE,IH1607.CFE,IH1608.CFE,IH1609.CFE,IH1610.CFE,IH1611.CFE,IH1612.CFE,IH1701.CFE,IH1702.CFE,IH1703.CFE,IH1704.CFE,IH1705.CFE,IH1706.CFE,IH1707.CFE,IH1708.CFE,IH1709.CFE,IH1710.CFE,IH1711.CFE,IH1712.CFE,IH1801.CFE,IH1802.CFE,IH1803.CFE,IH1804.CFE,IH1805.CFE,IH1806.CFE,IH1809.CFE,IH1812.CFE
2015-04-16,3088.8,3088.8,,,3084.4,,,3107.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,3238.0,3245.2,,,3265.0,,,3294.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,3143.6,3151.4,,,3164.0,,,3212.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,3153.0,3163.4,,,3174.4,,,3220.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,3229.8,3236.6,,,3251.0,,,3297.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,3253.4,3258.6,,,3276.8,,,3320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,3170.0,3174.2,,,3189.4,,,3229.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,3257.8,3238.0,,,3260.2,,,3299.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,3265.0,3270.8,,,3283.8,,,3328.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,3261.0,3268.0,,,3277.2,,,3322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,3247.2,3256.2,,,3265.0,,,3309.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,3225.8,3233.8,,,3244.0,,,3293.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,3141.2,3150.0,,,3157.4,,,3201.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,3116.0,3125.4,,,3131.8,,,3176.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,3103.0,3115.6,,,3125.6,,,3165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,3051.2,3061.2,,,3072.6,,,3110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,3078.0,3088.0,,,3103.0,,,3140.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,3138.0,3148.0,,,3158.2,,,3200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,3112.4,3094.0,,,3103.8,,,3148.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,3108.0,3095.6,,,3105.6,,,3147.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,3054.8,3021.0,,,3025.4,,,3073.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,,2962.0,2949.4,,2953.6,,,3009.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,,2971.2,2958.4,,2970.0,,,3009.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,,3102.2,3089.2,,3110.0,,,2847.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,,3139.8,3126.0,,3131.0,,,3192.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,,3194.0,3183.0,,3204.2,,,3249.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,,3280.0,3279.0,,3297.4,,,3349.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,,3377.8,3377.8,,3402.8,,,3464.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,,3351.8,3352.2,,3391.0,,,3439.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,,3121.2,3105.8,,3136.4,,,3196.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,,3060.6,3048.6,,3089.2,,,3162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,3086.6,3078.6,,3112.2,,,3173.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,,3220.4,3225.2,,3255.2,,,3329.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,,3210.2,3220.0,,3250.6,,,3311.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,,3021.2,3028.2,,3047.6,,,3117.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,,3203.0,3210.0,,3230.0,,,3307.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,,3285.0,3290.4,,3303.6,,,3376.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,,3385.0,3400.8,,3408.0,,,3473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,,3351.2,3361.2,,3379.2,,,3450.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11,,3326.6,3347.0,,3358.2,,,3428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,,3330.0,3352.0,,3365.0,,,3428.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,,3246.6,3265.0,,3289.6,,,3351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,,3153.2,3168.2,,3193.2,,,3257.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,,3155.2,3174.0,,3198.0,,,3257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
