,JD1501.DCE,JD1502.DCE,JD1503.DCE,JD1504.DCE,JD1505.DCE,JD1506.DCE,JD1509.DCE,JD1510.DCE,JD1511.DCE,JD1512.DCE,JD1601.DCE,JD1602.DCE,JD1603.DCE,JD1604.DCE,JD1605.DCE,JD1606.DCE,JD1609.DCE,JD1610.DCE,JD1611.DCE,JD1612.DCE,JD1701.DCE,JD1702.DCE,JD1703.DCE,JD1704.DCE,JD1705.DCE,JD1706.DCE,JD1707.DCE,JD1708.DCE,JD1709.DCE,JD1710.DCE,JD1711.DCE,JD1712.DCE,JD1801.DCE,JD1802.DCE,JD1803.DCE,JD1804.DCE,JD1805.DCE,JD1806.DCE,JD1807.DCE,JD1808.DCE,JD1809.DCE,JD1810.DCE,JD1811.DCE,JD1812.DCE,JD1901.DCE,JD1902.DCE,JD1903.DCE,JD1904.DCE
2015-01-05,4580.0,,4196.0,,4255.0,4265.0,4523.0,4427.0,,4444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,4363.0,,4183.0,,4261.0,4252.0,4522.0,,4277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,4690.0,4252.0,4059.0,4148.0,4229.0,,4516.0,4415.0,4283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,4581.0,4398.0,4175.0,,4268.0,,4568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,4587.0,4500.0,4167.0,,4250.0,,4575.0,,,4440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,,,4165.0,4156.0,4262.0,4237.0,4594.0,4381.0,4290.0,4351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,4312.0,4500.0,4141.0,4175.0,4183.0,4201.0,4579.0,4338.0,4241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,4500.0,4152.0,4109.0,4102.0,4160.0,4455.0,4300.0,4204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,4484.0,4195.0,4145.0,4132.0,4150.0,4482.0,4284.0,4265.0,4311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,4430.0,4510.0,4195.0,,4120.0,4116.0,4455.0,4258.0,4178.0,4230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,4498.0,4183.0,4215.0,4121.0,4110.0,4466.0,4288.0,4184.0,4250.0,4093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,4486.0,4200.0,,4132.0,,4507.0,,,4288.0,4123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,4192.0,4204.0,4050.0,4115.0,4490.0,4332.0,,,4109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,,4153.0,4121.0,4067.0,4090.0,4480.0,4262.0,4207.0,4203.0,4094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,4503.0,4212.0,,4090.0,4157.0,4495.0,,4168.0,4217.0,4089.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,4500.0,4228.0,,4085.0,4155.0,4494.0,4369.0,4160.0,,4092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,4500.0,4211.0,,4156.0,4224.0,4613.0,4377.0,4190.0,,4122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,4500.0,4206.0,,4145.0,4176.0,4624.0,4343.0,4194.0,,4145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,4300.0,4206.0,,4112.0,4121.0,4591.0,,4206.0,,4146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,,4166.0,,4094.0,4160.0,4582.0,4314.0,4157.0,4188.0,4147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,,,,4082.0,,4595.0,4362.0,,,4146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,,4200.0,,4082.0,,4590.0,4376.0,4227.0,,4146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,,4151.0,4229.0,4132.0,4158.0,4621.0,4346.0,4216.0,,4163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,,,4121.0,4138.0,,4600.0,,4264.0,,4157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
