,JR1501.CZC,JR1503.CZC,JR1505.CZC,JR1507.CZC,JR1509.CZC,JR1511.CZC,JR1601.CZC,JR1603.CZC,JR1605.CZC,JR607.CZC,JR609.CZC,JR611.CZC,JR701.CZC,JR703.CZC,JR705.CZC,JR707.CZC,JR709.CZC,JR711.CZC,JR801.CZC,JR803.CZC,JR805.CZC,JR807.CZC,JR809.CZC,JR811.CZC,JR901.CZC,JR903.CZC
2015-01-07,,,3000.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,3000.0,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,2980.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-06,,,2940.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-17,,,,,2762.0,,,,,,,,,,,,,,,,,,,,,
2015-03-19,,,,,2999.0,,,,,,,,,,,,,,,,,,,,,
2015-03-20,,,,,2901.0,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,,,,2957.0,,2662.0,,,,,,,,,,,,,,,,,,,
2015-04-27,,,,2862.0,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,,,,2862.0,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,,,,2862.0,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,,,,2859.0,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,,,,,3102.0,,3004.0,,,,,,,,,,,,,,,,,,,
2015-05-28,,,,,,,3100.0,,,,,,,,,,,,,,,,,,,
2015-06-04,,,,,,,,2851.0,,,,,,,,,,,,,,,,,,
2015-06-11,,,,,3100.0,,,,,,,,,,,,,,,,,,,,,
2015-07-28,,,,,,2742.0,,,,,,,,,,,,,,,,,,,,
2015-07-30,,,,,,3020.0,,,,,,,,,,,,,,,,,,,,
2015-07-31,,,,,,3180.0,,,,,,,,,,,,,,,,,,,,
2015-08-04,,,,,,3200.0,,,,,,,,,,,,,,,,,,,,
2015-08-05,,,,,,3260.0,,,,,,,,,,,,,,,,,,,,
2015-08-10,,,,,,3280.0,,,,,,,,,,,,,,,,,,,,
2015-08-17,,,,,,3156.0,,,,,,,,,,,,,,,,,,,,
2015-08-20,,,,,,3048.0,,,,,,,,,,,,,,,,,,,,
2015-08-24,,,,,,3010.0,,,,,,,,,,,,,,,,,,,,
2015-08-25,,,,,,2900.0,,,,,,,,,,,,,,,,,,,,
2015-08-26,,,,,,2800.0,,,,,,,,,,,,,,,,,,,,
2015-08-27,,,,,,3105.0,,,,,,,,,,,,,,,,,,,,
2015-08-28,,,,,,3090.0,,,,,,,,,,,,,,,,,,,,
2015-08-31,,,,,,3049.0,,,,,,,,,,,,,,,,,,,,
2015-09-11,,,,,,3105.0,,,,,,,,,,,,,,,,,,,,
2015-09-14,,,,,,3006.0,,,,,,,,,,,,,,,,,,,,
2015-09-30,,,,,,,3021.0,,,,,,,,,,,,,,,,,,,
2015-10-30,,,,,,3060.0,,,,,,,,,,,,,,,,,,,,
2016-02-22,,,,,,,,,,,,,2750.0,,,,,,,,,,,,,
2016-02-23,,,,,,,,,,2750.0,,,,,,,,,,,,,,,,
2016-02-25,,,,,,,,,,2890.0,,,,,,,,,,,,,,,,
2016-03-07,,,,,,,,,,2776.0,,,,,,,,,,,,,,,,
2016-03-09,,,,,,,,,,2859.0,,,,,,,,,,,,,,,,
2016-03-10,,,,,,,,,,2863.0,,,,,,,,,,,,,,,,
2016-03-11,,,,,,,,,,2829.0,,,,,,,,,,,,,,,,
2016-04-26,,,,,,,,,,2774.0,,,,,,,,,,,,,,,,
2016-05-03,,,,,,,,,,2942.0,,,,,,,,,,,,,,,,
2016-05-04,,,,,,,,,,2942.0,,,,,,,,,,,,,,,,
2016-05-05,,,,,,,,,,3142.0,,,,2746.0,,,,,,,,,,,,
2016-05-09,,,,,,,,,,3020.0,,,,,,,,,,,,,,,,
2016-06-29,,,,,,,,,,,2955.0,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,,,,3066.0,,,,,,,,,,,,,,,
