,LR1501.CZC,LR1503.CZC,LR1505.CZC,LR1507.CZC,LR1509.CZC,LR1511.CZC,LR1601.CZC,LR1603.CZC,LR1605.CZC,LR607.CZC,LR609.CZC,LR611.CZC,LR701.CZC,LR703.CZC,LR705.CZC,LR707.CZC,LR709.CZC,LR711.CZC,LR801.CZC,LR803.CZC,LR805.CZC,LR807.CZC,LR809.CZC,LR811.CZC,LR901.CZC,LR903.CZC
2015-01-06,,,2833.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,2820.0,,2829.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,,,2832.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,,2824.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,,2836.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,2786.0,,2833.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,,2787.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,2780.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,,2779.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,2782.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,,2772.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,2775.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,,2789.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,,2778.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,,2789.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,,2788.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,,2784.0,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,,2780.0,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,,2782.0,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,,2781.0,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,,2784.0,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,,,2787.0,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,,,2755.0,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,,,2766.0,,,,,,,,,,,,,,,,,,,,,,,
2015-02-16,,,2769.0,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,,,2780.0,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26,,,2784.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-04,,,2768.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-05,,,2768.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-11,,,2771.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-12,,,2766.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-13,,,2766.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-16,,,2755.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-17,,,2767.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-18,,,2749.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-19,,,2734.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-20,,,2748.0,,,2593.0,,,,,,,,,,,,,,,,,,,,
2015-03-23,,,2740.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-24,,,2748.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-25,,,2727.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-26,,,2748.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-27,,,2715.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-30,,,2727.0,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,,,2670.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,,2578.0,,2600.0,,,2435.0,,,,,,,,,,,,,,,,,,
2015-04-02,,,2664.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-07,,,2640.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-09,,,2641.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-13,,,2635.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-14,,,2665.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-15,,,2636.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-16,,,2697.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,,,2733.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,,,2770.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,,,2762.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,,,2740.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,,,2716.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,,,2630.0,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,,,2633.0,,2590.0,,,,,,,,,,,,,,,,,,,,,
2015-04-30,,,2600.0,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,,,2588.0,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,,,2555.0,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,,,2530.0,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,,,2488.0,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,,,2751.0,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,,,2800.0,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,,,,,,2281.0,,,,,,,,,,,,,,,,,,,
2015-07-03,,,,,,,2459.0,,2294.0,,,,,,,,,,,,,,,,,
2015-07-07,,,,,,,2401.0,,2295.0,,,,,,,,,,,,,,,,,
2015-07-08,,,,,,,2498.0,,,,,,,,,,,,,,,,,,,
2015-07-09,,,,,,2380.0,,,,,,,,,,,,,,,,,,,,
2015-08-11,,,,,,,,,2559.0,,,,,,,,,,,,,,,,,
2015-08-19,,,,,,,2389.0,,,,,,,,,,,,,,,,,,,
2015-08-28,,,,,,,2489.0,,,,,,,,,,,,,,,,,,,
2015-09-10,,,,,,2371.0,,,,,,,,,,,,,,,,,,,,
2015-11-16,,,,,,,,,2344.0,,,,,,,,,,,,,,,,,
2015-12-07,,,,,,,,,2432.0,,,,,,,,,,,,,,,,,
2015-12-22,,,,,,,,,,,2428.0,,,,,,,,,,,,,,,
2015-12-24,,,,,,,,,2435.0,,,,,,,,,,,,,,,,,
2016-01-04,,,,,,,,,,,2380.0,,,,,,,,,,,,,,,
2016-02-15,,,,,,,,,2700.0,,,,,,,,,,,,,,,,,
2016-02-17,,,,,,,,,,,2542.0,,,,,,,,,,,,,,,
2016-03-14,,,,,,,,,,2587.0,,,2800.0,,,,,,,,,,,,,
2016-03-15,,,,,,,,,,2674.0,,,,,,,,,,,,,,,,
2016-04-06,,,,,,,,,,2659.0,,,,,,,,,,,,,,,,
2016-04-29,,,,,,,,,2700.0,,,,,,,,,,,,,,,,,
2016-05-24,,,,,,,,,,,2369.0,,,,,,,,,,,,,,,
2016-05-25,,,,,,,,,,,2475.0,,,,,,,,,,,,,,,
2016-05-31,,,,,,,,,,,2400.0,,,,,,,,,,,,,,,
2016-06-23,,,,,,,,,,,2440.0,,,,,,,,,,,,,,,
2016-06-24,,,,,,,,,,,2466.0,,,,,,,,,,,,,,,
2016-07-01,,,,,,,,,,,2481.0,,,,,,,,,,,,,,,
2016-07-04,,,,,,,,,,,2499.0,,,,,,,,,,,,,,,
2016-07-05,,,,,,,,,,,2618.0,,,,,,,,,,,,,,,
2016-07-06,,,,,,,,,,,2630.0,,,,,,,,,,,,,,,
2016-07-12,,,,,,,,,,,2624.0,,,,,,,,,,,,,,,
2016-08-05,,,,,,,,,,,2522.0,,,,,,,,,,,,,,,
2016-08-11,,,,,,,,,,,,2580.0,,,,,,,,,,,,,,
2016-09-28,,,,,,,,,,,,2573.0,,,,,,,,,,,,,,
2016-10-12,,,,,,,,,,,,2602.0,,,,,,,,,,,,,,
2016-10-13,,,,,,,,,,,,2517.0,,,,,,,,,,,,,,
2016-10-14,,,,,,,,,,,,2499.0,,,,,,,,,,,,,,
2016-10-17,,,,,,,,,,,,2446.0,,,,,,,,,,,,,,
2016-10-24,,,,,,,,,,,,,,,,,2544.0,,,,,,,,,
2016-10-28,,,,,,,,,,,,2498.0,,,,,,,,,,,,,,
2016-10-31,,,,,,,,,,,,2598.0,,,,,,,,,,,,,,
2016-11-01,,,,,,,,,,,,2779.0,,,,,,,,,,,,,,
2016-11-14,,,,,,,,,,,,,2749.0,,2627.0,,,,,,,,,,,
2016-11-15,,,,,,,,,,,,,,,2682.0,,,,,,,,,,,
2016-11-16,,,,,,,,,,,,,,,2802.0,,,,,,,,,,,
2016-11-17,,,,,,,,,,,,,,,2790.0,,,,,,,,,,,
2016-11-18,,,,,,,,,,,,,,,2726.0,,,,,,,,,,,
2016-11-21,,,,,,,,,,,,,,,2713.0,,,,,,,,,,,
2016-11-22,,,,,,,,,,,,,,,2860.0,,,,,,,,,,,
2016-12-02,,,,,,,,,,,,,,,2766.0,,,,,,,,,,,
2016-12-08,,,,,,,,,,,,,,,2886.0,,,,,,,,,,,
2016-12-12,,,,,,,,,,,,,,,2924.0,,,,,,,,,,,
2016-12-15,,,,,,,,,,,,,,,2984.0,,,,,,,,,,,
2016-12-22,,,,,,,,,,,,,,,,,,2755.0,,,,,,,,
2016-12-23,,,,,,,,,,,,,,,,,,2679.0,,,,,,,,
2016-12-26,,,,,,,,,,,,,,,,,,2660.0,,,,,,,,
2016-12-27,,,,,,,,,,,,,,,2915.0,,,,,,,,,,,
2017-01-04,,,,,,,,,,,,,,,2876.0,,,,,,,,,,,
2017-01-09,,,,,,,,,,,,,,,,,,2766.0,,,,,,,,
2017-01-11,,,,,,,,,,,,,,,,,,2659.0,,,,,,,,
2017-02-03,,,,,,,,,,,,,,,,,2608.0,2584.0,,,,,,,,
2017-02-06,,,,,,,,,,,,,,,,,,2801.0,,,,,,,,
2017-02-07,,,,,,,,,,,,,,,,,,2915.0,,,,,,,,
2017-02-10,,,,,,,,,,,,,,,,,,2911.0,,,,,,,,
2017-02-13,,,,,,,,,,,,,,,,,,2913.0,,,,,,,,
2017-02-17,,,,,,,,,,,,,,,,,,2868.0,,,,,,,,
2017-02-20,,,,,,,,,,,,,,,3179.0,,,,,,,,,,,
2017-02-22,,,,,,,,,,,,,,,2837.0,,,,,,,,,,,
2017-02-27,,,,,,,,,,,,,,,,,,2868.0,,,,,,,,
2017-03-21,,,,,,,,,,,,,,,,,,2820.0,,,,,,,,
2017-03-23,,,,,,,,,,,,,,,,,,2785.0,,,,,,,,
2017-04-06,,,,,,,,,,,,,,,2882.0,,,,,,,,,,,
2017-07-13,,,,,,,,,,,,,,,,,,,,,2679.0,,,,,
2017-07-14,,,,,,,,,,,,,,,,,,,,,2807.0,,,,,
2017-07-24,,,,,,,,,,,,,,,,,,,,,2789.0,,,,,
2017-07-25,,,,,,,,,,,,,,,,,,,,,2888.0,,,,,
2017-07-26,,,,,,,,,,,,,,,,,,,,,2911.0,,,,,
2017-08-01,,,,,,,,,,,,,,,,,,,2988.0,,2959.0,,,,,
2017-08-02,,,,,,,,,,,,,,,,,,,,,2997.0,,,,,
2017-08-04,,,,,,,,,,,,,,,,,,,,,2962.0,,,,,
2017-08-09,,,,,,,,,,,,,,,,,,,2970.0,,,,,,,
