,ME1501.CZC,ME1502.CZC,ME1503.CZC,ME1504.CZC,ME1505.CZC,MA1506.CZC,MA1507.CZC,MA1508.CZC,MA1509.CZC,MA1510.CZC,MA1511.CZC,MA1512.CZC,MA1601.CZC,MA1602.CZC,MA1603.CZC,MA1604.CZC,MA1605.CZC,MA1606.CZC,MA607.CZC,MA608.CZC,MA609.CZC,MA610.CZC,MA611.CZC,MA612.CZC,MA701.CZC,MA702.CZC,MA703.CZC,MA704.CZC,MA705.CZC,MA706.CZC,MA707.CZC,MA708.CZC,MA709.CZC,MA710.CZC,MA711.CZC,MA712.CZC,MA801.CZC,MA802.CZC,MA803.CZC,MA804.CZC,MA805.CZC,MA806.CZC,MA807.CZC,MA808.CZC,MA809.CZC,MA810.CZC,MA811.CZC,MA812.CZC,MA901.CZC,MA902.CZC,MA903.CZC,MA904.CZC
2015-01-05,1723.0,1794.0,1830.0,1964.0,1945.0,2001.0,2042.0,2070.0,2076.0,,2039.0,2117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,1770.0,1819.0,1929.0,,1931.0,1986.0,2034.0,2064.0,2062.0,,2065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,1770.0,1803.0,1920.0,1939.0,1950.0,2000.0,2027.0,2074.0,2077.0,,2075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,1780.0,1818.0,,1949.0,1966.0,2023.0,2066.0,2095.0,2095.0,,2093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,1742.0,1797.0,,,1947.0,2006.0,2049.0,2074.0,2081.0,2088.0,2084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,1675.0,1750.0,,1910.0,1893.0,1943.0,1984.0,2010.0,2018.0,2020.0,2016.0,2070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,1726.0,,1865.0,1845.0,1897.0,1938.0,1972.0,1970.0,1972.0,1970.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,1749.0,1779.0,1842.0,1861.0,1902.0,1955.0,1980.0,1976.0,1989.0,1972.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,1610.0,,1801.0,1890.0,1870.0,1915.0,1960.0,2008.0,1985.0,2015.0,1983.0,2044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,1700.0,1780.0,1840.0,1872.0,1895.0,1940.0,1984.0,2009.0,2003.0,2051.0,1998.0,2065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,1849.0,,1932.0,1978.0,1999.0,1993.0,2045.0,1982.0,2040.0,2078.0,2081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,,1868.0,1905.0,1939.0,1981.0,2020.0,2053.0,2066.0,2044.0,2064.0,,2120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,,,,1949.0,1992.0,2066.0,2061.0,2073.0,2055.0,2072.0,,2122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,,,,1996.0,2036.0,,2110.0,2114.0,2112.0,2120.0,2137.0,2148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,,,,1992.0,2033.0,2075.0,2109.0,2109.0,2121.0,2135.0,2124.0,2146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,,1938.0,,1960.0,2003.0,,2082.0,2081.0,2087.0,2107.0,2153.0,2119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
