,NI1507.SHF,NI1508.SHF,NI1509.SHF,NI1510.SHF,NI1511.SHF,NI1512.SHF,NI1601.SHF,NI1602.SHF,NI1603.SHF,NI1604.SHF,NI1605.SHF,NI1606.SHF,NI1607.SHF,NI1608.SHF,NI1609.SHF,NI1610.SHF,NI1611.SHF,NI1612.SHF,NI1701.SHF,NI1702.SHF,NI1703.SHF,NI1704.SHF,NI1705.SHF,NI1706.SHF,NI1707.SHF,NI1708.SHF,NI1709.SHF,NI1710.SHF,NI1711.SHF,NI1712.SHF,NI1801.SHF,NI1802.SHF,NI1803.SHF,NI1804.SHF,NI1805.SHF,NI1806.SHF,NI1807.SHF,NI1808.SHF,NI1809.SHF,NI1810.SHF,NI1811.SHF,NI1812.SHF,NI1901.SHF,NI1902.SHF,NI1903.SHF,NI1904.SHF
2015-03-27,100650.0,100040.0,100260.0,99520.0,100820.0,100680.0,100500.0,100530.0,100290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-30,96820.0,97010.0,97140.0,96970.0,97150.0,98320.0,97890.0,98100.0,97330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,93840.0,94100.0,94480.0,95580.0,95000.0,95280.0,96120.0,96000.0,96100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,91270.0,91600.0,91530.0,93430.0,92810.0,93240.0,93160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-02,92550.0,92500.0,92390.0,94060.0,94340.0,93740.0,94280.0,96600.0,96850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-03,95660.0,95500.0,95450.0,97260.0,,96180.0,95570.0,96510.0,96670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-07,95950.0,95500.0,95300.0,96020.0,97640.0,96380.0,96300.0,96600.0,96660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-08,93300.0,93100.0,93050.0,93830.0,93950.0,94720.0,93330.0,93720.0,93980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-09,93880.0,93560.0,93400.0,94270.0,94720.0,94990.0,93190.0,,94330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-10,93180.0,92950.0,92900.0,,93710.0,94000.0,93080.0,93790.0,93840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-13,93700.0,93290.0,93300.0,93280.0,94460.0,94000.0,93720.0,,93990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-14,92810.0,92400.0,92320.0,89090.0,94190.0,91750.0,93110.0,93850.0,93420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-15,92640.0,92200.0,92200.0,,92740.0,92840.0,93050.0,,93500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-16,94260.0,93350.0,93240.0,,94330.0,94050.0,93810.0,94720.0,95030.0,95060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,95010.0,94170.0,93840.0,93170.0,94500.0,93060.0,93860.0,94760.0,94580.0,95540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,95200.0,94180.0,93670.0,93690.0,,,93970.0,94650.0,93510.0,94800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,94900.0,93900.0,93510.0,93810.0,93330.0,92910.0,93730.0,93840.0,94290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,95750.0,94840.0,94350.0,,94340.0,93530.0,93760.0,,94430.0,95350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,95600.0,94840.0,94580.0,93890.0,94440.0,94190.0,94240.0,94600.0,94500.0,94680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,95700.0,94880.0,94670.0,94410.0,95060.0,94460.0,94400.0,,94760.0,95460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,97990.0,96950.0,96430.0,97000.0,96930.0,96770.0,96310.0,,96800.0,99540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,101420.0,100200.0,99800.0,99500.0,99010.0,99560.0,99290.0,,100100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,100500.0,99370.0,99060.0,99120.0,100550.0,99600.0,99190.0,,99690.0,100200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,101160.0,98910.0,99850.0,99730.0,99730.0,99890.0,100020.0,,101900.0,102020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,105450.0,104520.0,104110.0,104400.0,104110.0,104520.0,102720.0,,104440.0,105250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,106160.0,104760.0,104600.0,105550.0,104700.0,103210.0,105010.0,107130.0,105010.0,106660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,109690.0,107010.0,106700.0,107590.0,107290.0,107570.0,107060.0,109560.0,108010.0,107310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,111050.0,105400.0,105500.0,104530.0,104860.0,105020.0,104460.0,104900.0,105580.0,105930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,110000.0,106000.0,106060.0,105600.0,105980.0,105270.0,105600.0,106510.0,105440.0,107790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,111060.0,108110.0,107950.0,107370.0,108040.0,107520.0,107060.0,,107270.0,109090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,111270.0,107010.0,107000.0,107580.0,107930.0,106270.0,106070.0,107560.0,106540.0,108130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,110780.0,107480.0,107330.0,107600.0,,106700.0,106460.0,105610.0,107550.0,107200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,107060.0,105120.0,105000.0,105100.0,105330.0,104110.0,105000.0,105710.0,105000.0,106350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,108540.0,105740.0,105660.0,,105660.0,105570.0,105500.0,105230.0,104450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,108200.0,105600.0,105420.0,,106210.0,105450.0,105200.0,105670.0,105500.0,,105830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,106160.0,103750.0,103700.0,,103950.0,,103230.0,103890.0,103460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,102340.0,99630.0,99490.0,,99290.0,100360.0,99150.0,,99340.0,100580.0,99860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,100170.0,98500.0,98400.0,99500.0,98550.0,98810.0,97830.0,,99200.0,,99230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,96710.0,97530.0,97130.0,98160.0,97500.0,97460.0,96690.0,97730.0,97100.0,100670.0,99120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,98110.0,96980.0,96710.0,97170.0,,97000.0,96180.0,,97000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,99660.0,98530.0,97900.0,98470.0,99180.0,97270.0,97720.0,98060.0,98510.0,98880.0,99960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,99200.0,97580.0,97280.0,97500.0,,97650.0,97060.0,,97510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,100400.0,98270.0,97740.0,99080.0,,98270.0,97490.0,98270.0,97570.0,,98720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,97740.0,96890.0,96250.0,94650.0,97370.0,97400.0,94770.0,96540.0,97090.0,,98850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,97800.0,96800.0,96360.0,96710.0,,97000.0,96090.0,95550.0,96820.0,97690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,98120.0,97550.0,97020.0,98750.0,97930.0,97660.0,96810.0,97270.0,97480.0,97300.0,98510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,99250.0,99260.0,99040.0,99410.0,100190.0,99730.0,98800.0,98710.0,99350.0,100900.0,101090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,97740.0,97880.0,97690.0,95010.0,,98710.0,97500.0,,98250.0,99900.0,98890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,98130.0,98110.0,98060.0,98580.0,,97370.0,97440.0,,98360.0,,99110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,98410.0,98500.0,98330.0,97530.0,99050.0,99270.0,97890.0,99740.0,99020.0,,99770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,100860.0,100660.0,100660.0,101230.0,100990.0,100740.0,100360.0,100780.0,101290.0,,101860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,100700.0,100530.0,100570.0,101100.0,100330.0,101210.0,100620.0,100750.0,100820.0,,101010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11,101320.0,101030.0,101300.0,101920.0,102040.0,101690.0,101230.0,101170.0,101500.0,,102710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,98100.0,97840.0,97800.0,98320.0,98450.0,99890.0,98000.0,98050.0,98110.0,,99400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,97520.0,97320.0,97400.0,97740.0,,97950.0,97000.0,98080.0,97610.0,,98410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,95400.0,95200.0,95340.0,95750.0,97360.0,96000.0,95500.0,97050.0,95930.0,97000.0,98220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,94610.0,94420.0,94700.0,95300.0,95500.0,95500.0,94810.0,,95420.0,,96510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-18,95700.0,95030.0,95830.0,96220.0,96400.0,96490.0,95860.0,96560.0,96240.0,,97720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,93930.0,94360.0,94440.0,95000.0,,95500.0,94590.0,,95280.0,,96710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-23,93510.0,94190.0,94100.0,94930.0,,94200.0,94280.0,,,95730.0,96180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-24,94680.0,94860.0,95350.0,95750.0,,96230.0,95410.0,,95660.0,96290.0,96660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-25,94170.0,94410.0,94800.0,95890.0,,95400.0,94900.0,96000.0,95660.0,96250.0,96710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,89980.0,92860.0,93020.0,93330.0,,94530.0,93560.0,94090.0,94450.0,94780.0,95000.0,95190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-29,88860.0,88940.0,89510.0,89710.0,90190.0,91230.0,90010.0,90850.0,91450.0,91820.0,92310.0,92000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,86600.0,86140.0,87330.0,86400.0,86800.0,87400.0,87590.0,87590.0,88530.0,92400.0,89700.0,89010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,80510.0,86350.0,86680.0,86970.0,86390.0,87280.0,87360.0,89000.0,88670.0,91650.0,89850.0,90020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-02,87000.0,87910.0,87570.0,87800.0,89670.0,87570.0,88250.0,89130.0,90290.0,,90670.0,91690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03,87800.0,88160.0,88080.0,88750.0,89630.0,89140.0,88880.0,89420.0,90680.0,92000.0,91010.0,93000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-06,84210.0,84810.0,85260.0,85730.0,86330.0,86450.0,86000.0,86460.0,87010.0,87830.0,87780.0,88350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,83510.0,84870.0,84050.0,84740.0,85960.0,85760.0,84930.0,86660.0,86230.0,88240.0,87000.0,87970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
