,OI1501.CZC,OI1503.CZC,OI1505.CZC,OI1507.CZC,OI1509.CZC,OI1511.CZC,OI1601.CZC,OI1603.CZC,OI1605.CZC,OI607.CZC,OI609.CZC,OI611.CZC,OI701.CZC,OI703.CZC,OI705.CZC,OI707.CZC,OI709.CZC,OI711.CZC,OI801.CZC,OI803.CZC,OI805.CZC,OI807.CZC,OI809.CZC,OI811.CZC,OI901.CZC,OI903.CZC
2015-01-05,5710.0,,5950.0,,6032.0,,,,,,,,,,,,,,,,,,,,,
2015-01-06,5838.0,,6044.0,6054.0,6108.0,,,,,,,,,,,,,,,,,,,,,
2015-01-07,5836.0,5950.0,6012.0,6032.0,6082.0,,,,,,,,,,,,,,,,,,,,,
2015-01-08,5868.0,,6062.0,,6130.0,,,,,,,,,,,,,,,,,,,,,
2015-01-09,5896.0,,6074.0,,6148.0,,,,,,,,,,,,,,,,,,,,,
2015-01-12,5800.0,,6092.0,6122.0,6160.0,,,,,,,,,,,,,,,,,,,,,
2015-01-13,5800.0,5794.0,6012.0,,6076.0,,,,,,,,,,,,,,,,,,,,,
2015-01-14,5780.0,,5960.0,,6040.0,,,,,,,,,,,,,,,,,,,,,
2015-01-15,5800.0,,5934.0,,6026.0,6154.0,,,,,,,,,,,,,,,,,,,,
2015-01-16,5650.0,,5890.0,,5984.0,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,5842.0,6016.0,5960.0,,6090.0,,,,,,,,,,,,,,,,,,,
2015-01-20,,,5924.0,,6008.0,6064.0,6002.0,,,,,,,,,,,,,,,,,,,
2015-01-21,,,5926.0,,6010.0,,6058.0,,,,,,,,,,,,,,,,,,,
2015-01-22,,,5954.0,,6030.0,,6066.0,,,,,,,,,,,,,,,,,,,
2015-01-23,,,5936.0,,6006.0,,6038.0,,,,,,,,,,,,,,,,,,,
2015-01-26,,,5906.0,,5966.0,,5990.0,,,,,,,,,,,,,,,,,,,
2015-01-27,,,5914.0,,5958.0,6010.0,5978.0,,,,,,,,,,,,,,,,,,,
2015-01-28,,,5904.0,,5954.0,,5974.0,,,,,,,,,,,,,,,,,,,
2015-01-29,,,5868.0,,5884.0,,5910.0,,,,,,,,,,,,,,,,,,,
2015-01-30,,,5690.0,,5736.0,,5800.0,,,,,,,,,,,,,,,,,,,
2015-02-02,,,5754.0,,5770.0,,5840.0,,,,,,,,,,,,,,,,,,,
2015-02-03,,,5762.0,,5798.0,,5866.0,,,,,,,,,,,,,,,,,,,
2015-02-04,,,5752.0,,5820.0,5808.0,5896.0,,,,,,,,,,,,,,,,,,,
2015-02-05,,,5744.0,,5796.0,,5872.0,,,,,,,,,,,,,,,,,,,
2015-02-06,,,5780.0,,5854.0,,5940.0,,,,,,,,,,,,,,,,,,,
2015-02-09,,,5764.0,,5844.0,,5932.0,,,,,,,,,,,,,,,,,,,
2015-02-10,,,5776.0,,5866.0,,5926.0,,,,,,,,,,,,,,,,,,,
