,RI1501.CZC,RI1503.CZC,RI1505.CZC,RI1507.CZC,RI1509.CZC,RI1511.CZC,RI1601.CZC,RI1603.CZC,RI1605.CZC,RI607.CZC,RI609.CZC,RI611.CZC,RI701.CZC,RI703.CZC,RI705.CZC,RI707.CZC,RI709.CZC,RI711.CZC,RI801.CZC,RI803.CZC,RI805.CZC,RI807.CZC,RI809.CZC,RI811.CZC,RI901.CZC,RI903.CZC
2015-01-05,2230.0,,2271.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,2220.0,,2282.0,2274.0,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,2196.0,,2294.0,,2297.0,,,,,,,,,,,,,,,,,,,,,
2015-01-08,,,2290.0,,2290.0,2352.0,,,,,,,,,,,,,,,,,,,,
2015-01-09,,,2287.0,,2323.0,,,,,,,,,,,,,,,,,,,,,
2015-01-12,2240.0,,2281.0,,2300.0,,,,,,,,,,,,,,,,,,,,,
2015-01-13,2240.0,,2278.0,,2289.0,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,,2261.0,,2287.0,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,,2271.0,,2282.0,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,,2268.0,,2276.0,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,,2278.0,,2331.0,,2460.0,,,,,,,,,,,,,,,,,,,
2015-01-20,,,2273.0,,2349.0,,2463.0,,,,,,,,,,,,,,,,,,,
2015-01-21,,,2282.0,,2390.0,,2382.0,,,,,,,,,,,,,,,,,,,
2015-01-22,,,2295.0,,2365.0,,2422.0,,,,,,,,,,,,,,,,,,,
2015-01-23,,,2296.0,,2389.0,,2451.0,,,,,,,,,,,,,,,,,,,
2015-01-26,,,2296.0,,2316.0,,2465.0,,,,,,,,,,,,,,,,,,,
2015-01-27,,,2298.0,,2361.0,,2450.0,,,,,,,,,,,,,,,,,,,
2015-01-28,,,2298.0,,2358.0,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,,2288.0,,2361.0,,2459.0,,,,,,,,,,,,,,,,,,,
2015-01-30,,,2291.0,,2399.0,,2473.0,,,,,,,,,,,,,,,,,,,
2015-02-02,,,2290.0,,2374.0,,2466.0,,,,,,,,,,,,,,,,,,,
2015-02-03,,,2300.0,,,,2472.0,,,,,,,,,,,,,,,,,,,
2015-02-04,,,2301.0,,2383.0,,2475.0,,,,,,,,,,,,,,,,,,,
2015-02-05,,,2296.0,,2381.0,,2453.0,,,,,,,,,,,,,,,,,,,
