,RM1501.CZC,RM1503.CZC,RM1505.CZC,RM1507.CZC,RM1508.CZC,RM1509.CZC,RM1511.CZC,RM1601.CZC,RM1603.CZC,RM1605.CZC,RM607.CZC,RM608.CZC,RM609.CZC,RM611.CZC,RM701.CZC,RM703.CZC,RM705.CZC,RM707.CZC,RM708.CZC,RM709.CZC,RM711.CZC,RM801.CZC,RM803.CZC,RM805.CZC,RM807.CZC,RM808.CZC,RM809.CZC,RM811.CZC,RM901.CZC,RM903.CZC
2015-01-05,2200.0,2222.0,2203.0,2178.0,2206.0,2166.0,2071.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,2260.0,2230.0,2212.0,2212.0,2220.0,2172.0,2083.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,,2261.0,2234.0,2231.0,2236.0,2197.0,2101.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,2270.0,2264.0,2238.0,2233.0,2244.0,2201.0,2105.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,2250.0,2252.0,2223.0,2222.0,2228.0,2186.0,2092.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,2230.0,2251.0,2225.0,2222.0,2230.0,2185.0,2091.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,,2222.0,2169.0,2178.0,2186.0,2131.0,2047.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,2210.0,2177.0,2126.0,2126.0,2132.0,2088.0,2007.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,2171.0,2110.0,2108.0,2118.0,2072.0,1995.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,2169.0,2107.0,2105.0,2112.0,2069.0,1997.0,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,2162.0,2061.0,2062.0,2062.0,2013.0,1968.0,1953.0,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,2170.0,2081.0,2080.0,2095.0,2033.0,1999.0,1989.0,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,2190.0,2095.0,2098.0,2130.0,2042.0,2003.0,2002.0,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,2180.0,2133.0,2143.0,2135.0,2081.0,2032.0,2039.0,,,,,,,,,,,,,,,,,,,,,,
