,RU1501.SHF,RU1503.SHF,RU1504.SHF,RU1505.SHF,RU1506.SHF,RU1507.SHF,RU1508.SHF,RU1509.SHF,RU1510.SHF,RU1511.SHF,RU1601.SHF,RU1603.SHF,RU1604.SHF,RU1605.SHF,RU1606.SHF,RU1607.SHF,RU1608.SHF,RU1609.SHF,RU1610.SHF,RU1611.SHF,RU1701.SHF,RU1703.SHF,RU1704.SHF,RU1705.SHF,RU1706.SHF,RU1707.SHF,RU1708.SHF,RU1709.SHF,RU1710.SHF,RU1711.SHF,RU1801.SHF,RU1803.SHF,RU1804.SHF,RU1805.SHF,RU1806.SHF,RU1807.SHF,RU1808.SHF,RU1809.SHF,RU1810.SHF,RU1811.SHF,RU1901.SHF,RU1903.SHF,RU1904.SHF
2015-01-05,13580.0,13440.0,13365.0,13230.0,12920.0,12935.0,13000.0,12895.0,12800.0,12820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,13760.0,13410.0,13710.0,13245.0,12930.0,13130.0,13235.0,12870.0,12780.0,12755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,14300.0,13625.0,13425.0,13270.0,12800.0,12920.0,12955.0,12885.0,12700.0,12800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,13600.0,13350.0,13245.0,13065.0,12630.0,12920.0,12815.0,12690.0,12610.0,12640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,13325.0,13400.0,13110.0,12960.0,12650.0,12690.0,,12700.0,12740.0,12680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,13920.0,13605.0,,13235.0,12130.0,13050.0,12950.0,12910.0,12900.0,12890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,14155.0,13335.0,,12900.0,12435.0,12625.0,12785.0,12565.0,12590.0,12560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,13800.0,12970.0,12625.0,12350.0,11950.0,12495.0,12125.0,12050.0,12115.0,12015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,13150.0,13095.0,12770.0,12415.0,12035.0,12230.0,,12155.0,12110.0,12105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,13325.0,12865.0,12510.0,12245.0,12305.0,,12255.0,12240.0,12245.0,12905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,13325.0,13000.0,12535.0,12300.0,12240.0,,12305.0,12275.0,12340.0,13005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,13100.0,13040.0,12620.0,12305.0,12390.0,,12340.0,12395.0,12320.0,13145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,13290.0,12960.0,12465.0,12210.0,12345.0,12380.0,12230.0,12280.0,12225.0,13065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,13570.0,13250.0,12945.0,12165.0,12715.0,12700.0,12620.0,12560.0,12585.0,13375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,13435.0,13245.0,13020.0,12500.0,12580.0,12685.0,12650.0,12560.0,12570.0,13435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,13005.0,12950.0,12815.0,12265.0,12675.0,12575.0,12480.0,12335.0,12400.0,13355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,13350.0,13340.0,13115.0,12645.0,12675.0,12900.0,12775.0,12645.0,12650.0,13585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,13360.0,13295.0,13100.0,12625.0,12690.0,12905.0,12735.0,12545.0,12695.0,13590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,13200.0,13110.0,13050.0,12540.0,,,12645.0,12530.0,12590.0,13490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,12990.0,12885.0,12855.0,12375.0,,,12440.0,12335.0,12400.0,13200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,12965.0,12910.0,12815.0,12315.0,,12560.0,12400.0,12265.0,12350.0,13180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,13260.0,13270.0,13215.0,12715.0,12715.0,12770.0,12770.0,12700.0,12735.0,13545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,13300.0,13320.0,13270.0,12820.0,12850.0,12960.0,12870.0,12780.0,12805.0,13650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,,13325.0,13430.0,13300.0,12940.0,12955.0,12960.0,12980.0,12900.0,12935.0,13725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,,13340.0,13440.0,13345.0,12980.0,12890.0,13150.0,13010.0,12960.0,13005.0,13765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,,13430.0,,13540.0,13170.0,13155.0,13235.0,13190.0,13075.0,13065.0,13915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,,13430.0,13570.0,13480.0,13060.0,,,13150.0,12930.0,12980.0,13740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,,13450.0,13555.0,13445.0,12970.0,,13155.0,13060.0,12900.0,12900.0,13745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,,13530.0,13535.0,13475.0,13000.0,13005.0,13100.0,13105.0,12900.0,12950.0,13810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,,13600.0,13570.0,13605.0,13145.0,13230.0,13190.0,13230.0,13025.0,13070.0,13900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-16,,13775.0,13785.0,13855.0,13290.0,13165.0,13215.0,13205.0,13030.0,13070.0,13865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,,13705.0,14000.0,13720.0,13065.0,13185.0,13185.0,13110.0,13045.0,12965.0,13820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,,13830.0,13715.0,13755.0,13125.0,,,13010.0,12980.0,12915.0,13705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26,,13830.0,13890.0,13870.0,13180.0,,13155.0,13115.0,13045.0,12950.0,13745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,,13820.0,14060.0,13970.0,13400.0,,13340.0,13385.0,13400.0,13285.0,14055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
