,SC1809.INE,SC1810.INE,SC1811.INE,SC1812.INE,SC1901.INE,SC1902.INE,SC1903.INE,SC1904.INE,SC1906.INE,SC1909.INE,SC1912.INE,SC2003.INE,SC2006.INE,SC2009.INE,SC2012.INE,SC2103.INE
2018-03-26,426.3,417.1,384.1,416.2,417.1,,415.0,,395.9,388.0,392.3,,383.6,,,
2018-03-27,412.6,415.0,417.4,407.0,414.0,416.0,408.1,,404.7,400.4,,389.8,,376.8,,377.0
2018-03-28,406.5,404.6,404.1,403.4,402.7,397.6,395.0,,388.3,385.5,383.9,379.4,372.0,378.3,,367.4
2018-03-29,401.6,400.1,399.5,398.9,400.0,400.4,,,386.0,383.2,372.5,368.4,,,,354.9
2018-03-30,405.0,405.7,403.0,400.8,402.1,380.5,388.0,,383.8,384.3,375.9,380.4,372.6,,373.0,367.7
2018-04-02,413.8,412.0,412.5,409.4,,410.9,,,392.8,,,,,,,364.6
2018-04-03,400.5,399.4,400.4,398.0,399.2,,390.0,,382.4,380.6,,370.7,,,,358.8
2018-04-04,399.0,396.9,,398.0,,391.8,389.7,,383.2,,,,,,,354.9
2018-04-09,397.7,396.8,396.2,396.4,,,387.3,,,,,,,,,
2018-04-10,403.8,405.0,405.8,404.8,,406.1,392.0,,391.1,388.8,,,,,,368.1
2018-04-11,414.1,411.5,413.9,411.8,,,406.1,,398.6,,,,,,,368.3
2018-04-12,416.9,417.0,425.7,415.8,416.6,420.9,411.5,,403.2,399.8,,,,378.7,,381.8
2018-04-13,423.3,421.9,422.1,418.4,418.6,,413.0,,,,,,,,,
2018-04-16,423.5,422.0,420.6,418.8,418.7,,,,,,,,,,,
2018-04-17,421.5,422.6,421.5,416.7,417.0,,,,,401.7,,,,,,377.9
2018-04-18,420.6,422.0,425.3,414.7,419.4,,,,,,,,384.6,,,
2018-04-19,432.5,431.4,431.7,428.7,430.0,432.9,426.0,,417.7,410.2,,402.4,395.9,,,388.0
2018-04-20,435.3,434.2,432.3,431.1,,,,,,,,,,397.6,,
2018-04-23,432.4,432.3,432.0,428.0,,,426.3,,415.5,,,,,,,394.8
2018-04-24,432.2,438.7,439.8,427.7,438.3,,421.7,,413.1,,,,,,,399.0
2018-04-25,436.6,435.1,433.5,431.1,,,434.0,,418.8,418.5,,,,,,
2018-04-26,434.4,434.4,434.9,429.9,437.4,,427.6,,426.3,413.5,,,399.5,,,
